fold,test_year,seed,n,accuracy,balanced_accuracy,macro_f1,majority_class_accuracy,precision_Hold,recall_Hold,f1_Hold,support_Hold,predicted_Hold,precision_Buy,recall_Buy,f1_Buy,support_Buy,predicted_Buy,precision_Sell,recall_Sell,f1_Sell,support_Sell,predicted_Sell
0,2007,0,2214,0.8486901535682023,0.38869162712371624,0.4037182655034499,0.8613369467028004,0.8700564971751412,0.9690613529103304,0.9168940709501364,1907,2124,0.36923076923076925,0.14906832298136646,0.21238938053097345,161,65,0.28,0.04794520547945205,0.08187134502923976,146,25
1,2008,0,2232,0.8360215053763441,0.35497829625610416,0.34690339188370684,0.8691756272401434,0.870527306967985,0.9530927835051546,0.9099409448818898,1940,2124,0.1574074074074074,0.1118421052631579,0.13076923076923078,152,108,0.0,0.0,0.0,140,0
2,2009,0,2223,0.8798920377867746,0.3378728521804659,0.3218925112737488,0.8803418803418803,0.8809738503155996,0.9984670413898825,0.9360479041916168,1957,2218,0.6666666666666666,0.015151515151515152,0.02962962962962963,132,3,0.0,0.0,0.0,134,2
3,2010,0,2223,0.8735942420152947,0.39924619215781615,0.39942673264649414,0.8875393612235718,0.8960674157303371,0.9700963000506843,0.9316135312728158,1973,2136,0.3218390804597701,0.22764227642276422,0.26666666666666666,123,87,0.0,0.0,0.0,127,0
4,2011,0,2223,0.8632478632478633,0.3563817500395119,0.35292481375839974,0.8641475483580747,0.8680018206645426,0.9927121290994274,0.9261777561923263,1921,2197,0.5,0.07643312101910828,0.13259668508287292,157,24,0.0,0.0,0.0,145,2
5,2012,0,2205,0.8675736961451247,0.334448424599545,0.3141902835780387,0.8702947845804989,0.8702776513427402,0.9963522668056279,0.9290573372206026,1919,2197,0.2,0.006993006993006993,0.013513513513513514,143,5,0.0,0.0,0.0,143,3
6,2013,0,2223,0.8695456590193432,0.36588440079199835,0.3686727399710299,0.876293297345929,0.8806244260789715,0.9845995893223819,0.9297140087251575,1948,2178,0.35,0.10606060606060606,0.16279069767441862,132,40,0.2,0.006993006993006993,0.013513513513513514,143,5
7,2014,0,2223,0.8834907782276203,0.339264125554753,0.32738003807979005,0.8870895186684661,0.8877320054323223,0.994421906693712,0.9380530973451328,1972,2209,0.16666666666666666,0.014598540145985401,0.026845637583892617,137,12,0.5,0.008771929824561403,0.017241379310344827,114,2
8,2015,0,2223,0.8556005398110661,0.37354225120303464,0.3793013769993529,0.876293297345929,0.8813877168307548,0.9650924024640657,0.9213428081352609,1948,2133,0.21686746987951808,0.125,0.15859030837004406,144,83,0.5714285714285714,0.030534351145038167,0.057971014492753624,131,7
9,2016,0,2223,0.8771929824561403,0.3355557307889445,0.3166050818599039,0.877642825011246,0.877927927927928,0.9989748846745259,0.9345480700071925,1951,2220,1.0,0.007692307692307693,0.015267175572519083,130,1,0.0,0.0,0.0,142,2
10,2017,0,2214,0.8757904245709124,0.33610519125683064,0.3206293275035446,0.8816621499548328,0.8816568047337278,0.9923155737704918,0.9337189684261268,1952,2197,0.11764705882352941,0.016,0.028169014084507043,125,17,0.0,0.0,0.0,137,0
11,2018,0,2214,0.8830171635049684,0.3333333333333333,0.3126249300391781,0.8830171635049684,0.8830171635049684,1.0,0.9378747901175342,1955,2214,0.0,0.0,0.0,126,0,0.0,0.0,0.0,133,0
12,2019,0,2223,0.8884390463337831,0.33591937789866444,0.3190520847057851,0.8884390463337831,0.8887888338586223,0.999493670886076,0.9408960915157293,1975,2221,0.0,0.0,0.0,127,0,0.5,0.008264462809917356,0.016260162601626018,121,2
13,2020,0,2232,0.8727598566308243,0.3476044415780639,0.34211545658811465,0.8767921146953405,0.8786781349026709,0.9918242207460398,0.9318290926548247,1957,2209,0.5,0.0364963503649635,0.06802721088435375,137,10,0.15384615384615385,0.014492753623188406,0.026490066225165563,138,13
14,2021,0,2223,0.8614484930274404,0.40510432633861293,0.42187885350306104,0.8735942420152947,0.8842897460018815,0.9680741503604532,0.9242871189773845,1942,2126,0.4166666666666667,0.2112676056338028,0.2803738317757009,142,72,0.2,0.03597122302158273,0.06097560975609756,139,25
