row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.015664263,0.015664263,27,0.008943346,0.008943346,53,0.012091247,0.012091247,14
1,CORREL,statistics,0.015664263,0.015664263,27,0.008943346,0.008943346,53,0.012091247,0.012091247,14
2,LINEARREG,statistics,0.015664263,0.015664263,27,0.008943346,0.008943346,53,0.012091247,0.012091247,14
3,LINEARREG_ANGLE,statistics,0.015664263,0.015664263,27,0.008943346,0.008943346,53,0.012091247,0.012091247,14
4,LINEARREG_INTERCEPT,statistics,0.015664263,0.015664263,27,0.008943346,0.008943346,53,0.012091247,0.012091247,14
5,LINEARREG_SLOPE,statistics,0.015664263,0.015664263,27,0.008943346,0.008943346,53,0.012091247,0.012091247,14
6,STDDEV,statistics,0.015664263,0.015664263,27,0.008943346,0.008943346,53,0.012091247,0.012091247,14
7,TSF,statistics,0.015664263,0.015664263,27,0.008943346,0.008943346,53,0.012091247,0.012091247,14
8,VAR,statistics,0.015664263,0.015664263,27,0.008943346,0.008943346,53,0.012091247,0.012091247,14
9,AVGPRICE,price_transform,0.015664263,0.015664263,27,0.008943346,0.008943346,53,0.012091247,0.012091247,14
10,MEDPRICE,price_transform,0.015664263,0.015664263,27,0.008943346,0.008943346,53,0.012091247,0.012091247,14
11,TYPPRICE,price_transform,0.015664263,0.015664263,27,0.008943346,0.008943346,53,0.012091247,0.012091247,14
12,WCLPRICE,price_transform,0.015664263,0.015664263,27,0.008943346,0.008943346,53,0.012091247,0.012091247,14
13,TRANGE,volatility,0.017543044,0.017543044,14,0.011262097,0.011262097,27,0.010414757,0.010414757,27
14,AD,volume,0.017543044,0.017543044,14,0.011262097,0.011262097,27,0.010414757,0.010414757,27
15,ADOSC,volume,0.017543044,0.017543044,14,0.011262097,0.011262097,27,0.010414757,0.010414757,27
16,OBV,volume,0.017543044,0.017543044,14,0.011262097,0.011262097,27,0.010414757,0.010414757,27
17,ADX,momentum,0.017543044,0.017543044,14,0.011262097,0.011262097,27,0.010414757,0.010414757,27
18,ADXR,momentum,0.017543044,0.017543044,14,0.011262097,0.011262097,27,0.010414757,0.010414757,27
19,APO,momentum,0.017543044,0.017543044,14,0.011262097,0.011262097,27,0.010414757,0.010414757,27
20,AROONUP,momentum,0.017543044,0.017543044,14,0.011262097,0.011262097,27,0.010414757,0.010414757,27
21,AROONDOWN,momentum,0.017543044,0.017543044,14,0.011262097,0.011262097,27,0.010414757,0.010414757,27
22,AROONOSC,momentum,0.017543044,0.017543044,14,0.011262097,0.011262097,27,0.010414757,0.010414757,27
23,BOP,momentum,0.017543044,0.017543044,14,0.011262097,0.011262097,27,0.010414757,0.010414757,27
24,CCI,momentum,0.017543044,0.017543044,14,0.011262097,0.011262097,27,0.010414757,0.010414757,27
25,CMO,momentum,0.017543044,0.017543044,14,0.011262097,0.011262097,27,0.010414757,0.010414757,27
26,DX,momentum,0.019043328,0.019043328,1,0.0346178,0.0346178,1,0.03803532,0.03803532,1
27,FASTD,momentum,0.019043328,0.019043328,1,0.0346178,0.0346178,1,0.03803532,0.03803532,1
28,FASTDRSI,momentum,0.019043328,0.019043328,1,0.0346178,0.0346178,1,0.03803532,0.03803532,1
29,FASTK,momentum,0.019043328,0.019043328,1,0.0346178,0.0346178,1,0.03803532,0.03803532,1
30,FASTKRSI,momentum,0.019043328,0.019043328,1,0.0346178,0.0346178,1,0.03803532,0.03803532,1
