row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.016126374,0.016126374,40,0.009229553,0.009229553,40,0.012326216,0.012326216,27
1,CORREL,statistics,0.016126374,0.016126374,40,0.009229553,0.009229553,40,0.012326216,0.012326216,27
2,LINEARREG,statistics,0.016126374,0.016126374,40,0.009229553,0.009229553,40,0.012326216,0.012326216,27
3,LINEARREG_ANGLE,statistics,0.016126374,0.016126374,40,0.009229553,0.009229553,40,0.012326216,0.012326216,27
4,LINEARREG_INTERCEPT,statistics,0.016126374,0.016126374,40,0.009229553,0.009229553,40,0.012326216,0.012326216,27
5,LINEARREG_SLOPE,statistics,0.016126374,0.016126374,40,0.009229553,0.009229553,40,0.012326216,0.012326216,27
6,STDDEV,statistics,0.016126374,0.016126374,40,0.009229553,0.009229553,40,0.012326216,0.012326216,27
7,TSF,statistics,0.016126374,0.016126374,40,0.009229553,0.009229553,40,0.012326216,0.012326216,27
8,VAR,statistics,0.016126374,0.016126374,40,0.009229553,0.009229553,40,0.012326216,0.012326216,27
9,AVGPRICE,price_transform,0.016126374,0.016126374,40,0.009229553,0.009229553,40,0.012326216,0.012326216,27
10,MEDPRICE,price_transform,0.016126374,0.016126374,40,0.009229553,0.009229553,40,0.012326216,0.012326216,27
11,TYPPRICE,price_transform,0.016126374,0.016126374,40,0.009229553,0.009229553,40,0.012326216,0.012326216,27
12,WCLPRICE,price_transform,0.016126374,0.016126374,40,0.009229553,0.009229553,40,0.012326216,0.012326216,27
13,TRANGE,volatility,0.017040726,0.017040726,1,0.0110763265,0.0110763265,27,0.014382373,0.014382373,14
14,AD,volume,0.017040726,0.017040726,1,0.0110763265,0.0110763265,27,0.014382373,0.014382373,14
15,ADOSC,volume,0.017040726,0.017040726,1,0.0110763265,0.0110763265,27,0.014382373,0.014382373,14
16,OBV,volume,0.017040726,0.017040726,1,0.0110763265,0.0110763265,27,0.014382373,0.014382373,14
17,ADX,momentum,0.017040726,0.017040726,1,0.0110763265,0.0110763265,27,0.014382373,0.014382373,14
18,ADXR,momentum,0.017040726,0.017040726,1,0.0110763265,0.0110763265,27,0.014382373,0.014382373,14
19,APO,momentum,0.017040726,0.017040726,1,0.0110763265,0.0110763265,27,0.014382373,0.014382373,14
20,AROONUP,momentum,0.017040726,0.017040726,1,0.0110763265,0.0110763265,27,0.014382373,0.014382373,14
21,AROONDOWN,momentum,0.017040726,0.017040726,1,0.0110763265,0.0110763265,27,0.014382373,0.014382373,14
22,AROONOSC,momentum,0.017040726,0.017040726,1,0.0110763265,0.0110763265,27,0.014382373,0.014382373,14
23,BOP,momentum,0.017040726,0.017040726,1,0.0110763265,0.0110763265,27,0.014382373,0.014382373,14
