row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.010360094,-3.8187376e-05,58,0.009815726,0.00044079023,60,0.009836869,-0.0005673288,58
1,CORREL,statistics,0.012360947,0.00034567204,40,0.011592178,-0.00035517523,41,0.01185973,-0.0006511609,40
2,LINEARREG,statistics,0.010389212,-8.805046e-05,56,0.010403157,0.0010023474,51,0.01162765,-0.000277675,43
3,LINEARREG_ANGLE,statistics,0.017812714,-0.002210639,16,0.01770387,0.0029132506,18,0.017682878,0.000118546246,16
4,LINEARREG_INTERCEPT,statistics,0.010635449,-0.000102698454,53,0.010683736,0.00019757557,49,0.010985759,0.0013910288,47
5,LINEARREG_SLOPE,statistics,0.009753596,-5.9254893e-05,63,0.009892028,0.00071102905,59,0.010455892,0.00063239614,52
6,STDDEV,statistics,0.010381232,-0.0009657262,57,0.009578022,0.0012657116,61,0.009210096,0.0009826106,64
7,TSF,statistics,0.010151315,-0.0002978055,60,0.010125249,0.00077736477,55,0.01057533,0.00025623318,51
8,VAR,statistics,0.0066609066,-0.00025666543,65,0.006098045,0.00066547346,65,0.005194334,-0.00020264945,65
9,AVGPRICE,price_transform,0.012870638,-0.000878489,36,0.013014687,0.0014492758,28,0.013672896,0.0007503375,28
10,MEDPRICE,price_transform,0.01167239,0.00016073236,42,0.01180648,0.0005572601,39,0.012098083,5.189638e-05,38
11,TYPPRICE,price_transform,0.012806891,0.00063841353,37,0.012176065,-0.0006780638,35,0.01354231,-0.0008794969,29
12,WCLPRICE,price_transform,0.010675591,-0.0002515749,51,0.011182984,0.0016333001,43,0.011913785,0.00032980923,39
13,TRANGE,volatility,0.011433442,6.3965235e-05,44,0.010946578,0.001363301,46,0.011663201,0.0009941999,41
14,AD,volume,0.013246398,-0.00011243103,31,0.011633398,0.00090263714,40,0.013832752,0.00125356,27
15,ADOSC,volume,0.013149315,-8.971143e-05,33,0.011986782,0.00129967,37,0.012670401,-0.00014684508,33
16,OBV,volume,0.025354343,-0.0031193795,4,0.025428938,0.0071355845,5,0.027744515,0.008162294,5
17,ADX,momentum,0.014358636,3.2622964e-05,27,0.012628342,0.0005065131,33,0.014094879,0.001309451,25
18,ADXR,momentum,0.012741738,-0.0001800051,38,0.011272789,7.1254064e-05,42,0.012323463,0.00082681654,34
19,APO,momentum,0.011231777,-0.000669553,45,0.010235013,0.00022665976,54,0.012692591,0.0018291979,32
20,AROONUP,momentum,0.015389589,1.8504361e-05,24,0.014430825,-0.00029997915,26,0.016169554,0.0012150037,19
21,AROONDOWN,momentum,0.014699682,-0.0006200229,26,0.014060948,0.0011245064,27,0.014056871,0.00072141056,26
22,AROONOSC,momentum,0.020961847,0.00089853833,11,0.019895136,-0.002785579,13,0.022100206,0.0019769687,11
23,BOP,momentum,0.017684124,0.00049226196,17,0.016998596,-0.00024502998,19,0.01670869,-0.00016957641,18
24,CCI,momentum,0.0197763,-0.0023860028,14,0.020021394,0.005001898,12,0.02217064,0.005358426,10
25,CMO,momentum,0.014183846,-0.00012901635,29,0.01530167,-0.0006489223,23,0.016049374,0.00029543473,20
26,DX,momentum,0.020756068,0.0024349713,12,0.018885866,-0.0004225797,17,0.01938485,7.70941e-05,13
27,FASTD,momentum,0.023981925,0.00093434344,8,0.024039734,0.0011318012,8,0.026764939,0.0025712682,6
28,FASTDRSI,momentum,0.025132991,0.0028272239,6,0.0221711,0.00030468917,10,0.02395913,0.0008606675,8
29,FASTK,momentum,0.04291434,-0.008151236,1,0.05235797,0.022936784,1,0.05000498,0.022179518,1
30,FASTKRSI,momentum,0.030646995,0.00022840453,2,0.030486682,0.0033710098,3,0.03361656,0.0073991255,2
31,MACD,momentum,0.016591357,0.0006217148,20,0.019494675,-0.0009215618,15,0.020855973,-0.0011070055,12
32,MACDEXT,momentum,0.017172588,0.0004926843,19,0.015634608,0.0008414129,22,0.018488627,0.0023940941,15
33,MACDFIX,momentum,0.018373162,0.0010772184,15,0.022439044,-0.0015655477,9,0.022238221,-1.2187404e-05,9
34,MFI,momentum,0.020488918,0.0026623898,13,0.019495755,-0.002778933,14,0.019070966,-0.0011235396,14
35,MINUS_DI,momentum,0.030517599,-0.0008680022,3,0.03418959,0.006597472,2,0.03299281,0.006170916,3
36,MINUS_DM,momentum,0.021814069,0.00024756615,9,0.024609413,6.530885e-05,6,0.014870434,-0.0001423539,23
37,MOM,momentum,0.0252816,-0.0017077978,5,0.030159812,0.008072351,4,0.029591417,0.005325324,4
38,PLUS_DI,momentum,0.02431804,0.003383091,7,0.024514627,-0.004784304,7,0.026055701,-0.000851979,7
39,PLUS_DM,momentum,0.011444004,0.00048204587,43,0.009979507,5.3214142e-05,57,0.010113837,0.00021531744,57
40,PPO,momentum,0.010507437,-9.600434e-05,54,0.009931426,1.3684283e-05,58,0.009630363,-0.0002886905,59
41,ROC,momentum,0.010644193,0.00018507012,52,0.010565907,0.00033927526,50,0.0092718415,0.00013873639,62
42,ROCP,momentum,0.017657,-0.0025560535,18,0.019088034,0.0039628805,16,0.015784483,0.0004834918,21
43,ROCR,momentum,0.011836812,-0.0006994067,41,0.011834907,0.0002310978,38,0.010847176,0.00067616045,48
44,ROCR100,momentum,0.010281701,0.00054813334,59,0.01029885,-0.0012030278,52,0.009484769,-8.0510436e-05,60
45,RSI,momentum,0.013176315,-0.00028631027,32,0.012755379,-0.00022348901,31,0.010265391,0.0012159458,53
46,SLOWD,momentum,0.015533056,0.00039943727,23,0.014573586,-0.001232774,25,0.0121528655,0.0006193215,36
47,SLOWK,momentum,0.014299547,0.000599939,28,0.012977076,-0.00032940827,29,0.011027412,-0.00075219997,46
48,TRIX,momentum,0.014899687,0.00028130194,25,0.014799303,-0.0005144457,24,0.01424095,0.0011343544,24
49,ULTOSC,momentum,0.016463121,0.00037586875,21,0.01656414,-0.00047899658,20,0.012124782,0.0005510468,37
50,WILLR,momentum,0.021194175,-0.002868286,10,0.021347653,0.0053458298,11,0.017501786,0.0018412564,17
51,BBANDSL,overlap,0.0130129345,-0.0012307402,35,0.012445979,0.0014272215,34,0.010623294,0.0012305618,50
52,BBANDSM,overlap,0.009746132,-0.00032344036,64,0.009250721,0.00034247938,64,0.009249287,0.00085469626,63
53,BBANDSU,overlap,0.011190581,0.00021858735,47,0.010063746,-2.5520007e-05,56,0.009406695,0.0002302558,61
54,DEMA,overlap,0.011010562,0.00015553378,49,0.010976737,0.0012224051,45,0.011419311,-0.00030610926,44
55,EMA,overlap,0.015624315,0.0014910288,22,0.015679143,8.9631125e-05,21,0.0155352745,0.0006340076,22
56,HT_TRENDLINE,overlap,0.011130219,0.00014964119,48,0.010764653,0.00023208879,48,0.010231422,0.00061551045,54
