row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.010264232,-3.9854087e-05,59,0.010190651,0.00052100007,52,0.011225279,-0.00084054953,40
1,CORREL,statistics,0.012288252,0.0003029572,40,0.011664469,-0.0003993254,40,0.012949581,-0.00088605843,30
2,LINEARREG,statistics,0.010320991,-8.315734e-05,57,0.010466764,0.0011492313,49,0.010503618,0.00015620003,45
3,LINEARREG_ANGLE,statistics,0.017913291,-0.0022277108,16,0.01804567,0.0032445814,17,0.017215602,-0.00020142176,17
4,LINEARREG_INTERCEPT,statistics,0.010657022,-4.7195674e-05,51,0.01093107,0.0005302157,46,0.010532103,0.001351282,44
5,LINEARREG_SLOPE,statistics,0.009745286,4.803487e-06,63,0.009906199,0.00014532548,55,0.009552196,0.0008913221,56
6,STDDEV,statistics,0.010339206,-0.00093944225,56,0.0095831035,0.0015336187,60,0.0088760005,0.0008768637,61
7,TSF,statistics,0.01011873,-0.00024471278,60,0.010289811,0.00073304714,50,0.009755039,0.00016551377,53
8,VAR,statistics,0.0066448026,-0.0002240184,65,0.006057013,0.00087368983,65,0.004880293,-0.0003440297,65
9,AVGPRICE,price_transform,0.012799745,-0.00081545836,38,0.012939075,0.0024009254,31,0.014042392,0.00037276023,25
10,MEDPRICE,price_transform,0.011647446,0.00016505831,42,0.012040428,0.00096197653,37,0.011739886,-0.00022953202,35
11,TYPPRICE,price_transform,0.012824489,0.0005750429,36,0.011903612,-0.0013806701,39,0.013245892,-0.00034929285,29
12,WCLPRICE,price_transform,0.010648617,-0.00021062008,52,0.011300711,0.0018476102,43,0.011713381,-5.887862e-05,36
13,TRANGE,volatility,0.011382864,7.501033e-05,43,0.010081033,0.0011155524,53,0.00996552,0.0010358603,48
14,AD,volume,0.013218759,-0.00015719538,32,0.01224176,0.0011702111,35,0.014331718,0.0006682177,23
15,ADOSC,volume,0.013240108,-0.00015542365,31,0.011982777,0.0015817268,38,0.012508457,0.00020699693,33
16,OBV,volume,0.025382353,-0.0027394076,5,0.025877725,0.0077902344,5,0.026680674,0.007839928,7
17,ADX,momentum,0.014442271,5.9084996e-05,27,0.0125558805,0.00036619426,33,0.014544696,0.0021758894,22
18,ADXR,momentum,0.01280192,-0.00019837925,37,0.011253605,-0.00016023534,44,0.011638382,3.518028e-05,38
19,APO,momentum,0.011176601,-0.00067727733,45,0.009059554,-0.00021025956,64,0.01231324,0.0011826716,34
20,AROONUP,momentum,0.015460345,4.433687e-05,24,0.014364846,-0.000379097,26,0.01684794,0.0013030035,18
21,AROONDOWN,momentum,0.01465885,-0.00066224125,26,0.014435822,0.0014858554,25,0.01401191,0.0008935971,26
22,AROONOSC,momentum,0.020977445,0.00092095253,11,0.019491518,-0.0033587283,14,0.02241948,0.0006904353,9
23,BOP,momentum,0.017690944,0.0004174597,17,0.017218798,-0.0008539812,19,0.015873397,-0.0008769278,20
24,CCI,momentum,0.019733438,-0.0022773966,14,0.020245817,0.0056611244,12,0.021579351,0.0053786444,11
25,CMO,momentum,0.014138731,-0.00025125465,29,0.015235163,-0.00068010786,21,0.015746877,0.0007304774,21
26,DX,momentum,0.02084906,0.0024421709,12,0.02005359,-0.0009188063,13,0.020100936,-0.0006243052,13
27,FASTD,momentum,0.024063094,0.0007944384,8,0.02518748,0.0016867567,7,0.029528413,0.0029764643,6
28,FASTDRSI,momentum,0.025194407,0.0028756019,6,0.023268707,0.0004880986,8,0.024168035,0.0035110312,8
29,FASTK,momentum,0.042668,-0.007498537,1,0.055016667,0.025312731,1,0.05241563,0.019524261,1
30,FASTKRSI,momentum,0.030735586,0.000407618,3,0.03207763,0.003567371,3,0.035280917,0.007284322,3
31,MACD,momentum,0.016695919,0.00071491906,20,0.017103704,-0.0007803887,20,0.019748138,-0.00177274,14
32,MACDEXT,momentum,0.01720721,0.0004788759,19,0.015045836,-0.00010379916,24,0.018524125,0.0022959784,15
33,MACDFIX,momentum,0.018518455,0.0010598878,15,0.019079227,-0.0016123261,15,0.021902373,-0.00048641404,10
34,MFI,momentum,0.020558847,0.0026607742,13,0.021377476,-0.003423458,11,0.020770464,-0.0021144163,12
35,MINUS_DI,momentum,0.030848986,-0.00067107426,2,0.033770293,0.006954082,2,0.042722046,0.008153597,2
36,MINUS_DM,momentum,0.022087295,0.00027565626,9,0.022809282,-0.00039251207,10,0.013735815,0.0010493905,27
37,MOM,momentum,0.025491666,-0.001708109,4,0.027474642,0.00784317,4,0.031061776,0.0058562756,4
38,PLUS_DI,momentum,0.024515394,0.0033251448,7,0.025293892,-0.0049911817,6,0.030497136,-0.0028301883,5
39,PLUS_DM,momentum,0.01135183,0.0004777623,44,0.009490336,0.00022835223,61,0.010683669,-0.00060773024,42
40,PPO,momentum,0.010433473,-0.00010631247,54,0.009610893,0.000119351505,59,0.0095886,6.699254e-05,55
41,ROC,momentum,0.010631961,0.00017540493,53,0.009673757,0.0010027294,58,0.009033527,0.00013593261,60
