row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.011009267,-2.6900387e-05,51,0.0096575385,0.0004069482,60,0.009401695,-0.00048169238,61
1,CORREL,statistics,0.0128532415,0.0006349389,37,0.011561676,-0.0003365475,40,0.011518136,-0.0005775363,45
2,LINEARREG,statistics,0.01085121,-0.00012118611,56,0.01037632,0.0009403754,54,0.011979959,-0.00041366578,40
3,LINEARREG_ANGLE,statistics,0.017131586,-0.0020950292,18,0.017559662,0.0027734563,18,0.017829338,0.00021883473,16
4,LINEARREG_INTERCEPT,statistics,0.010489354,-0.00047856427,60,0.010579382,5.7228637e-05,51,0.011127949,0.0014034867,46
5,LINEARREG_SLOPE,statistics,0.009809864,-0.00049305893,64,0.009886047,0.0009497098,59,0.010739141,0.00055124017,52
6,STDDEV,statistics,0.010665829,-0.0011437213,58,0.00957588,0.0011526766,61,0.009314812,0.001015755,63
7,TSF,statistics,0.010371982,-0.00065734616,62,0.010055818,0.0007960629,57,0.010832435,0.0002846679,51
8,VAR,statistics,0.006769958,-0.00047775125,65,0.006115358,0.00057762314,65,0.0052927653,-0.00015833625,65
9,AVGPRICE,price_transform,0.013350714,-0.0013053322,33,0.01304659,0.0010477572,28,0.013557084,0.00086868246,30
10,MEDPRICE,price_transform,0.011841308,0.00013143875,45,0.0117077725,0.00038650382,39,0.012210354,0.00014010526,36
11,TYPPRICE,price_transform,0.012687726,0.0010675597,38,0.012291014,-0.00038162194,35,0.013635217,-0.0010456803,29
12,WCLPRICE,price_transform,0.0108582685,-0.00052892155,55,0.011133314,0.0015428781,44,0.0119766,0.00045163653,41
13,TRANGE,volatility,0.011775956,-1.0832126e-05,47,0.0113117695,0.0014678306,42,0.01219531,0.0009811418,37
14,AD,volume,0.013433574,0.00019071481,32,0.011376719,0.0007897434,41,0.01367636,0.0014370251,28
15,ADOSC,volume,0.012534454,0.00035529293,39,0.011988469,0.0011806653,38,0.012721158,-0.0002577508,34
16,OBV,volume,0.025164668,-0.0056925593,4,0.025239581,0.006859377,6,0.028077958,0.008263334,5
17,ADX,momentum,0.013792258,-0.000146578,30,0.0126589155,0.00056571607,30,0.0139538925,0.0010378808,26
18,ADXR,momentum,0.012334192,-5.5575147e-05,40,0.011280882,0.0001689236,43,0.01253819,0.0010749414,35
19,APO,momentum,0.011605442,-0.00061724347,48,0.010730963,0.00041100354,49,0.012811493,0.0020318404,33
20,AROONUP,momentum,0.014910424,-0.00015643347,25,0.01445866,-0.00026659813,25,0.015956925,0.0011874217,20
21,AROONDOWN,momentum,0.0149762165,-0.00033411855,24,0.0139027815,0.00097204634,27,0.014070963,0.00066744187,25
22,AROONOSC,momentum,0.020856222,0.0007467486,10,0.020065432,-0.002543757,13,0.022000134,0.0023802104,11
23,BOP,momentum,0.017637927,0.0009988224,15,0.016905691,1.1897238e-05,19,0.016970498,5.2130592e-05,18
24,CCI,momentum,0.02006656,-0.0031214824,12,0.019926704,0.0047237584,14,0.02235597,0.0053520887,9
25,CMO,momentum,0.014489383,0.00069878815,27,0.01532973,-0.0006357641,24,0.016144186,0.00015907804,19
26,DX,momentum,0.020126298,0.0023862203,11,0.018393181,-0.00021321277,17,0.019160403,0.00029693535,13
27,FASTD,momentum,0.023432253,0.0018817874,7,0.023555482,0.0008976578,9,0.025898773,0.0024442659,6
28,FASTDRSI,momentum,0.024717065,0.0024995978,5,0.021707997,0.00022730476,10,0.023893654,2.9956456e-05,8
29,FASTK,momentum,0.04458253,-0.012571228,1,0.051236242,0.021934355,1,0.049249403,0.023011759,1
30,FASTKRSI,momentum,0.030047057,-0.0009852336,2,0.029815434,0.003288161,4,0.033094898,0.0074351067,2
31,MACD,momentum,0.015883273,-9.467718e-06,21,0.02050347,-0.0009811255,12,0.021203203,-0.00089834345,12
32,MACDEXT,momentum,0.016938122,0.0005861975,19,0.01588302,0.0012402163,21,0.018477503,0.0024248473,15
33,MACDFIX,momentum,0.01738922,0.0011945805,17,0.023856612,-0.0015458094,8,0.022343487,0.00013645005,10
34,MFI,momentum,0.020015342,0.0026733335,13,0.018701825,-0.0025069956,16,0.018538285,-0.0008129662,14
35,MINUS_DI,momentum,0.028273437,-0.0022016128,3,0.034366503,0.0064470135,2,0.029943345,0.0055494774,3
36,MINUS_DM,momentum,0.019963767,5.733974e-05,14,0.025368925,0.00025847333,5,0.015226061,-0.00051588577,23
37,MOM,momentum,0.02385906,-0.0017056923,6,0.031292737,0.008169041,3,0.02913056,0.005158907,4
38,PLUS_DI,momentum,0.022981543,0.0037755056,8,0.024185836,-0.004697017,7,0.02466361,-0.00023194146,7
39,PLUS_DM,momentum,0.012068212,0.00051105337,41,0.010185895,-2.0680774e-05,55,0.009935234,0.0004732877,57
40,PPO,momentum,0.011008317,-2.6197027e-05,52,0.010066664,-3.089841e-05,56,0.009643454,-0.0004001733,59
41,ROC,momentum,0.010727024,0.00025052263,57,0.010942321,5.935252e-05,46,0.009346537,0.00013961528,62
42,ROCP,momentum,0.017614858,-0.0030047235,16,0.019282736,0.0035658043,15,0.015652543,0.000596553,22
43,ROCR,momentum,0.011819295,-0.00076323235,46,0.012040493,0.00019607309,37,0.010914718,0.000754842,49
44,ROCR100,momentum,0.010322828,0.00045619952,63,0.010548508,-0.00108441,52,0.009467004,-2.3876897e-05,60
45,RSI,momentum,0.013051537,-0.00059068645,36,0.012582281,-7.384608e-05,33,0.010326144,0.001153016,56
46,SLOWD,momentum,0.015445582,-0.00015921077,23,0.0143535035,-0.0009567201,26,0.011917668,0.00055822346,43
47,SLOWK,momentum,0.014353497,0.00029352034,29,0.012624891,-0.00014442601,31,0.010973229,-0.00072755734,47
48,TRIX,momentum,0.01475008,0.00021133354,26,0.015397319,-0.0005825865,23,0.014429815,0.0011290454,24
49,ULTOSC,momentum,0.016272599,0.0005970001,20,0.016271096,-0.0006861823,20,0.0119432295,0.00051640265,42
50,WILLR,momentum,0.021096418,-0.0029056813,9,0.020596173,0.0046833167,11,0.017316924,0.0018587811,17
51,BBANDSL,overlap,0.013180641,-0.0014659853,34,0.012462442,0.0014998416,34,0.010891727,0.0013369927,50
52,BBANDSM,overlap,0.010382884,-0.0005424026,61,0.0091648195,0.00028079774,63,0.009727424,0.0011134163,58
53,BBANDSU,overlap,0.0118765365,0.0002965331,43,0.009996331,4.563162e-05,58,0.00929482,0.00023686027,64
54,DEMA,overlap,0.011892683,-0.00011073443,42,0.01095677,0.0010142827,45,0.01200483,-0.0004906371,39
55,EMA,overlap,0.015771938,0.0015682871,22,0.015871424,0.00044475342,22,0.015953172,0.0005515064,21
56,HT_TRENDLINE,overlap,0.011322445,0.00016448568,49,0.010715428,0.00022616942,50,0.010531807,0.0006023458,55
57,KAMA,overlap,0.010533674,-0.00011923626,59,0.010400625,0.00033910107,53,0.011598787,-0.001062853,44
58,MA,overlap,0.010892347,0.0005122656,54,0.009403626,-0.00029380794,62,0.010935215,0.00066177396,48
59,MIDPOINT,overlap,0.011053116,-0.00058167864,50,0.010817953,0.00015445615,48,0.010690457,-0.000538122,53
60,MIDPRICE,overlap,0.010956166,-1.111289e-05,53,0.009151542,4.4015032e-05,64,0.010665189,0.0001789942,54
61,SMA,overlap,0.014425028,-0.0019607006,28,0.012900675,0.0017134127,29,0.013784312,0.0008309055,27
62,TEMA,overlap,0.013716825,-7.0111884e-05,31,0.012600621,0.00089198444,32,0.012885991,0.0014789135,32
63,TRIMA,overlap,0.0131232515,0.0012148803,35,0.0121466685,7.684532e-05,36,0.013281023,0.00042658462,31
64,WMA,overlap,0.011865651,-0.00051483774,44,0.01092927,0.0011077789,47,0.01217703,0.00019419909,38
