row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.009182799,0.0001448076,62,0.011198702,0.0022308002,49,0.009569895,0.0009580095,57
1,CORREL,statistics,0.011397962,0.002067748,50,0.012333847,-0.0020493069,38,0.013279411,0.0038992427,36
2,LINEARREG,statistics,0.013146801,0.0024905293,32,0.012236511,0.003977845,39,0.012150635,0.006750087,45
3,LINEARREG_ANGLE,statistics,0.025137123,-0.004081369,7,0.03216672,0.02469969,2,0.032864034,0.030359754,3
4,LINEARREG_INTERCEPT,statistics,0.009881781,0.0016239745,60,0.0103576165,0.00048017598,56,0.013301211,0.0028768291,35
5,LINEARREG_SLOPE,statistics,0.011710942,0.0013859168,47,0.014895693,0.008723843,21,0.012940699,0.0062530306,38
6,STDDEV,statistics,0.012036036,-0.0022903823,41,0.019015588,0.010928264,13,0.013929061,0.010058539,31
7,TSF,statistics,0.010609217,-0.00045283217,54,0.01086831,0.005424798,51,0.014434527,0.007416114,29
8,VAR,statistics,0.006655759,-0.0014930788,65,0.008409758,0.005347075,64,0.005101847,-0.00046150922,65
9,AVGPRICE,price_transform,0.015210639,-0.0017236928,22,0.016733563,0.008170516,15,0.015151397,0.008542704,23
10,MEDPRICE,price_transform,0.012431922,0.0021827836,39,0.013697294,0.0036100682,27,0.0119517,0.0016853735,48
11,TYPPRICE,price_transform,0.016571734,0.007592962,19,0.013320488,-0.0033472374,30,0.013806016,-8.354307e-06,32
12,WCLPRICE,price_transform,0.011230909,0.00033279197,51,0.014231803,0.009539391,25,0.012285979,0.0058784476,42
13,TRANGE,volatility,0.010354193,0.00072432205,56,0.009951094,0.0032382149,58,0.012511855,0.002164966,40
14,AD,volume,0.013947261,0.001499495,27,0.011214485,0.0034908087,48,0.013396344,0.005480091,34
15,ADOSC,volume,0.01283657,0.0017916148,35,0.0148743205,0.009335421,22,0.013256289,0.0033013192,37
16,OBV,volume,0.030194277,-0.007966048,2,0.027763326,0.023009133,4,0.034082193,0.030415574,2
17,ADX,momentum,0.0127926655,0.0021977224,36,0.0113271335,0.0032179083,47,0.018796531,0.009394937,10
