row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.008966412,0.000112792746,62,0.010533368,0.0019118186,56,0.011003929,0.0030788104,50
1,CORREL,statistics,0.011019494,0.00173751,51,0.013915038,-0.003468545,29,0.015962517,0.0018622852,20
2,LINEARREG,statistics,0.013250084,0.0024764373,32,0.011461124,0.004871216,45,0.011066097,0.0063891476,49
3,LINEARREG_ANGLE,statistics,0.025029412,-0.0032252972,8,0.027258608,0.019667093,3,0.027973244,0.025549432,3
4,LINEARREG_INTERCEPT,statistics,0.00985782,0.0017774625,60,0.010875043,-1.6589898e-05,55,0.013695194,0.0040215175,28
5,LINEARREG_SLOPE,statistics,0.011715318,0.0017658371,45,0.01350362,0.0068320488,33,0.01116271,0.008112205,48
6,STDDEV,statistics,0.011865199,-0.0021734855,42,0.018877974,0.013311872,13,0.013307866,0.011137799,32
7,TSF,statistics,0.010496506,-0.00013600018,54,0.009848816,0.0047583496,59,0.012115728,0.003684609,40
8,VAR,statistics,0.0065067383,-0.0012794957,65,0.007862442,0.004881452,65,0.0043188888,-0.0006333912,65
9,AVGPRICE,price_transform,0.015046444,-0.0011279895,23,0.016401073,0.008802951,20,0.016551496,0.012764756,18
10,MEDPRICE,price_transform,0.012408247,0.0020758316,39,0.013770776,0.0043160063,30,0.012534493,0.0017401801,39
11,TYPPRICE,price_transform,0.016563375,0.0075125466,18,0.013101634,-0.0036357727,35,0.01281545,0.0018827554,34
12,WCLPRICE,price_transform,0.011302157,0.00054651074,50,0.013580243,0.008984041,32,0.013673923,0.00735551,29
13,TRANGE,volatility,0.010269952,0.0010101387,57,0.010960371,0.0045711584,53,0.01762061,0.012739227,16
14,AD,volume,0.013969763,0.0012530425,29,0.012592976,0.0038156412,37,0.011489615,0.0041769356,43
15,ADOSC,volume,0.012591513,0.001287259,37,0.016585007,0.011732734,18,0.010784254,0.005031292,52
16,OBV,volume,0.030367501,-0.0054775854,2,0.026800752,0.022042,4,0.03222203,0.030196901,2
17,ADX,momentum,0.01291702,0.0022313106,35,0.011826134,0.0027400353,43,0.022993388,0.013689641,8
18,ADXR,momentum,0.012083891,0.00083605055,40,0.012251374,0.00074524083,38,0.011278064,-0.0031318108,46
19,APO,momentum,0.010116242,-0.0011411235,58,0.009877072,-0.0026538498,58,0.014226723,0.012135244,25
20,AROONUP,momentum,0.014079729,0.0011220161,27,0.011319152,0.004891303,46,0.013346094,0.005712558,31
21,AROONDOWN,momentum,0.015602034,0.00053765107,21,0.014145978,0.0016610201,27,0.013769184,0.003401733,27
22,AROONOSC,momentum,0.021897739,0.008265366,10,0.014636596,-0.002781263,24,0.015191971,0.0037265152,23
23,BOP,momentum,0.017140418,0.005048723,17,0.0151279615,-0.0058425413,22,0.015637876,-0.001844094,21
24,CCI,momentum,0.021471543,-0.0037493713,11,0.024799056,0.017192926,5,0.026777038,0.021977978,4
25,CMO,momentum,0.011912363,0.00063120946,41,0.01692565,0.004880272,16,0.021762623,0.015252962,11
26,DX,momentum,0.018732809,0.006494627,16,0.016910413,0.000430703,17,0.010880154,0.0010811319,51
27,FASTD,momentum,0.019123947,0.0016079523,14,0.01652066,-0.0006328579,19,0.018841224,0.012132491,13
28,FASTDRSI,momentum,0.025500143,0.008481706,5,0.023854002,0.010418119,8,0.0239089,0.0030071428,6
29,FASTK,momentum,0.045121208,-0.01859821,1,0.06402267,0.062013946,1,0.07084343,0.068332314,1
30,FASTKRSI,momentum,0.02838671,0.003306202,3,0.023856118,0.015559445,7,0.022392342,0.016413555,9
31,MACD,momentum,0.015226308,0.0029885266,22,0.014454702,0.0033676445,26,0.013620587,0.008255915,30
32,MACDEXT,momentum,0.014702195,0.000488678,25,0.011956919,-0.0019267777,41,0.016932968,0.011151111,17
33,MACDFIX,momentum,0.013971049,0.0021739907,28,0.011096021,-0.0006717663,50,0.019031137,0.010382798,12
34,MFI,momentum,0.018903166,0.0073745335,15,0.015259076,0.002692085,21,0.018767029,-0.0031355734,14
35,MINUS_DI,momentum,0.025497064,-0.0014012479,6,0.02007494,0.0073369434,12,0.023025885,0.019365003,7
36,MINUS_DM,momentum,0.013141224,0.0018417757,33,0.011719126,-0.0015316005,44,0.010438367,0.0014773415,55
37,MOM,momentum,0.025159683,-0.0022362939,7,0.020229412,0.013896064,11,0.022355283,0.011708361,10
38,PLUS_DI,momentum,0.02089206,0.008533532,12,0.01824346,0.0035251754,14,0.016148664,0.0018990339,19
39,PLUS_DM,momentum,0.008561738,0.000704578,63,0.008249213,0.002825292,63,0.008283943,-0.00043983728,62
40,PPO,momentum,0.0077924742,-0.00012293442,64,0.007913921,0.0025519468,64,0.007227117,0.002578999,64
41,ROC,momentum,0.010021758,0.0021821694,59,0.011234031,0.004097472,47,0.007782291,-0.0008026888,63
42,ROCP,momentum,0.020633407,-0.0043379464,13,0.0228732,0.017689066,9,0.015046911,0.0093792165,24
43,ROCR,momentum,0.009667576,-0.0023197196,61,0.010235494,0.0032877459,57,0.009776944,0.0049363654,58
44,ROCR100,momentum,0.010918548,0.0034924885,53,0.009533167,-0.0013014891,61,0.008556374,-0.00401655,61
45,RSI,momentum,0.011707821,0.00065346964,46,0.013625898,-0.0038213097,31,0.011462379,0.008964701,44
46,SLOWD,momentum,0.01454462,0.0043034106,26,0.011137627,-0.005664127,48,0.013224111,0.005535567,33
47,SLOWK,momentum,0.013967775,0.00514838,30,0.013148071,0.0029517985,34,0.012771002,0.0012470685,36
48,TRIX,momentum,0.013045571,0.0039303526,34,0.010902461,0.003073115,54,0.008594504,0.0027389522,60
49,ULTOSC,momentum,0.013955446,0.003949052,31,0.011031372,0.00041820464,52,0.010486023,0.0038293898,54
50,WILLR,momentum,0.023282055,-0.0062076044,9,0.027565926,0.02354813,2,0.013976226,0.0071799485,26
51,BBANDSL,overlap,0.011604781,-0.0021924926,48,0.01200687,0.0036849715,40,0.009987182,0.0022179582,56
52,BBANDSM,overlap,0.011817292,-0.0014863455,43,0.009599488,0.0019420239,60,0.0126519725,0.006878156,38
53,BBANDSU,overlap,0.010285953,-0.0007338708,56,0.011101823,-0.0019609656,49,0.00903969,0.0045494344,59
54,DEMA,overlap,0.012710509,0.0021658363,36,0.017030764,0.011166579,15,0.011211504,0.004662332,47
55,EMA,overlap,0.026539586,0.0126232235,4,0.023947118,0.010588935,6,0.017944222,-0.0010219068,15
56,HT_TRENDLINE,overlap,0.010359231,0.0027918264,55,0.01186345,0.0002991918,42,0.011692673,-0.0007023015,42
57,KAMA,overlap,0.012524406,-0.0018958335,38,0.014104329,0.003278303,28,0.009851786,0.0044461773,57
58,MA,overlap,0.0118007,0.00038184997,44,0.014812683,0.0050736554,23,0.012667373,0.009263862,37
59,MIDPOINT,overlap,0.011012333,-0.0028534085,52,0.014626793,0.008902306,25,0.012813814,0.008527317,35
60,MIDPRICE,overlap,0.011605182,3.442487e-05,47,0.009277372,0.0013070329,62,0.0119760195,0.0024957901,41
61,SMA,overlap,0.016556941,-0.0059159826,19,0.021418292,0.014137727,10,0.025103858,0.020836974,5
62,TEMA,overlap,0.014703718,0.00076454115,24,0.012625327,0.0029396415,36,0.011433591,0.0057096463,45
63,TRIMA,overlap,0.01620563,0.007045418,20,0.012025191,0.0021016924,39,0.010634082,-0.0028596374,53
64,WMA,overlap,0.011370419,-0.0017171982,49,0.011074799,0.001293934,51,0.015337437,0.0062769908,22
