row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.0106481565,0.0003616132,58,0.011479414,0.0023653845,46,0.009120423,0.00029328105,59
1,CORREL,statistics,0.013960902,0.004304138,26,0.011666699,-0.0014505053,42,0.012438443,0.004537691,43
2,LINEARREG,statistics,0.012447293,0.002585965,42,0.012563669,0.003600918,37,0.012490564,0.006863219,41
3,LINEARREG_ANGLE,statistics,0.025866773,-0.009878701,4,0.034237556,0.02682305,2,0.034396965,0.03186746,3
4,LINEARREG_INTERCEPT,statistics,0.0100440355,0.0005845553,61,0.0101393005,0.00068977044,55,0.013177721,0.0025180462,37
5,LINEARREG_SLOPE,statistics,0.011681287,-0.0011869132,48,0.015483033,0.009522025,19,0.013497978,0.0056703025,35
6,STDDEV,statistics,0.013192972,-0.0030820074,29,0.019073648,0.009922576,13,0.01412376,0.009720267,30
7,TSF,statistics,0.01137246,-0.0025984258,51,0.011298452,0.00570598,48,0.015161315,0.008585689,20
8,VAR,statistics,0.007664959,-0.0029394813,65,0.00864068,0.0055435286,64,0.0053472514,-0.0004076358,65
9,AVGPRICE,price_transform,0.016322644,-0.005757803,21,0.016873859,0.007903678,15,0.014712563,0.0072193765,28
10,MEDPRICE,price_transform,0.012592224,0.002907064,39,0.01366629,0.0033122196,28,0.011769034,0.0016681955,48
11,TYPPRICE,price_transform,0.016628271,0.008137514,19,0.013412826,-0.0032254995,29,0.014116496,-0.0006010899,31
12,WCLPRICE,price_transform,0.0107484115,-0.0011145175,56,0.014506709,0.009773705,23,0.011850958,0.005415491,47
13,TRANGE,volatility,0.010924692,-0.0012112311,54,0.009525263,0.002675825,58,0.010910605,-0.0011493546,52
14,AD,volume,0.013794867,0.003168473,27,0.010632879,0.0033537564,51,0.013993973,0.005888545,33
15,ADOSC,volume,0.014495997,0.005207119,25,0.014152555,0.0083239665,25,0.0140311085,0.0027590897,32
16,OBV,volume,0.029021226,-0.024817992,2,0.028169448,0.02341716,4,0.034665223,0.03048411,2
17,ADX,momentum,0.011950571,0.0019702709,45,0.011116592,0.0034195308,49,0.0174811,0.008048835,13
18,ADXR,momentum,0.012705471,0.0008775153,36,0.011517861,0.0023115675,45,0.011536769,0.001861255,49
19,APO,momentum,0.011642459,-0.0014614264,49,0.011448392,0.0015963588,47,0.017872443,0.014926037,11
20,AROONUP,momentum,0.011917099,-0.00072102016,46,0.010492794,0.0029160518,52,0.010617819,0.0058022356,53
21,AROONDOWN,momentum,0.016015237,0.00085378694,22,0.0128289545,-0.0001639803,35,0.01645124,0.0054145716,16
22,AROONOSC,momentum,0.019195307,0.0051570027,14,0.014048687,-0.0020250473,26,0.02124682,0.0096553955,8
23,BOP,momentum,0.017307164,0.005561508,17,0.014158483,-0.0010226293,24,0.014918096,0.0014897686,27
24,CCI,momentum,0.021165939,-0.012387672,10,0.025847103,0.020115823,5,0.021963231,0.018810418,6
25,CMO,momentum,0.012180216,0.0040560537,43,0.016277183,0.0059254305,16,0.015144659,0.0064359372,22
26,DX,momentum,0.017824316,0.004096223,16,0.014920586,-0.00118316,21,0.01313078,0.003117708,38
27,FASTD,momentum,0.020739404,0.0050498764,11,0.015749183,0.0021656763,17,0.017646167,0.010600222,12
28,FASTDRSI,momentum,0.024918424,0.0069180317,5,0.021244306,0.0055889445,10,0.01698177,0.003287268,15
29,FASTK,momentum,0.052026127,-0.042008903,1,0.061585877,0.058294956,1,0.07211262,0.068747856,1
30,FASTKRSI,momentum,0.023908453,-0.008948506,7,0.020158207,0.012392927,12,0.024964383,0.01627667,4
31,MACD,momentum,0.013015551,-0.0045679375,32,0.01532497,0.001420021,20,0.014259861,0.006532535,29
32,MACDEXT,momentum,0.014948765,0.0022839385,24,0.012843703,0.0027174146,34,0.016151829,0.010796408,17
33,MACDFIX,momentum,0.012079217,0.0018752065,44,0.010475576,-0.0023491415,53,0.015122704,0.007414302,24
34,MFI,momentum,0.018323593,0.0049372003,15,0.012531627,0.0017445957,38,0.013114544,-0.00085879484,39
35,MINUS_DI,momentum,0.023919892,-0.0010910293,6,0.020989843,0.0068647754,11,0.014955148,0.00825311,26
36,MINUS_DM,momentum,0.010860114,0.0010228213,55,0.01326511,0.0028178613,30,0.012005795,-0.004959753,45
37,MOM,momentum,0.021900792,-0.007781974,8,0.02479888,0.019228427,7,0.023826106,0.012517694,5
38,PLUS_DI,momentum,0.016561942,0.0062471344,20,0.018530149,0.0023774935,14,0.019782482,0.009438601,9
39,PLUS_DM,momentum,0.009676792,-4.7591027e-05,63,0.009285747,0.005511595,63,0.007551772,5.9659884e-05,64
40,PPO,momentum,0.008545937,0.00017203875,64,0.007893712,0.0036192352,65,0.008659323,0.001522646,61
41,ROC,momentum,0.010724624,0.0026626252,57,0.010051202,0.0022005262,56,0.009547407,0.00042311195,56
42,ROCP,momentum,0.020020017,-0.009969194,12,0.030698758,0.02538453,3,0.015175941,0.009477817,19
43,ROCR,momentum,0.009935245,-0.0040302067,62,0.009755639,0.0020138747,57,0.010109447,0.0055914307,54
44,ROCR100,momentum,0.010210516,0.0014281949,60,0.009439033,-0.0028789076,62,0.008366631,-0.002409396,62
45,RSI,momentum,0.01275299,4.1574756e-05,35,0.01314462,7.784201e-05,31,0.012224496,0.008191387,44
46,SLOWD,momentum,0.01289697,-0.00068621436,34,0.009490654,-0.0034539495,60,0.011957217,0.005325908,46
47,SLOWK,momentum,0.012585213,0.0033558072,40,0.010987958,0.0038170177,50,0.009401295,-0.0002894196,58
48,TRIX,momentum,0.011581989,0.00231518,50,0.0102228075,0.0008299,54,0.011169149,0.0029246404,50
49,ULTOSC,momentum,0.013417714,0.0060483757,28,0.012010494,-0.003464831,40,0.008223157,0.0026405398,63
50,WILLR,momentum,0.021361917,-0.012908129,9,0.024506142,0.020733824,8,0.016091324,0.011997661,18
51,BBANDSL,overlap,0.011256435,-0.0026310333,52,0.011615837,0.004661998,43,0.009409768,0.00407984,57
52,BBANDSM,overlap,0.012962637,-0.0037138094,33,0.009513519,0.00022149709,59,0.018526077,0.016885607,10
53,BBANDSU,overlap,0.010550116,-0.0009951341,59,0.0115512395,-0.00094181806,44,0.008986151,0.0038320855,60
54,DEMA,overlap,0.013174738,0.0008965236,30,0.015724996,0.0060508694,18,0.012487906,0.005650291,42
55,EMA,overlap,0.026555892,0.012686795,3,0.02283781,0.0050122347,9,0.015125736,-0.005081172,23
56,HT_TRENDLINE,overlap,0.0110270465,0.0037902077,53,0.01218323,0.0036811335,39,0.011082206,-0.002968023,51
57,KAMA,overlap,0.0124755865,-0.002646999,41,0.012644556,0.00323414,36,0.013199701,0.0047669485,36
58,MA,overlap,0.013169935,0.0017498983,31,0.013101489,0.0021323457,32,0.0151568055,0.010833828,21
59,MIDPOINT,overlap,0.012628559,-0.0047354,38,0.0145306615,0.005943682,22,0.013982675,0.008361973,34
