column,Hold,Buy,Sell
0,0.008508518,0.0031135955,0.0042505376
1,0.008508518,0.0031135955,0.0042505376
2,0.008508518,0.0031135955,0.0042505376
3,0.008508518,0.0031135955,0.0042505376
4,0.008508518,0.0031135955,0.0042505376
5,0.008508518,0.0031135955,0.0042505376
6,0.008508518,0.0031135955,0.0042505376
7,0.008508518,0.0031135955,0.0042505376
8,0.008508518,0.0031135955,0.0042505376
9,0.008508518,0.0031135955,0.0042505376
10,0.008508518,0.0031135955,0.0042505376
11,0.008508518,0.0031135955,0.0042505376
12,0.008508518,0.0031135955,0.0042505376
13,0.010924652,0.00391224,0.0048280535
14,0.010924652,0.00391224,0.0048280535
15,0.010924652,0.00391224,0.0048280535
16,0.010924652,0.00391224,0.0048280535
17,0.010924652,0.00391224,0.0048280535
18,0.010924652,0.00391224,0.0048280535
19,0.010924652,0.00391224,0.0048280535
20,0.010924652,0.00391224,0.0048280535
21,0.010924652,0.00391224,0.0048280535
22,0.010924652,0.00391224,0.0048280535
23,0.010924652,0.00391224,0.0048280535
24,0.010924652,0.00391224,0.0048280535
25,0.010924652,0.00391224,0.0048280535
26,0.011445939,0.004616005,0.004967058
27,0.011445939,0.004616005,0.004967058
28,0.011445939,0.004616005,0.004967058
29,0.011445939,0.004616005,0.004967058
30,0.011445939,0.004616005,0.004967058
31,0.011445939,0.004616005,0.004967058
32,0.011445939,0.004616005,0.004967058
33,0.011445939,0.004616005,0.004967058
34,0.011445939,0.004616005,0.004967058
35,0.011445939,0.004616005,0.004967058
36,0.011445939,0.004616005,0.004967058
37,0.011445939,0.004616005,0.004967058
38,0.011445939,0.004616005,0.004967058
39,0.013002895,0.0050115692,0.0063276575
40,0.013002895,0.0050115692,0.0063276575
41,0.013002895,0.0050115692,0.0063276575
42,0.013002895,0.0050115692,0.0063276575
43,0.013002895,0.0050115692,0.0063276575
44,0.013002895,0.0050115692,0.0063276575
45,0.013002895,0.0050115692,0.0063276575
46,0.013002895,0.0050115692,0.0063276575
47,0.013002895,0.0050115692,0.0063276575
48,0.013002895,0.0050115692,0.0063276575
49,0.013002895,0.0050115692,0.0063276575
50,0.013002895,0.0050115692,0.0063276575
51,0.013002895,0.0050115692,0.0063276575
52,0.033041064,0.060269687,0.05654978
53,0.033041064,0.060269687,0.05654978
54,0.033041064,0.060269687,0.05654978
55,0.033041064,0.060269687,0.05654978
56,0.033041064,0.060269687,0.05654978
57,0.033041064,0.060269687,0.05654978
58,0.033041064,0.060269687,0.05654978
59,0.033041064,0.060269687,0.05654978
60,0.033041064,0.060269687,0.05654978
61,0.033041064,0.060269687,0.05654978
62,0.033041064,0.060269687,0.05654978
63,0.033041064,0.060269687,0.05654978
64,0.033041064,0.060269687,0.05654978
