column,Hold,Buy,Sell
0,0.009333738,0.0032238232,0.0045866435
1,0.009333738,0.0032238232,0.0045866435
2,0.009333738,0.0032238232,0.0045866435
3,0.009333738,0.0032238232,0.0045866435
4,0.009333738,0.0032238232,0.0045866435
5,0.009333738,0.0032238232,0.0045866435
6,0.009333738,0.0032238232,0.0045866435
7,0.009333738,0.0032238232,0.0045866435
8,0.009333738,0.0032238232,0.0045866435
9,0.009333738,0.0032238232,0.0045866435
10,0.009333738,0.0032238232,0.0045866435
11,0.009333738,0.0032238232,0.0045866435
12,0.009333738,0.0032238232,0.0045866435
13,0.012144392,0.004018308,0.0046043657
14,0.012144392,0.004018308,0.0046043657
15,0.012144392,0.004018308,0.0046043657
16,0.012144392,0.004018308,0.0046043657
17,0.012144392,0.004018308,0.0046043657
18,0.012144392,0.004018308,0.0046043657
19,0.012144392,0.004018308,0.0046043657
20,0.012144392,0.004018308,0.0046043657
21,0.012144392,0.004018308,0.0046043657
22,0.012144392,0.004018308,0.0046043657
23,0.012144392,0.004018308,0.0046043657
24,0.012144392,0.004018308,0.0046043657
25,0.012144392,0.004018308,0.0046043657
26,0.014741132,0.0044663968,0.0045702267
27,0.014741132,0.0044663968,0.0045702267
28,0.014741132,0.0044663968,0.0045702267
29,0.014741132,0.0044663968,0.0045702267
30,0.014741132,0.0044663968,0.0045702267
31,0.014741132,0.0044663968,0.0045702267
32,0.014741132,0.0044663968,0.0045702267
33,0.014741132,0.0044663968,0.0045702267
34,0.014741132,0.0044663968,0.0045702267
35,0.014741132,0.0044663968,0.0045702267
36,0.014741132,0.0044663968,0.0045702267
37,0.014741132,0.0044663968,0.0045702267
38,0.014741132,0.0044663968,0.0045702267
39,0.013277622,0.005473431,0.0070654196
40,0.013277622,0.005473431,0.0070654196
41,0.013277622,0.005473431,0.0070654196
42,0.013277622,0.005473431,0.0070654196
43,0.013277622,0.005473431,0.0070654196
44,0.013277622,0.005473431,0.0070654196
45,0.013277622,0.005473431,0.0070654196
46,0.013277622,0.005473431,0.0070654196
47,0.013277622,0.005473431,0.0070654196
48,0.013277622,0.005473431,0.0070654196
49,0.013277622,0.005473431,0.0070654196
50,0.013277622,0.005473431,0.0070654196
51,0.013277622,0.005473431,0.0070654196
52,0.027426183,0.059741113,0.056096397
53,0.027426183,0.059741113,0.056096397
54,0.027426183,0.059741113,0.056096397
55,0.027426183,0.059741113,0.056096397
56,0.027426183,0.059741113,0.056096397
57,0.027426183,0.059741113,0.056096397
58,0.027426183,0.059741113,0.056096397
59,0.027426183,0.059741113,0.056096397
60,0.027426183,0.059741113,0.056096397
61,0.027426183,0.059741113,0.056096397
62,0.027426183,0.059741113,0.056096397
63,0.027426183,0.059741113,0.056096397
64,0.027426183,0.059741113,0.056096397
