column,Hold,Buy,Sell
0,0.009459017,0.009558299,0.011184218
1,0.008422779,0.008586357,0.008755798
2,0.007639843,0.008160102,0.008301088
3,0.0073935576,0.0074782297,0.008275053
4,0.0064965715,0.00715506,0.006947147
5,0.0071929926,0.0073859533,0.008803909
6,0.007499325,0.0076910052,0.008190242
7,0.0075104237,0.008468184,0.00717846
8,0.007378567,0.008349354,0.006996762
9,0.0063983887,0.0070383362,0.006835064
10,0.007635852,0.008427254,0.007592423
11,0.008467613,0.009526581,0.008303
12,0.019901719,0.025382806,0.025320165
13,0.009584008,0.009780775,0.011842026
14,0.008637455,0.008759911,0.009704733
15,0.007862773,0.008257991,0.008757308
16,0.0076726945,0.0077685947,0.007960287
17,0.006792981,0.0074063772,0.0071776863
18,0.007471977,0.0072573056,0.00899878
19,0.008036596,0.007658588,0.008363141
20,0.007881494,0.008365246,0.006893573
21,0.007928161,0.008337068,0.0071678916
22,0.0068691475,0.00671216,0.006692345
23,0.0082433615,0.007822061,0.007531716
24,0.009027437,0.008640211,0.008367567
25,0.019792765,0.022700265,0.023698278
26,0.009989339,0.009507032,0.011289878
27,0.008858354,0.008748506,0.008858132
28,0.008110972,0.008280134,0.008256733
29,0.007964787,0.007534957,0.007660783
30,0.0069999755,0.0071899327,0.006809387
31,0.007691275,0.0070600654,0.0091836415
32,0.008180295,0.0072526806,0.008606135
33,0.008034143,0.0075481604,0.0072227004
34,0.008089293,0.007972621,0.0070453235
35,0.0070111575,0.0066394,0.0067372667
36,0.0082801785,0.0076148077,0.007488295
37,0.009246264,0.008509018,0.008262809
38,0.019796602,0.022030238,0.023996934
39,0.010252937,0.009622911,0.01054149
40,0.009302486,0.00883447,0.00866844
41,0.008440551,0.008344448,0.00820305
42,0.008338597,0.0080784885,0.0075504663
43,0.007354655,0.0076085688,0.006786254
44,0.008095781,0.0074318964,0.008925873
45,0.008554154,0.007786929,0.008165381
46,0.008432763,0.00811318,0.006782806
47,0.008543585,0.008343834,0.0070763896
48,0.0073294435,0.006875494,0.00658608
49,0.008608213,0.007815984,0.007417431
50,0.009453564,0.00834757,0.008203054
51,0.019705897,0.019767007,0.022489183
52,0.048756666,0.04760095,0.044425808
53,0.04091237,0.035829082,0.040545624
54,0.035661727,0.03191491,0.034646004
55,0.036085986,0.03231485,0.031221699
56,0.029409861,0.026225127,0.02684708
57,0.033362873,0.029309975,0.031591672
58,0.033265084,0.030058006,0.033127315
59,0.03394367,0.028970685,0.029398749
60,0.034222823,0.028344974,0.029876323
61,0.029712372,0.02697427,0.026970167
62,0.036065992,0.03429552,0.032681525
63,0.039511263,0.038753614,0.03528884
64,0.10122656,0.13387561,0.11872663
