column,Hold,Buy,Sell
0,0.009404302,0.009638903,0.011943633
1,0.00836752,0.008863268,0.009430183
2,0.0076126847,0.008496246,0.007893025
3,0.007358117,0.007574733,0.008133441
4,0.006462722,0.0076109096,0.0061029373
5,0.007154841,0.0077377753,0.008059185
6,0.007432264,0.008026182,0.0073442636
7,0.0074571413,0.009187265,0.006308421
8,0.007380724,0.008676945,0.006146229
9,0.0063359286,0.0072077466,0.0060086083
10,0.007589169,0.00848317,0.0064509376
11,0.008460569,0.009478428,0.007497119
12,0.019961037,0.024919882,0.025638126
13,0.009501752,0.009937826,0.0112719005
14,0.008559393,0.008764588,0.010553121
15,0.007779371,0.00821869,0.009391275
16,0.0076134214,0.007468844,0.008953263
17,0.0066919383,0.007272714,0.007649261
18,0.007392634,0.007142423,0.009838395
19,0.007903234,0.007486017,0.00910558
20,0.00777128,0.008552567,0.0074497843
21,0.007773014,0.008617967,0.007569697
22,0.0067453473,0.007002937,0.0072103944
23,0.00805225,0.008088203,0.0077820783
24,0.0089232605,0.008914676,0.009213129
25,0.019750841,0.022573382,0.025555126
26,0.009890444,0.009767393,0.01212683
27,0.008847523,0.009024765,0.009391033
28,0.00807718,0.008369175,0.008721933
29,0.007942387,0.007200287,0.0076200995
30,0.006946859,0.0072708726,0.0067489124
31,0.0076465905,0.0072477097,0.008696292
32,0.008165255,0.0070373015,0.008044639
33,0.007982048,0.0075842612,0.0065539395
34,0.008056933,0.008217048,0.006659749
35,0.006968382,0.0066850875,0.0067565185
36,0.008239174,0.007691715,0.0069206795
37,0.009305136,0.008241062,0.007992864
38,0.020069882,0.021292686,0.025307685
39,0.010273632,0.010025255,0.009563567
40,0.009254051,0.009014008,0.0077888602
41,0.008381065,0.008540131,0.007948737
42,0.008273532,0.007936289,0.0073876265
43,0.007303314,0.0077597653,0.006952061
44,0.008036936,0.007481843,0.00884699
45,0.008508141,0.007557012,0.008835841
46,0.008406599,0.008367976,0.007074349
47,0.008520613,0.008494808,0.00735532
48,0.0072842315,0.0071921023,0.0066266158
49,0.008556365,0.008156072,0.0074377847
50,0.009447105,0.008445052,0.007953035
51,0.01994796,0.019255353,0.023960253
52,0.04908309,0.04368143,0.041461423
53,0.041266453,0.034956623,0.03886801
54,0.03604004,0.030663583,0.0325773
55,0.0364322,0.03082839,0.031039838
56,0.029579764,0.02545249,0.02691037
57,0.033588722,0.028723788,0.032937746
58,0.033525836,0.030323165,0.03502701
59,0.03404078,0.028895896,0.029360108
60,0.034413956,0.02933386,0.030147482
61,0.029744849,0.02674536,0.027327228
62,0.03627209,0.03357102,0.032126285
63,0.039843816,0.03976532,0.033933967
64,0.10040232,0.13726175,0.12051194
