column,Hold,Buy,Sell
0,0.009829557,0.009524294,0.010946193
1,0.008797002,0.008469526,0.008544424
2,0.007823765,0.008018276,0.008428984
3,0.00763356,0.0074375137,0.00831944
4,0.006725814,0.0069627287,0.007211748
5,0.007451362,0.0072375154,0.009037327
6,0.007953462,0.007549586,0.008455399
7,0.007871278,0.008164791,0.007451158
8,0.0073639746,0.0082111405,0.0072633447
9,0.006821381,0.006966859,0.0070941006
10,0.007951991,0.008403662,0.007950202
11,0.008515321,0.009546896,0.0085555855
12,0.01949998,0.025578126,0.025220517
13,0.010141054,0.00971451,0.012020723
14,0.00916609,0.00875794,0.00943882
15,0.008427575,0.008274572,0.008558599
16,0.008074107,0.007895064,0.0076490566
17,0.007477232,0.0074627697,0.0070298817
18,0.008009291,0.0073057767,0.008735617
19,0.00893973,0.0077314004,0.008130434
20,0.008627881,0.008286211,0.006719237
21,0.008978816,0.008218554,0.007041952
22,0.0077075223,0.0065894765,0.00652997
23,0.0095375655,0.0077097714,0.0074532437
24,0.009732911,0.008524409,0.008102544
25,0.020076694,0.022753803,0.023116285
26,0.0106590735,0.009397183,0.011027549
27,0.008931685,0.008631944,0.008691103
28,0.008339804,0.008242565,0.008110925
29,0.00811648,0.00767616,0.0076735336
30,0.0073596844,0.0071557816,0.0068283416
31,0.007993882,0.0069808937,0.009336391
32,0.0082821455,0.0073435535,0.008782128
33,0.008386937,0.0075329263,0.007432309
34,0.008308445,0.007869494,0.0071661742
35,0.0073008332,0.006620123,0.0067312336
36,0.008557863,0.007582361,0.0076662065
37,0.008847572,0.008622075,0.008347419
38,0.0179459,0.022341423,0.023586113
39,0.010112786,0.009453155,0.010848
40,0.009630476,0.008758721,0.008944129
41,0.008843408,0.0082618855,0.008282758
42,0.008779202,0.008138483,0.007601506
43,0.0077023315,0.0075447774,0.0067342846
44,0.008494284,0.0074108243,0.008950595
45,0.008865744,0.007883933,0.007955236
46,0.008609964,0.0080056805,0.006691425
47,0.008699159,0.008280134,0.006988962
48,0.007635616,0.006741911,0.0065733753
49,0.008959318,0.007672493,0.007411053
50,0.009497319,0.00830644,0.008281418
51,0.01806663,0.019982884,0.022028107
52,0.046546135,0.049254656,0.045354955
53,0.038514517,0.03619717,0.041071445
54,0.03309975,0.032442868,0.035294402
55,0.033741504,0.032942016,0.0312787
56,0.028259275,0.026551113,0.026827242
57,0.031833366,0.029557293,0.031169772
58,0.03149924,0.029946126,0.03253189
59,0.033286072,0.02900225,0.02941087
60,0.03292852,0.02792774,0.029791329
61,0.02949247,0.02707086,0.026858248
62,0.034670256,0.0346012,0.032855555
63,0.037259232,0.038326763,0.035713512
64,0.10680819,0.13244699,0.11816701
