fold,test_year,seed,n,accuracy,balanced_accuracy,macro_f1,majority_class_accuracy,precision_Hold,recall_Hold,f1_Hold,support_Hold,predicted_Hold,precision_Buy,recall_Buy,f1_Buy,support_Buy,predicted_Buy,precision_Sell,recall_Sell,f1_Sell,support_Sell,predicted_Sell
0,2007,0,2214,0.4110207768744354,0.7153749570579763,0.36818611776829663,0.8613369467028004,0.9604261796042618,0.33088620870477187,0.4921996879875195,1907,657,0.22658610271903323,0.9316770186335404,0.3645200486026732,161,662,0.1441340782122905,0.8835616438356164,0.2478386167146974,146,895
1,2008,0,2232,0.47580645161290325,0.6451282846290985,0.383742986812867,0.8691756272401434,0.9323725055432373,0.43350515463917527,0.5918367346938775,1940,902,0.1496149614961496,0.8947368421052632,0.2563619227144204,152,909,0.20190023752969122,0.6071428571428571,0.30303030303030304,140,421
2,2009,0,2223,0.4943769680611786,0.727032737860688,0.4011628877912717,0.8803418803418803,0.9612403100775194,0.44353602452733776,0.606993006993007,1957,903,0.21723518850987433,0.9166666666666666,0.35123367198838895,132,557,0.14416775884665792,0.8208955223880597,0.24526198439241917,134,763
3,2010,0,2223,0.3882141250562303,0.7251748659178966,0.33700734766415236,0.8875393612235718,0.9722650231124808,0.319817536746072,0.4813119755911518,1973,649,0.18959731543624161,0.9186991869918699,0.3143254520166898,123,596,0.12167689161554192,0.937007874015748,0.2153846153846154,127,978
4,2011,0,2223,0.5258659469185785,0.7055040830728712,0.42465787593661414,0.8641475483580747,0.9446153846153846,0.47943779281624155,0.636049723756906,1921,975,0.21417565485362094,0.8853503184713376,0.34491315136476425,157,649,0.18196994991652754,0.7517241379310344,0.29301075268817206,145,599
5,2012,0,2205,0.44761904761904764,0.7344989559684714,0.3870739882704592,0.8702947845804989,0.966711051930759,0.37832204273058884,0.5438202247191011,1919,751,0.22395833333333334,0.9020979020979021,0.3588317107093185,143,576,0.15034168564920272,0.9230769230769231,0.25857002938295787,143,878
6,2013,0,2223,0.313540260908682,0.7176902495177648,0.30494516917509856,0.876293297345929,0.9795454545454545,0.22125256673511293,0.3609715242881072,1948,440,0.20741989881956155,0.9318181818181818,0.3393103448275862,132,593,0.12016806722689076,1.0,0.2145536384096024,143,1190
7,2014,0,2223,0.45434098065677014,0.7098301824207103,0.3710239882813835,0.8870895186684661,0.9589371980676329,0.4026369168356998,0.5671428571428572,1972,828,0.20917431192660552,0.8321167883211679,0.3343108504398827,137,545,0.12,0.8947368421052632,0.21161825726141079,114,850
8,2015,0,2223,0.5510571300044984,0.7358980147679067,0.43488460595130163,0.876293297345929,0.9611650485436893,0.5082135523613963,0.6648757555406313,1948,1030,0.19350282485875706,0.9513888888888888,0.3215962441314554,144,708,0.2020618556701031,0.7480916030534351,0.3181818181818182,131,485
9,2016,0,2223,0.4925775978407557,0.7150152739962228,0.4003586894757385,0.877642825011246,0.9578246392896781,0.442337262942081,0.6051893408134642,1951,901,0.20866141732283464,0.8153846153846154,0.3322884012539185,130,508,0.1547911547911548,0.8873239436619719,0.26359832635983266,142,814
10,2017,0,2214,0.5749774164408311,0.7455470364165769,0.44794204533447707,0.8816621499548328,0.9633363886342805,0.538422131147541,0.690765691751561,1952,1091,0.23417721518987342,0.888,0.37061769616026713,125,474,0.17103235747303544,0.8102189781021898,0.2824427480916031,137,649
11,2018,0,2214,0.5420054200542005,0.7582589608434271,0.427436451359312,0.8830171635049684,0.970970970970971,0.4961636828644501,0.6567366283006093,1955,999,0.1796042617960426,0.9365079365079365,0.30140485312899107,126,657,0.2007168458781362,0.8421052631578947,0.32416787264833574,133,558
12,2019,0,2223,0.4943769680611786,0.7549641664600483,0.4061160826770595,0.8884390463337831,0.9754189944134078,0.4420253164556962,0.608362369337979,1975,895,0.24210526315789474,0.905511811023622,0.38205980066445183,127,475,0.13012895662368112,0.9173553719008265,0.22792607802874743,121,853
13,2020,0,2232,0.6084229390681004,0.6684308474797808,0.44785691528778426,0.8767921146953405,0.9356913183279743,0.5947879407256004,0.7272727272727273,1957,1244,0.20941176470588235,0.6496350364963503,0.3167259786476868,137,425,0.18650088809946713,0.7608695652173914,0.2995720399429387,138,563
14,2021,0,2223,0.5587044534412956,0.7520224518953178,0.4466051929306573,0.8735942420152947,0.9651500484027106,0.5133882595262615,0.6702521008403362,1942,1033,0.23351158645276293,0.9225352112676056,0.37268847795163584,142,561,0.18124006359300476,0.8201438848920863,0.296875,139,629
