row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.011147806,0.011147806,53,0.003849431,0.003849431,53,0.0076824417,0.0076824417,53
1,CORREL,statistics,0.011147806,0.011147806,53,0.003849431,0.003849431,53,0.0076824417,0.0076824417,53
2,LINEARREG,statistics,0.011147806,0.011147806,53,0.003849431,0.003849431,53,0.0076824417,0.0076824417,53
3,LINEARREG_ANGLE,statistics,0.011147806,0.011147806,53,0.003849431,0.003849431,53,0.0076824417,0.0076824417,53
4,LINEARREG_INTERCEPT,statistics,0.011147806,0.011147806,53,0.003849431,0.003849431,53,0.0076824417,0.0076824417,53
5,LINEARREG_SLOPE,statistics,0.011147806,0.011147806,53,0.003849431,0.003849431,53,0.0076824417,0.0076824417,53
6,STDDEV,statistics,0.011147806,0.011147806,53,0.003849431,0.003849431,53,0.0076824417,0.0076824417,53
7,TSF,statistics,0.011147806,0.011147806,53,0.003849431,0.003849431,53,0.0076824417,0.0076824417,53
8,VAR,statistics,0.011147806,0.011147806,53,0.003849431,0.003849431,53,0.0076824417,0.0076824417,53
9,AVGPRICE,price_transform,0.011147806,0.011147806,53,0.003849431,0.003849431,53,0.0076824417,0.0076824417,53
10,MEDPRICE,price_transform,0.011147806,0.011147806,53,0.003849431,0.003849431,53,0.0076824417,0.0076824417,53
11,TYPPRICE,price_transform,0.011147806,0.011147806,53,0.003849431,0.003849431,53,0.0076824417,0.0076824417,53
12,WCLPRICE,price_transform,0.011147806,0.011147806,53,0.003849431,0.003849431,53,0.0076824417,0.0076824417,53
13,TRANGE,volatility,0.015763776,0.015763776,14,0.011033552,0.011033552,27,0.0117033385,0.0117033385,14
14,AD,volume,0.015763776,0.015763776,14,0.011033552,0.011033552,27,0.0117033385,0.0117033385,14
15,ADOSC,volume,0.015763776,0.015763776,14,0.011033552,0.011033552,27,0.0117033385,0.0117033385,14
16,OBV,volume,0.015763776,0.015763776,14,0.011033552,0.011033552,27,0.0117033385,0.0117033385,14
17,ADX,momentum,0.015763776,0.015763776,14,0.011033552,0.011033552,27,0.0117033385,0.0117033385,14
18,ADXR,momentum,0.015763776,0.015763776,14,0.011033552,0.011033552,27,0.0117033385,0.0117033385,14
19,APO,momentum,0.015763776,0.015763776,14,0.011033552,0.011033552,27,0.0117033385,0.0117033385,14
20,AROONUP,momentum,0.015763776,0.015763776,14,0.011033552,0.011033552,27,0.0117033385,0.0117033385,14
21,AROONDOWN,momentum,0.015763776,0.015763776,14,0.011033552,0.011033552,27,0.0117033385,0.0117033385,14
22,AROONOSC,momentum,0.015763776,0.015763776,14,0.011033552,0.011033552,27,0.0117033385,0.0117033385,14
23,BOP,momentum,0.015763776,0.015763776,14,0.011033552,0.011033552,27,0.0117033385,0.0117033385,14
24,CCI,momentum,0.015763776,0.015763776,14,0.011033552,0.011033552,27,0.0117033385,0.0117033385,14
25,CMO,momentum,0.015763776,0.015763776,14,0.011033552,0.011033552,27,0.0117033385,0.0117033385,14
26,DX,momentum,0.023882637,0.023882637,1,0.041428164,0.041428164,1,0.035523474,0.035523474,1
27,FASTD,momentum,0.023882637,0.023882637,1,0.041428164,0.041428164,1,0.035523474,0.035523474,1
28,FASTDRSI,momentum,0.023882637,0.023882637,1,0.041428164,0.041428164,1,0.035523474,0.035523474,1
29,FASTK,momentum,0.023882637,0.023882637,1,0.041428164,0.041428164,1,0.035523474,0.035523474,1
30,FASTKRSI,momentum,0.023882637,0.023882637,1,0.041428164,0.041428164,1,0.035523474,0.035523474,1
31,MACD,momentum,0.023882637,0.023882637,1,0.041428164,0.041428164,1,0.035523474,0.035523474,1
32,MACDEXT,momentum,0.023882637,0.023882637,1,0.041428164,0.041428164,1,0.035523474,0.035523474,1
33,MACDFIX,momentum,0.023882637,0.023882637,1,0.041428164,0.041428164,1,0.035523474,0.035523474,1
34,MFI,momentum,0.023882637,0.023882637,1,0.041428164,0.041428164,1,0.035523474,0.035523474,1
35,MINUS_DI,momentum,0.023882637,0.023882637,1,0.041428164,0.041428164,1,0.035523474,0.035523474,1
36,MINUS_DM,momentum,0.023882637,0.023882637,1,0.041428164,0.041428164,1,0.035523474,0.035523474,1
37,MOM,momentum,0.023882637,0.023882637,1,0.041428164,0.041428164,1,0.035523474,0.035523474,1
38,PLUS_DI,momentum,0.023882637,0.023882637,1,0.041428164,0.041428164,1,0.035523474,0.035523474,1
39,PLUS_DM,momentum,0.013980938,0.013980938,27,0.012732048,0.012732048,14,0.01105865,0.01105865,27
40,PPO,momentum,0.013980938,0.013980938,27,0.012732048,0.012732048,14,0.01105865,0.01105865,27
41,ROC,momentum,0.013980938,0.013980938,27,0.012732048,0.012732048,14,0.01105865,0.01105865,27
42,ROCP,momentum,0.013980938,0.013980938,27,0.012732048,0.012732048,14,0.01105865,0.01105865,27
43,ROCR,momentum,0.013980938,0.013980938,27,0.012732048,0.012732048,14,0.01105865,0.01105865,27
44,ROCR100,momentum,0.013980938,0.013980938,27,0.012732048,0.012732048,14,0.01105865,0.01105865,27
45,RSI,momentum,0.013980938,0.013980938,27,0.012732048,0.012732048,14,0.01105865,0.01105865,27
46,SLOWD,momentum,0.013980938,0.013980938,27,0.012732048,0.012732048,14,0.01105865,0.01105865,27
47,SLOWK,momentum,0.013980938,0.013980938,27,0.012732048,0.012732048,14,0.01105865,0.01105865,27
48,TRIX,momentum,0.013980938,0.013980938,27,0.012732048,0.012732048,14,0.01105865,0.01105865,27
49,ULTOSC,momentum,0.013980938,0.013980938,27,0.012732048,0.012732048,14,0.01105865,0.01105865,27
50,WILLR,momentum,0.013980938,0.013980938,27,0.012732048,0.012732048,14,0.01105865,0.01105865,27
51,BBANDSL,overlap,0.013980938,0.013980938,27,0.012732048,0.012732048,14,0.01105865,0.01105865,27
52,BBANDSM,overlap,0.012147908,0.012147908,40,0.007879879,0.007879879,40,0.010955176,0.010955176,40
53,BBANDSU,overlap,0.012147908,0.012147908,40,0.007879879,0.007879879,40,0.010955176,0.010955176,40
54,DEMA,overlap,0.012147908,0.012147908,40,0.007879879,0.007879879,40,0.010955176,0.010955176,40
55,EMA,overlap,0.012147908,0.012147908,40,0.007879879,0.007879879,40,0.010955176,0.010955176,40
56,HT_TRENDLINE,overlap,0.012147908,0.012147908,40,0.007879879,0.007879879,40,0.010955176,0.010955176,40
57,KAMA,overlap,0.012147908,0.012147908,40,0.007879879,0.007879879,40,0.010955176,0.010955176,40
58,MA,overlap,0.012147908,0.012147908,40,0.007879879,0.007879879,40,0.010955176,0.010955176,40
59,MIDPOINT,overlap,0.012147908,0.012147908,40,0.007879879,0.007879879,40,0.010955176,0.010955176,40
60,MIDPRICE,overlap,0.012147908,0.012147908,40,0.007879879,0.007879879,40,0.010955176,0.010955176,40
61,SMA,overlap,0.012147908,0.012147908,40,0.007879879,0.007879879,40,0.010955176,0.010955176,40
62,TEMA,overlap,0.012147908,0.012147908,40,0.007879879,0.007879879,40,0.010955176,0.010955176,40
63,TRIMA,overlap,0.012147908,0.012147908,40,0.007879879,0.007879879,40,0.010955176,0.010955176,40
64,WMA,overlap,0.012147908,0.012147908,40,0.007879879,0.007879879,40,0.010955176,0.010955176,40
