row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.0113867,0.0113867,53,0.004455035,0.004455035,53,0.007850936,0.007850936,53
1,CORREL,statistics,0.0113867,0.0113867,53,0.004455035,0.004455035,53,0.007850936,0.007850936,53
2,LINEARREG,statistics,0.0113867,0.0113867,53,0.004455035,0.004455035,53,0.007850936,0.007850936,53
3,LINEARREG_ANGLE,statistics,0.0113867,0.0113867,53,0.004455035,0.004455035,53,0.007850936,0.007850936,53
4,LINEARREG_INTERCEPT,statistics,0.0113867,0.0113867,53,0.004455035,0.004455035,53,0.007850936,0.007850936,53
5,LINEARREG_SLOPE,statistics,0.0113867,0.0113867,53,0.004455035,0.004455035,53,0.007850936,0.007850936,53
6,STDDEV,statistics,0.0113867,0.0113867,53,0.004455035,0.004455035,53,0.007850936,0.007850936,53
7,TSF,statistics,0.0113867,0.0113867,53,0.004455035,0.004455035,53,0.007850936,0.007850936,53
8,VAR,statistics,0.0113867,0.0113867,53,0.004455035,0.004455035,53,0.007850936,0.007850936,53
9,AVGPRICE,price_transform,0.0113867,0.0113867,53,0.004455035,0.004455035,53,0.007850936,0.007850936,53
10,MEDPRICE,price_transform,0.0113867,0.0113867,53,0.004455035,0.004455035,53,0.007850936,0.007850936,53
11,TYPPRICE,price_transform,0.0113867,0.0113867,53,0.004455035,0.004455035,53,0.007850936,0.007850936,53
12,WCLPRICE,price_transform,0.0113867,0.0113867,53,0.004455035,0.004455035,53,0.007850936,0.007850936,53
13,TRANGE,volatility,0.012251433,0.012251433,27,0.011361965,0.011361965,14,0.010966649,0.010966649,27
14,AD,volume,0.012251433,0.012251433,27,0.011361965,0.011361965,14,0.010966649,0.010966649,27
15,ADOSC,volume,0.012251433,0.012251433,27,0.011361965,0.011361965,14,0.010966649,0.010966649,27
16,OBV,volume,0.012251433,0.012251433,27,0.011361965,0.011361965,14,0.010966649,0.010966649,27
17,ADX,momentum,0.012251433,0.012251433,27,0.011361965,0.011361965,14,0.010966649,0.010966649,27
18,ADXR,momentum,0.012251433,0.012251433,27,0.011361965,0.011361965,14,0.010966649,0.010966649,27
19,APO,momentum,0.012251433,0.012251433,27,0.011361965,0.011361965,14,0.010966649,0.010966649,27
20,AROONUP,momentum,0.012251433,0.012251433,27,0.011361965,0.011361965,14,0.010966649,0.010966649,27
21,AROONDOWN,momentum,0.012251433,0.012251433,27,0.011361965,0.011361965,14,0.010966649,0.010966649,27
22,AROONOSC,momentum,0.012251433,0.012251433,27,0.011361965,0.011361965,14,0.010966649,0.010966649,27
23,BOP,momentum,0.012251433,0.012251433,27,0.011361965,0.011361965,14,0.010966649,0.010966649,27
24,CCI,momentum,0.012251433,0.012251433,27,0.011361965,0.011361965,14,0.010966649,0.010966649,27
25,CMO,momentum,0.012251433,0.012251433,27,0.011361965,0.011361965,14,0.010966649,0.010966649,27
26,DX,momentum,0.02434796,0.02434796,1,0.04134379,0.04134379,1,0.035788253,0.035788253,1
27,FASTD,momentum,0.02434796,0.02434796,1,0.04134379,0.04134379,1,0.035788253,0.035788253,1
28,FASTDRSI,momentum,0.02434796,0.02434796,1,0.04134379,0.04134379,1,0.035788253,0.035788253,1
29,FASTK,momentum,0.02434796,0.02434796,1,0.04134379,0.04134379,1,0.035788253,0.035788253,1
30,FASTKRSI,momentum,0.02434796,0.02434796,1,0.04134379,0.04134379,1,0.035788253,0.035788253,1
31,MACD,momentum,0.02434796,0.02434796,1,0.04134379,0.04134379,1,0.035788253,0.035788253,1
32,MACDEXT,momentum,0.02434796,0.02434796,1,0.04134379,0.04134379,1,0.035788253,0.035788253,1
33,MACDFIX,momentum,0.02434796,0.02434796,1,0.04134379,0.04134379,1,0.035788253,0.035788253,1
34,MFI,momentum,0.02434796,0.02434796,1,0.04134379,0.04134379,1,0.035788253,0.035788253,1
35,MINUS_DI,momentum,0.02434796,0.02434796,1,0.04134379,0.04134379,1,0.035788253,0.035788253,1
36,MINUS_DM,momentum,0.02434796,0.02434796,1,0.04134379,0.04134379,1,0.035788253,0.035788253,1
37,MOM,momentum,0.02434796,0.02434796,1,0.04134379,0.04134379,1,0.035788253,0.035788253,1
38,PLUS_DI,momentum,0.02434796,0.02434796,1,0.04134379,0.04134379,1,0.035788253,0.035788253,1
39,PLUS_DM,momentum,0.017426468,0.017426468,14,0.010751018,0.010751018,27,0.012154425,0.012154425,14
40,PPO,momentum,0.017426468,0.017426468,14,0.010751018,0.010751018,27,0.012154425,0.012154425,14
41,ROC,momentum,0.017426468,0.017426468,14,0.010751018,0.010751018,27,0.012154425,0.012154425,14
42,ROCP,momentum,0.017426468,0.017426468,14,0.010751018,0.010751018,27,0.012154425,0.012154425,14
43,ROCR,momentum,0.017426468,0.017426468,14,0.010751018,0.010751018,27,0.012154425,0.012154425,14
44,ROCR100,momentum,0.017426468,0.017426468,14,0.010751018,0.010751018,27,0.012154425,0.012154425,14
45,RSI,momentum,0.017426468,0.017426468,14,0.010751018,0.010751018,27,0.012154425,0.012154425,14
46,SLOWD,momentum,0.017426468,0.017426468,14,0.010751018,0.010751018,27,0.012154425,0.012154425,14
47,SLOWK,momentum,0.017426468,0.017426468,14,0.010751018,0.010751018,27,0.012154425,0.012154425,14
48,TRIX,momentum,0.017426468,0.017426468,14,0.010751018,0.010751018,27,0.012154425,0.012154425,14
49,ULTOSC,momentum,0.017426468,0.017426468,14,0.010751018,0.010751018,27,0.012154425,0.012154425,14
50,WILLR,momentum,0.017426468,0.017426468,14,0.010751018,0.010751018,27,0.012154425,0.012154425,14
51,BBANDSL,overlap,0.017426468,0.017426468,14,0.010751018,0.010751018,27,0.012154425,0.012154425,14
52,BBANDSM,overlap,0.011510519,0.011510519,40,0.009011266,0.009011266,40,0.010162815,0.010162815,40
53,BBANDSU,overlap,0.011510519,0.011510519,40,0.009011266,0.009011266,40,0.010162815,0.010162815,40
54,DEMA,overlap,0.011510519,0.011510519,40,0.009011266,0.009011266,40,0.010162815,0.010162815,40
55,EMA,overlap,0.011510519,0.011510519,40,0.009011266,0.009011266,40,0.010162815,0.010162815,40
56,HT_TRENDLINE,overlap,0.011510519,0.011510519,40,0.009011266,0.009011266,40,0.010162815,0.010162815,40
57,KAMA,overlap,0.011510519,0.011510519,40,0.009011266,0.009011266,40,0.010162815,0.010162815,40
58,MA,overlap,0.011510519,0.011510519,40,0.009011266,0.009011266,40,0.010162815,0.010162815,40
59,MIDPOINT,overlap,0.011510519,0.011510519,40,0.009011266,0.009011266,40,0.010162815,0.010162815,40
60,MIDPRICE,overlap,0.011510519,0.011510519,40,0.009011266,0.009011266,40,0.010162815,0.010162815,40
