row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.009570285,-3.964135e-05,60,0.009036583,0.00019118235,55,0.008810624,3.9534818e-05,63
1,CORREL,statistics,0.011084573,0.00018335778,49,0.010264679,0.00037141968,49,0.01045804,-0.00026224708,49
2,LINEARREG,statistics,0.009289777,0.00029260715,62,0.008265687,0.000529519,64,0.009017527,0.00013321303,61
3,LINEARREG_ANGLE,statistics,0.016158579,-0.00043843623,22,0.015668469,0.0021342703,21,0.01643552,6.361623e-05,20
4,LINEARREG_INTERCEPT,statistics,0.010533426,-5.8873782e-05,53,0.009710047,0.00011192342,52,0.010928207,0.00010929759,45
5,LINEARREG_SLOPE,statistics,0.008767593,0.0001742709,64,0.008266592,-0.00020143486,63,0.008435177,0.00022679992,64
6,STDDEV,statistics,0.0101110935,-0.0007240427,58,0.008798421,0.00058851147,60,0.009476948,0.00063096423,55
7,TSF,statistics,0.009148953,0.00010469269,63,0.008802118,0.00016850256,59,0.009442961,0.00016890129,56
8,VAR,statistics,0.0063394033,-7.74817e-05,65,0.005885058,0.00045388576,65,0.005759199,-9.874671e-05,65
9,AVGPRICE,price_transform,0.012462574,2.4768728e-05,37,0.011244097,0.0005721805,38,0.01225611,0.00032634137,36
10,MEDPRICE,price_transform,0.0093672555,0.00016752344,61,0.008844846,0.00037719536,57,0.008814361,-0.00011666457,62
11,TYPPRICE,price_transform,0.011164912,0.00037978624,48,0.010891527,-0.00031491325,45,0.011031348,-0.0005205837,42
12,WCLPRICE,price_transform,0.0101274755,0.00016974351,57,0.008681852,0.00039927955,61,0.009772268,0.00022800594,54
13,TRANGE,volatility,0.011197705,-5.262347e-05,47,0.0108936755,-2.2893393e-05,44,0.009934651,0.0006979293,53
14,AD,volume,0.012096899,1.154565e-05,38,0.01111719,0.00090588664,39,0.010948487,0.00019554385,44
15,ADOSC,volume,0.012577561,-0.0002889785,36,0.01183017,0.0009288369,37,0.012441206,3.539963e-05,34
16,OBV,volume,0.02310933,-0.0019669659,8,0.02652433,0.005613864,5,0.02365706,0.0045283395,7
17,ADX,momentum,0.014055916,-0.00022130825,31,0.014173052,0.00041898814,27,0.014459902,8.9704015e-05,25
18,ADXR,momentum,0.011937515,-4.9577382e-05,40,0.011842157,0.00091158523,36,0.010880012,-3.6380898e-05,46
19,APO,momentum,0.011298243,-0.00046718534,45,0.0109687885,0.0008881755,41,0.010984661,0.00040889357,43
20,AROONUP,momentum,0.014346564,0.00015759052,29,0.0143665625,-0.00028064928,24,0.014745221,-0.00014698731,24
21,AROONDOWN,momentum,0.013462467,-0.00043483614,33,0.013512975,0.001229862,31,0.012384396,0.00044244275,35
22,AROONOSC,momentum,0.020876016,0.00079609186,11,0.020836094,-0.002303239,12,0.020761812,-0.0005148411,11
23,BOP,momentum,0.014568916,0.00039033717,27,0.014286567,0.00044987947,25,0.013680058,-0.00016197457,30
24,CCI,momentum,0.017721197,-0.0018422413,18,0.020458765,0.004624046,13,0.018031666,0.0028704058,17
25,CMO,momentum,0.013930777,-3.538266e-05,32,0.013950772,-0.00071130483,29,0.013765666,3.6204874e-05,29
26,DX,momentum,0.020661138,0.002369887,12,0.020214463,-0.0027066965,15,0.019867258,-0.00071802246,14
27,FASTD,momentum,0.023341518,0.0011948158,7,0.023771413,0.00054680975,8,0.023217447,0.0009875959,8
28,FASTDRSI,momentum,0.02619448,0.0017252475,4,0.025240336,-0.0011459892,6,0.028362747,0.00056006346,5
29,FASTK,momentum,0.038455673,-0.0044332556,1,0.05498174,0.022151103,1,0.052810825,0.021103522,1
30,FASTKRSI,momentum,0.033147447,-0.00015173084,2,0.03774241,0.0058765667,2,0.038854316,0.007204215,2
31,MACD,momentum,0.017733285,0.0002553241,17,0.018923795,0.00020729867,17,0.017101133,-0.0010999395,18
32,MACDEXT,momentum,0.018857926,0.00059173093,15,0.018803885,0.0002770347,18,0.019291138,0.00040492503,15
33,MACDFIX,momentum,0.019472627,0.00075654435,14,0.021181237,-0.0011632803,11,0.02020586,-0.0006381641,13
34,MFI,momentum,0.0202212,0.0021953355,13,0.020260116,-0.0031011682,14,0.02083048,-0.0020820627,10
35,MINUS_DI,momentum,0.032888934,1.7029059e-05,3,0.035256773,0.0047194827,3,0.03606081,0.006149742,3
36,MINUS_DM,momentum,0.021055141,0.0011403948,10,0.022764875,-0.00014961528,10,0.020630639,0.00074801454,12
37,MOM,momentum,0.025794253,-0.00063841935,5,0.02927626,0.00456811,4,0.0284352,0.0051723504,4
38,PLUS_DI,momentum,0.02501943,0.002499883,6,0.024404408,-0.004832923,7,0.027291294,-0.002893502,6
39,PLUS_DM,momentum,0.012987465,2.5230402e-06,35,0.012337604,-0.00048325036,35,0.011377381,0.00026261265,39
40,PPO,momentum,0.011227112,0.0001882461,46,0.010296586,0.00025673123,48,0.009975169,-0.00027400572,52
41,ROC,momentum,0.011988352,2.2677144e-05,39,0.011075327,-2.3983346e-05,40,0.011124368,3.1491625e-05,41
42,ROCP,momentum,0.01856324,-0.0013860078,16,0.019203132,0.0034193974,16,0.018102461,0.0022172425,16
43,ROCR,momentum,0.014146183,-0.00069009146,30,0.013554316,0.0009272781,30,0.013864008,0.0009617377,28
44,ROCR100,momentum,0.011479344,0.00012391193,44,0.010903405,-0.00050973194,43,0.010254284,-0.00011905002,50
45,RSI,momentum,0.014793363,-0.00048035628,26,0.013423853,0.0019050947,32,0.013652913,0.0002850374,31
46,SLOWD,momentum,0.017352693,7.007329e-07,20,0.015962973,0.00043682585,20,0.016450219,-0.00050244003,19
47,SLOWK,momentum,0.015691066,0.00054996717,23,0.014212831,-0.00024785282,26,0.014037634,-0.0008510706,27
48,TRIX,momentum,0.017520888,3.8605125e-05,19,0.01640871,-0.0003369762,19,0.015956609,0.00031904745,22
49,ULTOSC,momentum,0.016578835,0.00021725912,21,0.015105506,0.00028447335,23,0.0149341235,-0.00067065586,23
50,WILLR,momentum,0.02259089,-0.0020671017,9,0.022932464,0.0042576296,9,0.020977737,0.0022511145,9
51,BBANDSL,overlap,0.01499144,-0.000768507,25,0.014045428,0.0017250889,28,0.013345385,0.0012127984,32
52,BBANDSM,overlap,0.010181042,8.3617386e-05,56,0.00882734,0.00013825294,58,0.00936003,0.00070581515,58
53,BBANDSU,overlap,0.010493203,0.00035141822,54,0.008679117,0.00029589792,62,0.0093072625,-0.00033313263,59
54,DEMA,overlap,0.010850769,0.00021712264,52,0.009754241,0.00069888186,51,0.010480367,0.00022515183,48
55,EMA,overlap,0.015586641,0.000792998,24,0.01540563,-9.569415e-05,22,0.01605975,-0.0009527558,21
56,HT_TRENDLINE,overlap,0.011852704,9.043273e-05,42,0.010909184,6.846458e-05,42,0.011737162,0.00033121766,37
57,KAMA,overlap,0.010190512,-5.5369237e-05,55,0.009301567,3.5221303e-05,54,0.009273634,-5.1900817e-05,60
58,MA,overlap,0.0098855635,8.590011e-05,59,0.008928411,-0.00013853819,56,0.009368488,0.00025800767,57
59,MIDPOINT,overlap,0.01100819,-0.00015315283,50,0.010317283,0.0004017865,47,0.011135763,0.00023920435,40
60,MIDPRICE,overlap,0.01087237,0.00021506337,51,0.009510626,3.3192482e-05,53,0.010186113,0.00037540984,51
61,SMA,overlap,0.014448266,-0.0003105463,28,0.013245499,0.0010990042,33,0.014137455,0.00049005286,26
62,TEMA,overlap,0.011658229,0.00012210864,43,0.010840109,0.00081965677,46,0.0105097955,1.4577527e-06,47
63,TRIMA,overlap,0.0130148055,0.00076845096,34,0.012844408,-0.00043962157,34,0.012488926,-0.00025094615,33
64,WMA,overlap,0.011898789,-5.956553e-05,41,0.010031656,0.0007792773,50,0.011630736,0.000693269,38
