row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.009462123,-5.2006824e-05,60,0.00940953,0.00024011571,53,0.008925551,-2.530971e-05,61
1,CORREL,statistics,0.011116492,0.00015877321,49,0.010331001,0.00028571452,47,0.010084724,-0.00039249723,51
2,LINEARREG,statistics,0.00927069,0.00028005484,62,0.008299163,0.00061721844,63,0.008946028,0.000175689,60
3,LINEARREG_ANGLE,statistics,0.016163329,-0.0004321798,22,0.015626306,0.0018145102,22,0.016509904,0.00020487892,20
4,LINEARREG_INTERCEPT,statistics,0.010519634,-4.5959307e-05,53,0.009770134,2.6240421e-05,51,0.010714171,-1.3381854e-05,48
5,LINEARREG_SLOPE,statistics,0.00875751,0.00019687062,64,0.00820529,-0.00023383126,64,0.008363858,0.00036892656,64
6,STDDEV,statistics,0.010091776,-0.00071374624,58,0.009024558,0.0003390925,57,0.00869034,0.0005642843,62
7,TSF,statistics,0.009137963,0.00010351885,63,0.008721904,0.0003933541,61,0.009248032,0.00029739915,59
8,VAR,statistics,0.006297257,-6.971092e-05,65,0.005904181,0.00051476486,65,0.00541518,-0.00010130172,65
9,AVGPRICE,price_transform,0.0124573605,-2.2632128e-05,37,0.011517359,0.0005676646,38,0.012047511,0.0007942908,38
10,MEDPRICE,price_transform,0.009352881,0.00017271949,61,0.009169741,0.00040961173,55,0.00862631,0.00011423434,63
11,TYPPRICE,price_transform,0.011140001,0.00039572775,48,0.011373955,-0.0005085695,40,0.0109041445,-0.0007583288,47
12,WCLPRICE,price_transform,0.0101248,0.00016866153,57,0.009016914,0.0006310955,58,0.009651203,0.0003056365,54
13,TRANGE,volatility,0.011179849,-6.816342e-05,47,0.011032564,-9.042359e-05,42,0.009541278,0.00074521475,56
14,AD,volume,0.012098607,7.6793003e-07,38,0.011452526,0.00096584915,39,0.011036052,0.00035218222,45
15,ADOSC,volume,0.0125641255,-0.00025637794,36,0.012027977,0.0008587447,36,0.012235859,-4.032161e-05,36
16,OBV,volume,0.023097262,-0.001866537,8,0.027364388,0.0067928005,4,0.02389212,0.0058929985,7
17,ADX,momentum,0.014043831,-0.00023219326,31,0.014376311,0.00039311338,29,0.014639278,-2.0561522e-05,25
18,ADXR,momentum,0.011941071,-6.4184664e-05,40,0.011956135,0.00066306087,37,0.011357917,-0.00014489019,40
19,APO,momentum,0.011286991,-0.00045761306,45,0.010662318,0.00093711494,44,0.011044736,0.00040425296,43
20,AROONUP,momentum,0.014351711,0.00015554568,29,0.014716635,-0.000453151,25,0.014886427,-0.00013809724,24
21,AROONDOWN,momentum,0.013474165,-0.00046156743,33,0.013467673,0.0012757708,31,0.012336261,0.00045642816,35
22,AROONOSC,momentum,0.020887008,0.0008031676,11,0.02117543,-0.0026528146,12,0.021041248,-0.00101314,9
23,BOP,momentum,0.014567515,0.00038702073,27,0.01496787,0.0005321339,24,0.013674189,-4.66349e-05,29
24,CCI,momentum,0.017706515,-0.0018471939,18,0.02146811,0.0054662814,11,0.01841614,0.00283161,16
25,CMO,momentum,0.013959424,-6.7695684e-05,32,0.014549818,-0.000993399,27,0.014234689,-0.00036212715,27
26,DX,momentum,0.020706566,0.0023487895,12,0.019408992,-0.002673102,14,0.0199656,-0.00087508943,12
27,FASTD,momentum,0.02344064,0.0011736178,7,0.023746548,0.0007536232,8,0.022940932,0.00033263816,8
28,FASTDRSI,momentum,0.02623831,0.0017177598,4,0.025006963,-0.0008102008,6,0.027610783,0.00060111296,5
29,FASTK,momentum,0.03840474,-0.004207601,1,0.057543214,0.025422966,1,0.053456806,0.02273683,1
30,FASTKRSI,momentum,0.033166353,-0.00010449812,2,0.038215198,0.0069119767,2,0.038245015,0.00796537,2
31,MACD,momentum,0.017790414,0.00025968737,17,0.017568352,0.0002134903,18,0.016860941,-0.0008978334,19
32,MACDEXT,momentum,0.018880047,0.0006073696,15,0.017964644,0.0004420661,17,0.019005304,0.00047514762,14
33,MACDFIX,momentum,0.019471727,0.000717607,14,0.019793913,-0.001162381,13,0.019410629,-0.00076584134,13
34,MFI,momentum,0.02035903,0.0022106613,13,0.019362712,-0.0032737956,15,0.020627968,-0.0020825914,10
35,MINUS_DI,momentum,0.0330529,-3.614003e-05,3,0.03474186,0.005093253,3,0.036297787,0.0065537584,3
36,MINUS_DM,momentum,0.021095924,0.0011045336,10,0.022523526,-0.00033840595,10,0.018810343,0.00048015133,15
37,MOM,momentum,0.025885178,-0.00069832976,5,0.02712489,0.0047390475,5,0.028675321,0.0050503504,4
38,PLUS_DI,momentum,0.025086066,0.0024360488,6,0.023076152,-0.0052945944,9,0.027420137,-0.0031442093,6
39,PLUS_DM,momentum,0.012911105,5.585942e-06,35,0.012674807,-0.0007232344,34,0.010568683,0.00022057282,49
40,PPO,momentum,0.011233986,0.00020999265,46,0.010104928,8.715764e-05,48,0.009917283,-0.0004309391,53
41,ROC,momentum,0.011965132,9.308766e-06,39,0.011112341,-9.999529e-05,41,0.011039807,-0.0001985645,44
42,ROCP,momentum,0.01856539,-0.001421672,16,0.019042172,0.0038681468,16,0.018289354,0.002285579,17
43,ROCR,momentum,0.014133728,-0.00069764914,30,0.013418947,0.0010832755,32,0.013600071,0.0010734418,30
44,ROCR100,momentum,0.011458525,0.00014091976,44,0.010743898,-0.0007511075,43,0.010224415,-0.00011904953,50
45,RSI,momentum,0.014808898,-0.00047766475,26,0.013947586,0.002300555,30,0.013451521,0.00024666562,31
46,SLOWD,momentum,0.017328082,3.8841972e-05,20,0.016181888,0.00024201768,19,0.015846595,-0.0003440176,22
47,SLOWK,momentum,0.0156608,0.00056522555,23,0.014482252,-0.0003343235,28,0.013809106,-0.0010089083,28
