row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.012308505,0.00027340077,41,0.008946049,0.00017930372,56,0.008788408,5.2070063e-05,63
1,CORREL,statistics,0.010276506,0.00080573314,58,0.01024858,0.00039222473,49,0.010530207,-0.00023706736,47
2,LINEARREG,statistics,0.009772953,0.00061037444,61,0.00825756,0.00050823,64,0.00903135,0.00012500185,61
3,LINEARREG_ANGLE,statistics,0.016038317,-0.00059682183,24,0.015678704,0.0022118925,21,0.016421143,3.63079e-05,20
4,LINEARREG_INTERCEPT,statistics,0.010882561,-0.0003858161,54,0.009695462,0.00013272272,52,0.010969584,0.00013301376,44
5,LINEARREG_SLOPE,statistics,0.009022791,-0.00039785967,64,0.008281473,-0.00019357054,63,0.008448964,0.0001993242,64
6,STDDEV,statistics,0.010600111,-0.0009847083,57,0.008743527,0.00064905826,60,0.009629014,0.0006438547,55
7,TSF,statistics,0.009427172,0.00013440936,63,0.00882159,0.000113920236,58,0.009480643,0.00014406026,56
8,VAR,statistics,0.0074063744,-0.00027420482,65,0.0058804164,0.00043910707,65,0.005825705,-9.825261e-05,65
9,AVGPRICE,price_transform,0.012594553,0.0012247616,39,0.011177763,0.0005732762,38,0.012296435,0.00023587837,36
10,MEDPRICE,price_transform,0.009731172,3.5983394e-05,62,0.008765977,0.0003693256,59,0.008850714,-0.00016130126,62
11,TYPPRICE,price_transform,0.011795534,-2.378716e-05,46,0.010774416,-0.000267903,46,0.011055941,-0.0004746234,41
12,WCLPRICE,price_transform,0.01019525,0.00019713375,59,0.008600517,0.0003430062,62,0.009795672,0.00021299846,54
13,TRANGE,volatility,0.011649743,0.00034078554,47,0.010859962,-6.4997002e-06,45,0.010010696,0.0006887882,52
14,AD,volume,0.012053651,0.0002843935,42,0.011035787,0.0008913304,41,0.01093156,0.0001652629,45
15,ADOSC,volume,0.012917709,-0.0011142851,37,0.0117821535,0.0009458518,37,0.012480902,5.0038077e-05,33
16,OBV,volume,0.023414828,-0.004509406,6,0.026320405,0.005327674,5,0.02361162,0.0042645237,7
17,ADX,momentum,0.014361835,5.4254335e-05,31,0.014123713,0.0004252693,26,0.014425227,0.00011102043,25
18,ADXR,momentum,0.011847499,0.000320217,44,0.011814487,0.00097191456,36,0.010787624,-1.5404243e-05,46
19,APO,momentum,0.011583088,-0.00070951483,48,0.011043184,0.00087629515,40,0.0109730465,0.0004097905,43
20,AROONUP,momentum,0.014216326,0.00020935606,32,0.014281582,-0.00023877439,24,0.0147179235,-0.0001487061,24
21,AROONDOWN,momentum,0.013166296,0.00024188659,35,0.01352397,0.0012187173,31,0.0123937,0.00043973906,34
22,AROONOSC,momentum,0.020597769,0.0006169666,10,0.020753723,-0.0022183787,12,0.020707794,-0.00041851064,12
23,BOP,momentum,0.014604392,0.00047429587,28,0.01412118,0.00042991247,27,0.013681194,-0.00018427204,30
24,CCI,momentum,0.01809291,-0.0017168595,16,0.020213744,0.004419594,15,0.017957343,0.0028779062,17
25,CMO,momentum,0.013205555,0.0007826475,34,0.013805353,-0.00064282597,29,0.013674995,0.0001132093,31
26,DX,momentum,0.019511074,0.0029039779,12,0.020409992,-0.0027148519,14,0.019848246,-0.00068765884,14
27,FASTD,momentum,0.020832172,0.0017314665,9,0.023777451,0.0004966052,8,0.023270901,0.0011142115,8
28,FASTDRSI,momentum,0.025084892,0.0019148192,4,0.025296992,-0.0012275033,6,0.028508112,0.0005521278,4
29,FASTK,momentum,0.03974514,-0.010145882,1,0.05435992,0.021356842,1,0.05268595,0.020787772,1
30,FASTKRSI,momentum,0.03266887,-0.0013474626,2,0.037627645,0.0056252223,2,0.038972106,0.0070570726,2
31,MACD,momentum,0.016286997,0.00014486292,22,0.019252833,0.00020579556,16,0.017147567,-0.0011390098,18
32,MACDEXT,momentum,0.018297898,0.00019583368,15,0.019007608,0.00023697375,18,0.019346396,0.00039135,15
33,MACDFIX,momentum,0.019495487,0.0017422768,13,0.021518014,-0.0011634992,11,0.02035959,-0.00061348174,13
34,MFI,momentum,0.016731938,0.0018073533,20,0.020477962,-0.0030592617,13,0.020869628,-0.00208196,11
35,MINUS_DI,momentum,0.028737968,0.0013630397,3,0.035381764,0.004628748,3,0.036014996,0.006071647,3
36,MINUS_DM,momentum,0.020022755,0.0020482517,11,0.022823459,-0.00010378481,9,0.020982536,0.0007997967,10
37,MOM,momentum,0.023492457,0.0008782438,5,0.029798508,0.0045266156,4,0.028388778,0.005195934,5
38,PLUS_DI,momentum,0.0233324,0.004115892,7,0.024726843,-0.00472085,7,0.027266387,-0.0028450382,6
39,PLUS_DM,momentum,0.014920556,-7.501371e-05,27,0.012255747,-0.00042499535,35,0.011533716,0.00027073946,38
40,PPO,momentum,0.011053111,-0.00036228597,53,0.01034311,0.00029789552,48,0.009986359,-0.00024366776,53
41,ROC,momentum,0.012576158,0.0003611084,40,0.011066343,-5.5310957e-06,39,0.011140717,7.59657e-05,40
42,ROCP,momentum,0.018508798,-0.00048313205,14,0.019242208,0.0033104594,17,0.018066332,0.002204033,16
43,ROCR,momentum,0.01446151,-0.00049876294,29,0.013587173,0.0008894099,30,0.0139150275,0.0009401441,28
44,ROCR100,momentum,0.01200637,-0.000306656,43,0.010942128,-0.00045113772,43,0.010260058,-0.000119050004,50
45,RSI,momentum,0.014400121,-0.00054849626,30,0.013296716,0.0018090965,32,0.013691844,0.0002924553,29
46,SLOWD,momentum,0.017975703,-0.00096487254,17,0.015909836,0.00048411533,20,0.01656691,-0.0005330656,19
47,SLOWK,momentum,0.016457232,0.00016368434,21,0.014147428,-0.00022686225,25,0.014081812,-0.0008205579,26
48,TRIX,momentum,0.017003322,6.837037e-05,18,0.016482182,-0.0003033709,19,0.015939977,0.00030514962,21
49,ULTOSC,momentum,0.016935173,-8.195224e-06,19,0.014971217,0.00022153616,23,0.015034017,-0.0006888284,23
50,WILLR,momentum,0.022184366,-0.0018319204,8,0.022636801,0.004040118,10,0.021083595,0.0022212176,9
51,BBANDSL,overlap,0.016213464,-0.0009545175,23,0.013910306,0.0016385585,28,0.013469932,0.0011904101,32
52,BBANDSM,overlap,0.010725402,-0.00047094224,56,0.008914628,0.00013651473,57,0.009224155,0.0007000516,60
53,BBANDSU,overlap,0.011064137,0.00056578685,52,0.008617083,0.00031723172,61,0.009289113,-0.00034192862,58
54,DEMA,overlap,0.011470167,-0.00027072782,50,0.00978817,0.00069318205,51,0.010315651,0.00018953855,49
55,EMA,overlap,0.015826449,0.0013654906,25,0.015456333,-6.8940106e-05,22,0.015874412,-0.0008474293,22
56,HT_TRENDLINE,overlap,0.011441988,-6.6408975e-05,51,0.011006037,6.2303574e-05,42,0.011663016,0.0002994071,37
57,KAMA,overlap,0.010876408,-0.00050817814,55,0.009333099,-5.777434e-06,54,0.0092425095,-4.442336e-05,59
58,MA,overlap,0.010121896,0.0002850998,60,0.008971596,-0.00012723007,55,0.009325253,0.0002990603,57
59,MIDPOINT,overlap,0.011816614,-0.0007172341,45,0.010388117,0.00041155642,47,0.010991966,0.0001861229,42
60,MIDPRICE,overlap,0.01153606,-8.241687e-05,49,0.009612872,2.6455149e-05,53,0.01002368,0.00038865476,51
61,SMA,overlap,0.015193105,-0.00072937843,26,0.013273164,0.0010877799,33,0.013934155,0.00041183722,27
62,TEMA,overlap,0.012924853,0.00097577623,36,0.010910716,0.00085246493,44,0.010391518,4.25952e-06,48
63,TRIMA,overlap,0.0135802375,0.0012751166,33,0.012896167,-0.00041922316,34,0.01234577,-0.00022750846,35
64,WMA,overlap,0.012723357,-0.00018528325,38,0.010030547,0.0007668733,50,0.011469907,0.0006284293,39
