row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.0077588884,0.0008993082,64,0.0077306433,0.0027942704,64,0.008015657,0.0009125881,64
1,CORREL,statistics,0.008880906,0.0014772224,60,0.009963211,0.0017742646,50,0.011190574,0.0012397587,46
2,LINEARREG,statistics,0.00994708,0.0019869332,51,0.00920157,0.002021736,54,0.009772454,0.0005728252,55
3,LINEARREG_ANGLE,statistics,0.023730934,0.0051473207,10,0.021263791,0.014536685,10,0.025259558,0.01523355,7
4,LINEARREG_INTERCEPT,statistics,0.007986407,0.0012225073,63,0.007909482,-0.00042315875,63,0.0096793445,-0.00046700682,57
5,LINEARREG_SLOPE,statistics,0.010026241,0.001691824,50,0.009308359,0.0009913591,52,0.009298505,0.00047991663,61
6,STDDEV,statistics,0.010413778,5.161685e-05,48,0.012077615,0.0041276133,32,0.014418041,0.008413274,20
7,TSF,statistics,0.008646977,0.00094659807,62,0.007993,0.002007489,62,0.009390671,0.0030286561,60
8,VAR,statistics,0.0052318545,-0.00019418616,65,0.0048744907,0.0009195091,65,0.006027661,0.002182371,65
9,AVGPRICE,price_transform,0.013136205,0.0019298338,33,0.01265428,0.0051735374,28,0.012869139,0.004786785,35
10,MEDPRICE,price_transform,0.009351774,0.0018772458,57,0.008523199,0.0014790156,61,0.009417436,0.00055302185,59
11,TYPPRICE,price_transform,0.013157607,0.0052653723,32,0.010119766,-0.0021720233,48,0.01124514,-0.0029344384,44
12,WCLPRICE,price_transform,0.009732996,0.0016028592,53,0.008929843,0.0021964451,56,0.010415537,0.003271895,50
13,TRANGE,volatility,0.009893638,0.0029003317,52,0.009033624,-0.0016117078,55,0.00924529,0.0016349962,62
14,AD,volume,0.013260129,0.0030653842,30,0.010651527,0.0015586112,43,0.01125465,0.00094654044,43
15,ADOSC,volume,0.011091104,0.001873507,41,0.010655598,0.0047729337,42,0.010302065,0.0002677236,51
