row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.007648133,0.0008203305,64,0.007340057,0.0026441375,64,0.00820696,0.0019269562,64
1,CORREL,statistics,0.008934677,0.0015449714,60,0.009692609,0.0009012452,55,0.011160298,-0.0012251242,44
2,LINEARREG,statistics,0.009869112,0.001826302,51,0.009916002,0.0019108744,50,0.008779409,-0.00016200963,63
3,LINEARREG_ANGLE,statistics,0.02375034,0.0049929703,11,0.019887827,0.012402451,10,0.02707159,0.01878261,6
4,LINEARREG_INTERCEPT,statistics,0.007951259,0.0013107362,63,0.00823083,-0.0009804401,62,0.008849351,-0.0015546259,61
5,LINEARREG_SLOPE,statistics,0.010000435,0.0017210537,50,0.01009813,0.0010430636,48,0.008796505,0.00012165825,62
6,STDDEV,statistics,0.01040532,0.00018673428,48,0.012757402,0.003920417,24,0.013809807,0.008572835,27
7,TSF,statistics,0.008624265,0.000937172,62,0.007852116,0.0026089952,63,0.009489808,0.0032284185,56
8,VAR,statistics,0.0051981914,-0.00019175503,65,0.0049028224,0.0012932054,65,0.0058874153,0.0023236384,65
9,AVGPRICE,price_transform,0.013035065,0.0018455894,32,0.011931701,0.0044465507,28,0.01196068,0.005350221,40
10,MEDPRICE,price_transform,0.009355294,0.001958088,58,0.009694283,0.0026116127,53,0.008922775,0.0005110224,60
11,TYPPRICE,price_transform,0.012954048,0.0050839954,33,0.010396428,-0.0028386433,44,0.01093885,-0.001491677,45
12,WCLPRICE,price_transform,0.009607275,0.0015396253,53,0.009692878,0.00295344,54,0.009343949,0.0026842537,58
13,TRANGE,volatility,0.009844318,0.0027991973,52,0.008778188,-0.0021061506,59,0.0095078,0.0018940321,55
14,AD,volume,0.01328859,0.0031381925,30,0.011172957,5.065977e-05,37,0.01155006,0.0019465886,41
15,ADOSC,volume,0.011024381,0.0018341228,41,0.010782294,0.0051313154,39,0.009855379,-0.00027796256,52
16,OBV,volume,0.0323465,0.008016487,3,0.03632642,0.03359798,3,0.034374513,0.030867817,2
17,ADX,momentum,0.011837398,0.0024476442,36,0.010429174,0.0014910279,43,0.01391812,0.0019930266,24
18,ADXR,momentum,0.0117789535,0.002718209,37,0.010327184,0.0020968304,45,0.011361611,0.0015112245,43
19,APO,momentum,0.009360744,0.0009259559,57,0.0100983195,0.005197084,47,0.010025762,0.005379592,51
20,AROONUP,momentum,0.014041302,0.0036253212,29,0.009526768,0.0009079195,56,0.012963044,-0.00074512925,32
21,AROONDOWN,momentum,0.014228935,0.0031896518,28,0.0121121835,0.004591645,27,0.012147776,0.0024658833,39
22,AROONOSC,momentum,0.025329655,0.011569581,8,0.014974768,-0.0036418797,17,0.019158317,-0.006141933,12
23,BOP,momentum,0.016100151,0.006013536,20,0.012304186,-0.002596627,25,0.013113491,0.0005610766,31
24,CCI,momentum,0.022319501,0.0042466642,12,0.03270183,0.029220574,4,0.022354042,0.0169191,9
25,CMO,momentum,0.010929632,0.0021105641,42,0.012232228,0.00041978768,26,0.0114767,0.0025329732,42
26,DX,momentum,0.019824361,0.009673313,16,0.0157714,-0.00701257,15,0.016134327,-0.0020064162,16
27,FASTD,momentum,0.020323263,0.0073041175,14,0.01786284,0.0027935368,13,0.014938931,-4.1598705e-06,19
28,FASTDRSI,momentum,0.026880996,0.011745,7,0.020117274,0.0033506483,9,0.020378038,3.6689686e-05,11
29,FASTK,momentum,0.038677976,-0.00023120824,1,0.12028438,0.117480524,1,0.07712669,0.073229626,1
30,FASTKRSI,momentum,0.036003254,0.012003577,2,0.039506283,0.034788836,2,0.025767814,0.01397202,7
31,MACD,momentum,0.017181044,0.0048769144,19,0.015648296,0.0075937184,16,0.012703445,0.0019459663,34
32,MACDEXT,momentum,0.017323844,0.0033282624,17,0.0138554275,-1.1381911e-05,20,0.016043032,0.007318923,18
33,MACDFIX,momentum,0.015882177,0.0042710584,22,0.011243939,0.00015208099,35,0.013895266,0.001911442,26
34,MFI,momentum,0.019952685,0.009387501,15,0.013878407,-0.0027381796,19,0.016076943,-0.0043168105,17
35,MINUS_DI,momentum,0.029906373,0.007959584,5,0.019812899,0.0076718447,11,0.028128767,0.019063909,4
36,MINUS_DM,momentum,0.0149712805,0.0044958997,24,0.011790198,-0.00090049236,30,0.012365213,0.0015859397,36
37,MOM,momentum,0.031732194,0.010161465,4,0.02460951,0.017888725,6,0.031270854,0.023360498,3
38,PLUS_DI,momentum,0.020755904,0.008524341,13,0.01598593,-0.0014890701,14,0.017316407,-0.0019281101,15
39,PLUS_DM,momentum,0.010002403,0.0028215952,49,0.009844589,0.0005998505,51,0.009486093,0.00070082594,57
40,PPO,momentum,0.008850972,0.0018714725,61,0.008430482,0.0024536946,61,0.009633413,-0.0027173944,54
41,ROC,momentum,0.010843078,0.0031026201,43,0.010079227,-0.0007190339,49,0.009339565,-0.0011316078,59
42,ROCP,momentum,0.023763394,0.004224832,10,0.022360012,0.015732517,8,0.0211913,0.015749551,10
43,ROCR,momentum,0.010682162,-0.00050702115,46,0.010632627,0.007440835,41,0.012267191,0.008492201,37
44,ROCR100,momentum,0.013157667,0.004307429,31,0.011121358,-0.0018385187,38,0.00982776,2.9964596e-05,53
45,RSI,momentum,0.011389541,0.000596993,40,0.014456191,0.0074962717,18,0.0134982355,0.00823286,30
46,SLOWD,momentum,0.01730606,0.006352338,18,0.011804234,0.0019193526,29,0.013966397,-0.0006300196,23
47,SLOWK,momentum,0.014943492,0.006719515,25,0.010599985,-0.001981104,42,0.01465905,-0.006188388,21
48,TRIX,momentum,0.0144164525,0.004524099,27,0.010713633,-2.1968894e-05,40,0.010842047,0.0004260299,46
49,ULTOSC,momentum,0.014681227,0.0051003327,26,0.012903377,-0.0029161805,22,0.013590188,0.0015024195,29
50,WILLR,momentum,0.027111672,0.0049149944,6,0.031117138,0.023808945,5,0.027782895,0.021144787,5
51,BBANDSL,overlap,0.011708533,0.00041189068,38,0.012902003,0.006500443,23,0.014163397,0.008075779,22
52,BBANDSM,overlap,0.009467757,0.00068129686,54,0.008785305,0.0002869138,58,0.014733253,0.00892498,20
53,BBANDSU,overlap,0.009454179,0.0011073174,55,0.011719763,0.0031837872,31,0.010398635,0.0029719924,49
54,DEMA,overlap,0.010672552,0.0019283649,47,0.013459727,0.005066259,21,0.010663268,0.0027905887,48
55,EMA,overlap,0.024657493,0.011431778,9,0.018191086,0.0075606178,12,0.018781208,-0.011574697,13
56,HT_TRENDLINE,overlap,0.00914327,0.001539905,59,0.008699068,-0.0014953526,60,0.010695104,0.00035575067,47
57,KAMA,overlap,0.012000558,0.0010906118,35,0.011675695,-0.0013031357,32,0.012259682,0.0067725135,38
58,MA,overlap,0.009450331,0.00040414618,56,0.010282391,0.002823834,46,0.010324168,0.0055001425,50
59,MIDPOINT,overlap,0.010781335,0.0007498969,44,0.009724853,0.0025030759,52,0.01367852,0.008412505,28
60,MIDPRICE,overlap,0.01071549,0.0020145432,45,0.009317863,0.00025444094,57,0.012879805,0.0068257265,33
61,SMA,overlap,0.015715282,0.00010775223,23,0.022453418,0.01395255,7,0.023761898,0.01595277,8
62,TEMA,overlap,0.0122662755,0.0019682965,34,0.011494068,0.0036730461,33,0.013904573,0.0043640505,25
63,TRIMA,overlap,0.016025636,0.0058551566,21,0.011216156,0.0032984212,36,0.012464522,-0.0054630814,35
64,WMA,overlap,0.011614471,-0.0003249781,39,0.0114893345,0.0033851017,34,0.018038113,0.012856128,14
