row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.010562784,0.0028986984,52,0.007825453,0.0028307184,64,0.007978676,0.00071649323,64
1,CORREL,statistics,0.0075195967,-0.00023789449,63,0.010028899,0.001986191,49,0.011196421,0.0017162639,46
2,LINEARREG,statistics,0.011920832,0.006053438,41,0.009028134,0.0020486466,55,0.009964431,0.00071488164,54
3,LINEARREG_ANGLE,statistics,0.023239683,0.009054842,9,0.021597808,0.015054778,10,0.024909262,0.014547445,7
4,LINEARREG_INTERCEPT,statistics,0.008876278,-0.00101107,59,0.007831477,-0.00028787807,63,0.009839796,-0.00025675105,55
5,LINEARREG_SLOPE,statistics,0.010679542,0.0009518658,49,0.009116638,0.0009788066,53,0.009395549,0.00054917706,60
6,STDDEV,statistics,0.010627968,-0.0033689835,51,0.011912598,0.004177909,33,0.014535633,0.008382424,20
7,TSF,statistics,0.0092219105,0.0011852329,57,0.008027199,0.0018614718,62,0.009371506,0.0029900412,61
8,VAR,statistics,0.006084085,-0.0002557313,65,0.004867617,0.0008287945,65,0.006054774,0.0021550613,65
9,AVGPRICE,price_transform,0.015696637,0.0040625315,25,0.012829692,0.0053500175,26,0.013044751,0.0046778605,31
10,MEDPRICE,price_transform,0.009262741,-0.00016933959,56,0.008238916,0.0012040759,61,0.0095130615,0.00056114094,59
11,TYPPRICE,price_transform,0.018310959,0.00985708,15,0.0100526055,-0.0020102016,48,0.011304357,-0.0032133511,43
12,WCLPRICE,price_transform,0.012915729,0.003203685,36,0.008744616,0.002012682,59,0.010622692,0.003385495,50
13,TRANGE,volatility,0.011142236,0.005460601,45,0.009095638,-0.0014916818,54,0.0091945445,0.0015849214,62
14,AD,volume,0.012539567,0.0012221889,39,0.010524949,0.0019246672,43,0.011197541,0.00075321394,45
15,ADOSC,volume,0.01278014,0.0028705958,37,0.010624843,0.0046859346,42,0.010388415,0.0003732144,51
16,OBV,volume,0.024342181,-0.017194444,6,0.03561166,0.028253332,3,0.033174604,0.02757047,3
17,ADX,momentum,0.011742061,0.002827817,42,0.010455833,0.0025930034,44,0.013134912,-6.7230844e-06,29
18,ADXR,momentum,0.014926127,0.0057652346,29,0.011246642,0.0030076506,36,0.009803229,0.0017294757,56
19,APO,momentum,0.008392511,-0.0010697689,60,0.010974524,0.0053207367,37,0.010165131,0.005693881,52
20,AROONUP,momentum,0.010810824,0.0011352339,48,0.01035977,0.00064224575,45,0.013273296,-6.381214e-05,27
21,AROONDOWN,momentum,0.014756874,0.006328104,31,0.013628849,0.0058537717,20,0.012510183,0.0033707148,38
22,AROONOSC,momentum,0.015533739,0.0007907759,27,0.015428258,-0.0031148086,18,0.017830273,-0.0034605102,14
23,BOP,momentum,0.014794869,0.0043128645,30,0.013189246,-0.0016544404,23,0.01282925,0.00078142085,35
24,CCI,momentum,0.018231172,0.0021307846,16,0.030779863,0.025915748,4,0.019899376,0.013765358,11
25,CMO,momentum,0.010121882,0.0040380913,55,0.010920838,-0.00071511883,39,0.011314096,0.0026799766,42
26,DX,momentum,0.021336176,0.016089085,11,0.016717236,-0.0053056036,16,0.015600202,-0.0020836394,17
27,FASTD,momentum,0.018438028,0.007048497,14,0.018611528,0.0062410235,13,0.016382009,0.0011719755,16
28,FASTDRSI,momentum,0.023952927,0.013064851,8,0.020964984,0.004119512,12,0.021577504,0.0014180675,9
29,FASTK,momentum,0.040992282,-0.027537119,2,0.10467588,0.099263094,1,0.076031595,0.071738034,1
30,FASTKRSI,momentum,0.024037777,-0.0057536177,7,0.037547626,0.03108486,2,0.026352761,0.013827572,6
31,MACD,momentum,0.016984398,0.005399018,19,0.017436083,0.010109566,14,0.013080855,0.0019385695,30
32,MACDEXT,momentum,0.017277593,-0.004516732,18,0.015566021,0.0011071381,17,0.0155409435,0.0067335716,18
33,MACDFIX,momentum,0.018604062,0.0070543997,13,0.0131683145,0.0031574443,24,0.014260774,0.0034285716,21
34,MFI,momentum,0.016020684,0.0061296127,23,0.013328701,-0.0015241764,21,0.017016744,-0.0049109543,15
35,MINUS_DI,momentum,0.041730482,0.021971047,1,0.021874867,0.009381466,8,0.029451402,0.019845633,5
36,MINUS_DM,momentum,0.016387578,0.0065475367,21,0.013656172,0.0013561712,19,0.013339161,0.0039103986,25
37,MOM,momentum,0.029453246,0.015072883,3,0.028902506,0.019837908,6,0.03376521,0.027339704,2
