column,Hold,Buy,Sell
0,0.0059070443,0.0030427333,0.003581693
1,0.0059070443,0.0030427333,0.003581693
2,0.0059070443,0.0030427333,0.003581693
3,0.0059070443,0.0030427333,0.003581693
4,0.0059070443,0.0030427333,0.003581693
5,0.0059070443,0.0030427333,0.003581693
6,0.0059070443,0.0030427333,0.003581693
7,0.0059070443,0.0030427333,0.003581693
8,0.0059070443,0.0030427333,0.003581693
9,0.0059070443,0.0030427333,0.003581693
10,0.0059070443,0.0030427333,0.003581693
11,0.0059070443,0.0030427333,0.003581693
12,0.0059070443,0.0030427333,0.003581693
13,0.009795227,0.0044404655,0.004844612
14,0.009795227,0.0044404655,0.004844612
15,0.009795227,0.0044404655,0.004844612
16,0.009795227,0.0044404655,0.004844612
17,0.009795227,0.0044404655,0.004844612
18,0.009795227,0.0044404655,0.004844612
19,0.009795227,0.0044404655,0.004844612
20,0.009795227,0.0044404655,0.004844612
21,0.009795227,0.0044404655,0.004844612
22,0.009795227,0.0044404655,0.004844612
23,0.009795227,0.0044404655,0.004844612
24,0.009795227,0.0044404655,0.004844612
25,0.009795227,0.0044404655,0.004844612
26,0.010807372,0.0041266987,0.0050111148
27,0.010807372,0.0041266987,0.0050111148
28,0.010807372,0.0041266987,0.0050111148
29,0.010807372,0.0041266987,0.0050111148
30,0.010807372,0.0041266987,0.0050111148
31,0.010807372,0.0041266987,0.0050111148
32,0.010807372,0.0041266987,0.0050111148
33,0.010807372,0.0041266987,0.0050111148
34,0.010807372,0.0041266987,0.0050111148
35,0.010807372,0.0041266987,0.0050111148
36,0.010807372,0.0041266987,0.0050111148
37,0.010807372,0.0041266987,0.0050111148
38,0.010807372,0.0041266987,0.0050111148
39,0.010945149,0.0053038723,0.0056294804
40,0.010945149,0.0053038723,0.0056294804
41,0.010945149,0.0053038723,0.0056294804
42,0.010945149,0.0053038723,0.0056294804
43,0.010945149,0.0053038723,0.0056294804
44,0.010945149,0.0053038723,0.0056294804
45,0.010945149,0.0053038723,0.0056294804
46,0.010945149,0.0053038723,0.0056294804
47,0.010945149,0.0053038723,0.0056294804
48,0.010945149,0.0053038723,0.0056294804
49,0.010945149,0.0053038723,0.0056294804
50,0.010945149,0.0053038723,0.0056294804
51,0.010945149,0.0053038723,0.0056294804
52,0.039468303,0.0600093,0.05785618
53,0.039468303,0.0600093,0.05785618
54,0.039468303,0.0600093,0.05785618
55,0.039468303,0.0600093,0.05785618
56,0.039468303,0.0600093,0.05785618
57,0.039468303,0.0600093,0.05785618
58,0.039468303,0.0600093,0.05785618
59,0.039468303,0.0600093,0.05785618
60,0.039468303,0.0600093,0.05785618
61,0.039468303,0.0600093,0.05785618
62,0.039468303,0.0600093,0.05785618
63,0.039468303,0.0600093,0.05785618
64,0.039468303,0.0600093,0.05785618
