column,Hold,Buy,Sell
0,0.009373699,0.009635908,0.010457448
1,0.008632023,0.008921904,0.009281287
2,0.007734594,0.008440452,0.008956949
3,0.0070069726,0.007516738,0.007964905
4,0.006802283,0.0062740333,0.006752455
5,0.0078067137,0.0078082234,0.009010133
6,0.007384193,0.0068126917,0.007773901
7,0.0073620733,0.007754108,0.0075710756
8,0.0072292564,0.007254739,0.007410885
9,0.006744095,0.0059329635,0.0072280136
10,0.007611495,0.0080817,0.008025237
11,0.008652391,0.009605875,0.009880389
12,0.021061998,0.027162537,0.028890708
13,0.009623657,0.009545435,0.010047277
14,0.009055271,0.008847256,0.009263816
15,0.008111301,0.008457403,0.008942596
16,0.0073824376,0.0075437534,0.0077991583
17,0.007199665,0.0065027205,0.006865815
18,0.008227932,0.007907558,0.009146496
19,0.00791538,0.0070809666,0.007936467
20,0.0078195315,0.007879529,0.00755027
21,0.007868429,0.0075581656,0.007573329
22,0.007363534,0.00623627,0.007231728
23,0.008164284,0.008167941,0.0079799555
24,0.009397431,0.009685724,0.010031689
25,0.021452522,0.026456952,0.027824441
26,0.009592529,0.009809106,0.009976814
27,0.0090837795,0.009214057,0.009005561
28,0.008272357,0.008718209,0.008854199
29,0.007628718,0.007714979,0.0077057914
30,0.007397925,0.006526445,0.006772566
31,0.008379899,0.00799667,0.008991996
32,0.007954964,0.0071276277,0.007837096
33,0.007933243,0.007825332,0.007656623
34,0.008062245,0.0075909914,0.0076705855
35,0.0074165254,0.0062727956,0.0072352276
36,0.008378583,0.008186108,0.008121963
37,0.009507806,0.009610858,0.010283458
38,0.021370117,0.025948316,0.028530585
39,0.009828773,0.00969433,0.0099838115
40,0.009362227,0.00910692,0.0092232125
41,0.008722127,0.008654401,0.009057121
42,0.007938952,0.007619579,0.007961993
43,0.00765508,0.0066314386,0.006988041
44,0.008788651,0.00784821,0.009057291
45,0.008424526,0.0070816474,0.007981452
46,0.00832586,0.00771659,0.007711272
47,0.008249492,0.007601353,0.0078055183
48,0.007609057,0.00622727,0.007424095
49,0.008435463,0.008062385,0.008020664
50,0.009784694,0.009592027,0.010234759
51,0.021537941,0.02502876,0.027344292
52,0.046905763,0.045130927,0.042402357
53,0.040807463,0.037185345,0.037387624
54,0.034959834,0.03172315,0.031310074
55,0.032967057,0.03024567,0.028697252
56,0.028863892,0.025720285,0.023389079
57,0.034832064,0.03180049,0.030989349
58,0.03162762,0.02798106,0.027907733
59,0.03291471,0.029498542,0.028175162
60,0.03308107,0.028225608,0.028412195
61,0.028964076,0.025726458,0.02373379
62,0.035107605,0.031714525,0.029309368
63,0.03995624,0.037952133,0.03524276
64,0.100387946,0.13061787,0.11821086
