column,Hold,Buy,Sell
0,0.009350126,0.010025776,0.010807669
1,0.008596513,0.009122161,0.00952979
2,0.0076985275,0.008683265,0.009272779
3,0.0069689187,0.007841251,0.008240473
4,0.0067916526,0.0064611197,0.0072027943
5,0.007774955,0.008056,0.009391431
6,0.0073720855,0.0071664597,0.008112808
7,0.0073345946,0.0081705805,0.0077147027
8,0.0072131953,0.0075961393,0.0076426324
9,0.0067003653,0.0062816544,0.0077642775
10,0.007594416,0.008377214,0.008324439
11,0.008603209,0.009965835,0.010526299
12,0.020998633,0.028232513,0.030454073
13,0.009606003,0.009968226,0.010823965
14,0.009045208,0.009153095,0.009620498
15,0.008112646,0.00857604,0.00903262
16,0.0073486166,0.0077745556,0.007827876
17,0.0071588648,0.0068229237,0.0069792573
18,0.008202643,0.008141953,0.009206573
19,0.007903256,0.007315479,0.008158298
20,0.0077891177,0.008374439,0.0074495752
21,0.007841279,0.007689837,0.0075742193
22,0.0073190685,0.0063800123,0.0072890534
23,0.0081361905,0.008567859,0.007895318
24,0.00935845,0.010041594,0.010371152
25,0.021414457,0.027731981,0.027448613
26,0.009571908,0.010296275,0.010021922
27,0.009028673,0.009438963,0.008977033
28,0.008250938,0.008996544,0.009099957
29,0.007594834,0.008087383,0.007912897
30,0.0073529435,0.006783986,0.0071513536
31,0.008343316,0.008141441,0.009373037
32,0.007947998,0.007432664,0.008171894
33,0.0079145245,0.008186636,0.007752535
34,0.008035917,0.007971881,0.0077359327
35,0.00740119,0.006579421,0.007330015
36,0.008370288,0.008608251,0.0080925245
37,0.009481287,0.010038563,0.010406095
38,0.021362318,0.027481146,0.02914851
39,0.009816162,0.010191375,0.010251238
40,0.0093781855,0.009428102,0.009505058
41,0.008705309,0.008802151,0.009099778
42,0.007923559,0.0077091036,0.008038836
43,0.0076422566,0.006768602,0.00708409
44,0.008776218,0.007885584,0.009031183
45,0.00840341,0.007368482,0.00793485
46,0.008302545,0.007868791,0.0075479113
47,0.008229605,0.007764499,0.007769436
48,0.0075849383,0.0064001195,0.007458866
49,0.008423158,0.0082233045,0.007889493
50,0.009750811,0.009795424,0.01012029
51,0.021518271,0.02491113,0.027322024
52,0.047122233,0.04232906,0.040819455
53,0.040901855,0.03471613,0.03544746
54,0.035086565,0.029421413,0.029305063
55,0.033053868,0.028151551,0.02778804
56,0.028944355,0.024325151,0.022424117
57,0.034910187,0.030333828,0.030261548
58,0.031696692,0.026776196,0.0271172
59,0.0329308,0.028397355,0.026957816
60,0.0331323,0.026651606,0.027243089
61,0.029038355,0.024714757,0.022504613
62,0.035275236,0.030126814,0.028789604
63,0.040178258,0.035792384,0.03456929
64,0.10038574,0.134586,0.12188473
