column,Hold,Buy,Sell
0,0.00997044,0.0095412675,0.010389741
1,0.009530959,0.0088732885,0.009233249
2,0.00864759,0.008381508,0.008895893
3,0.007970373,0.007437962,0.00791163
4,0.0070713363,0.006228619,0.0066653974
5,0.00861074,0.0077480758,0.008936423
6,0.007690745,0.0067268144,0.0077083847
7,0.00805768,0.0076530077,0.0075433115
8,0.007635826,0.007171865,0.007366083
9,0.007851149,0.00584832,0.007124345
10,0.00804386,0.008009963,0.007967396
11,0.009897438,0.009518494,0.009755521
12,0.022666102,0.026902802,0.028588483
13,0.010070535,0.009442806,0.009897133
14,0.009310011,0.00877301,0.00919486
15,0.008077254,0.008428605,0.008925193
16,0.0082386015,0.007487728,0.0077936067
17,0.008232593,0.00642499,0.006843883
18,0.008868105,0.007850659,0.009134884
19,0.0082223,0.007024038,0.007893585
20,0.0085895145,0.0077593867,0.007569734
21,0.008555747,0.007526204,0.0075731548
22,0.008489201,0.006201377,0.007220647
23,0.008875457,0.008070862,0.007996317
24,0.010384225,0.009599337,0.009966062
25,0.022416333,0.026147436,0.027897097
26,0.010114597,0.009690846,0.009968095
27,0.010478849,0.009159461,0.009011073
28,0.00881458,0.0086506475,0.008806688
29,0.008486466,0.007624579,0.0076657534
30,0.008536647,0.0064639286,0.006699341
31,0.009305996,0.0079615265,0.008918332
32,0.008131286,0.007053581,0.007772373
33,0.008407142,0.007737625,0.007638079
34,0.008728794,0.007498529,0.0076579507
35,0.0078047453,0.006198363,0.007216902
36,0.008588532,0.008083633,0.008127651
37,0.010179166,0.00950703,0.01025975
38,0.021567442,0.02557622,0.028411122
39,0.010147986,0.009573675,0.009932113
40,0.008958229,0.009028953,0.0091687245
41,0.009147897,0.008618534,0.0090488745
42,0.008328589,0.007597849,0.007947136
43,0.007979743,0.0065981434,0.006969472
44,0.009103388,0.007839138,0.0090623405
45,0.008959093,0.0070120175,0.007990461
46,0.00891604,0.007679643,0.0077428524
47,0.008752918,0.007561747,0.007812495
48,0.008219694,0.006185312,0.0074173715
49,0.008746997,0.0080233235,0.008046022
50,0.010642407,0.0095426515,0.010256884
51,0.022035774,0.025057318,0.027348604
52,0.041425455,0.0458111,0.042708345
53,0.03841762,0.037784755,0.037762694
54,0.031751152,0.03228191,0.03169768
55,0.030769415,0.030754019,0.028873025
56,0.026826862,0.026058957,0.023575626
57,0.03285412,0.032156523,0.031130042
58,0.0298791,0.028273536,0.028060561
59,0.03250755,0.029765857,0.02841049
60,0.031784255,0.028607698,0.028638205
61,0.027083648,0.025972046,0.02397141
62,0.030864075,0.032099947,0.02940985
63,0.034335747,0.038476408,0.03537295
64,0.10044392,0.12965457,0.11750062
