fold,test_year,seed,n,accuracy,balanced_accuracy,macro_f1,majority_class_accuracy,precision_Hold,recall_Hold,f1_Hold,support_Hold,predicted_Hold,precision_Buy,recall_Buy,f1_Buy,support_Buy,predicted_Buy,precision_Sell,recall_Sell,f1_Sell,support_Sell,predicted_Sell
0,2007,0,2250,0.6311111111111111,0.35232689082383345,0.2987068811630215,0.6253333333333333,0.6355311355311355,0.9864960909737029,0.7730437204121414,1407,2184,0.48484848484848486,0.07048458149779736,0.12307692307692308,454,66,0.0,0.0,0.0,389,0
1,2008,0,2268,0.42857142857142855,0.41644829145421225,0.36153416013441997,0.37610229276895946,0.4585714285714286,0.7526377491207503,0.5699067909454061,853,1400,0.37735849056603776,0.43143297380585516,0.402588066139468,649,742,0.3968253968253968,0.06527415143603134,0.11210762331838565,766,126
2,2009,0,2259,0.4807436918990704,0.4677899399135316,0.4592634724885826,0.4940239043824701,0.6685584562996595,0.5277777777777778,0.5898848272408613,1116,881,0.3978819969742814,0.4122257053291536,0.4049268668206313,638,661,0.3263598326359833,0.4633663366336634,0.3829787234042553,505,717
3,2010,0,2259,0.6463036741921204,0.33325842597336863,0.27158452314143305,0.6533864541832669,0.6546600630346691,0.9850948509485095,0.7865837165269137,1476,2221,0.3125,0.011933174224343675,0.022988505747126436,419,16,0.045454545454545456,0.0027472527472527475,0.0051813471502590676,364,22
4,2011,0,2259,0.5927401505090748,0.35651053914811026,0.3035700322981895,0.5869853917662683,0.6027906976744186,0.9773755656108597,0.7456846950517837,1326,2150,0.41818181818181815,0.049145299145299144,0.08795411089866156,468,55,0.37037037037037035,0.043010752688172046,0.07707129094412331,465,54
5,2012,0,2241,0.7420794288264168,0.3516442237513344,0.32482701849467394,0.7487728692547969,0.7572547213265776,0.9797377830750894,0.8542478565861262,1678,2171,0.25,0.003194888178913738,0.006309148264984227,313,4,0.2727272727272727,0.072,0.11392405063291139,250,66
6,2013,0,2259,0.7724656927844179,0.35231619843429934,0.3327607363632406,0.7737937140327579,0.7835753176043557,0.9879862700228833,0.8739878542510121,1748,2204,0.36363636363636365,0.04332129963898917,0.07741935483870968,277,33,0.2727272727272727,0.02564102564102564,0.046875,234,22
7,2014,0,2259,0.7467906153165117,0.33907111899133174,0.30037052394318275,0.749003984063745,0.7543780871127077,0.9929078014184397,0.8573615718295483,1692,2227,0.21875,0.024305555555555556,0.04375,288,32,0.0,0.0,0.0,279,0
8,2015,0,2259,0.632580787959274,0.3872327599613334,0.3722982546651392,0.6401062416998672,0.6822142491030241,0.9204702627939142,0.7836326170150133,1446,1951,0.3230088495575221,0.17980295566502463,0.2310126582278481,406,226,0.3048780487804878,0.06142506142506143,0.10224948875255624,407,82
9,2016,0,2259,0.6949977866312528,0.365731787018154,0.34180825611365667,0.6941124391323594,0.7123479887745556,0.9713010204081632,0.8219104155423638,1568,2138,0.4077669902912621,0.10966057441253264,0.1728395061728395,383,103,0.2777777777777778,0.016233766233766232,0.03067484662576687,308,18
10,2017,0,2250,0.8471111111111111,0.3333333333333333,0.30574270131536735,0.8471111111111111,0.8471111111111111,1.0,0.917228103946102,1906,2250,0.0,0.0,0.0,195,0,0.0,0.0,0.0,149,0
11,2018,0,2250,0.6488888888888888,0.33497826116132257,0.2674391208325219,0.6493333333333333,0.6504464285714285,0.9972621492128679,0.7873547689813564,1461,2240,0.3,0.0076726342710997444,0.014962593516209476,391,10,0.0,0.0,0.0,398,0
12,2019,0,2259,0.7255422753430721,0.35348719589043714,0.3301996929317396,0.734838424081452,0.7438742487286176,0.9692771084337349,0.8417473188595344,1660,2163,0.3068181818181818,0.07964601769911504,0.12646370023419204,339,88,0.375,0.011538461538461539,0.022388059701492536,260,8
13,2020,0,2268,0.5185185185185185,0.37974985708811543,0.3204597760043723,0.49779541446208114,0.5301571211353269,0.9264836138175376,0.6744036105738234,1129,1973,0.4406779661016949,0.2127659574468085,0.2869757174392936,611,295,0.0,0.0,0.0,528,0
14,2021,0,2259,0.6551571491810536,0.36192823298399146,0.32170873930103755,0.6489597166888004,0.6683768656716418,0.9774897680763983,0.7939058171745152,1466,2144,0.40869565217391307,0.10829493087557604,0.17122040072859745,434,115,0.0,0.0,0.0,359,0
