row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.019078344,0.019078344,1,0.02349753,0.02349753,1,0.02495235,0.02495235,1
1,CORREL,statistics,0.019078344,0.019078344,1,0.02349753,0.02349753,1,0.02495235,0.02495235,1
2,LINEARREG,statistics,0.019078344,0.019078344,1,0.02349753,0.02349753,1,0.02495235,0.02495235,1
3,LINEARREG_ANGLE,statistics,0.019078344,0.019078344,1,0.02349753,0.02349753,1,0.02495235,0.02495235,1
4,LINEARREG_INTERCEPT,statistics,0.019078344,0.019078344,1,0.02349753,0.02349753,1,0.02495235,0.02495235,1
5,LINEARREG_SLOPE,statistics,0.019078344,0.019078344,1,0.02349753,0.02349753,1,0.02495235,0.02495235,1
6,STDDEV,statistics,0.019078344,0.019078344,1,0.02349753,0.02349753,1,0.02495235,0.02495235,1
7,TSF,statistics,0.019078344,0.019078344,1,0.02349753,0.02349753,1,0.02495235,0.02495235,1
8,VAR,statistics,0.019078344,0.019078344,1,0.02349753,0.02349753,1,0.02495235,0.02495235,1
9,AVGPRICE,price_transform,0.019078344,0.019078344,1,0.02349753,0.02349753,1,0.02495235,0.02495235,1
10,MEDPRICE,price_transform,0.019078344,0.019078344,1,0.02349753,0.02349753,1,0.02495235,0.02495235,1
11,TYPPRICE,price_transform,0.019078344,0.019078344,1,0.02349753,0.02349753,1,0.02495235,0.02495235,1
12,WCLPRICE,price_transform,0.019078344,0.019078344,1,0.02349753,0.02349753,1,0.02495235,0.02495235,1
13,TRANGE,volatility,0.012855025,0.012855025,40,0.0156041235,0.0156041235,27,0.012731705,0.012731705,40
14,AD,volume,0.012855025,0.012855025,40,0.0156041235,0.0156041235,27,0.012731705,0.012731705,40
15,ADOSC,volume,0.012855025,0.012855025,40,0.0156041235,0.0156041235,27,0.012731705,0.012731705,40
16,OBV,volume,0.012855025,0.012855025,40,0.0156041235,0.0156041235,27,0.012731705,0.012731705,40
17,ADX,momentum,0.012855025,0.012855025,40,0.0156041235,0.0156041235,27,0.012731705,0.012731705,40
18,ADXR,momentum,0.012855025,0.012855025,40,0.0156041235,0.0156041235,27,0.012731705,0.012731705,40
19,APO,momentum,0.012855025,0.012855025,40,0.0156041235,0.0156041235,27,0.012731705,0.012731705,40
20,AROONUP,momentum,0.012855025,0.012855025,40,0.0156041235,0.0156041235,27,0.012731705,0.012731705,40
21,AROONDOWN,momentum,0.012855025,0.012855025,40,0.0156041235,0.0156041235,27,0.012731705,0.012731705,40
22,AROONOSC,momentum,0.012855025,0.012855025,40,0.0156041235,0.0156041235,27,0.012731705,0.012731705,40
23,BOP,momentum,0.012855025,0.012855025,40,0.0156041235,0.0156041235,27,0.012731705,0.012731705,40
24,CCI,momentum,0.012855025,0.012855025,40,0.0156041235,0.0156041235,27,0.012731705,0.012731705,40
25,CMO,momentum,0.012855025,0.012855025,40,0.0156041235,0.0156041235,27,0.012731705,0.012731705,40
26,DX,momentum,0.018575009,0.018575009,14,0.017585143,0.017585143,14,0.017207807,0.017207807,14
27,FASTD,momentum,0.018575009,0.018575009,14,0.017585143,0.017585143,14,0.017207807,0.017207807,14
28,FASTDRSI,momentum,0.018575009,0.018575009,14,0.017585143,0.017585143,14,0.017207807,0.017207807,14
29,FASTK,momentum,0.018575009,0.018575009,14,0.017585143,0.017585143,14,0.017207807,0.017207807,14
30,FASTKRSI,momentum,0.018575009,0.018575009,14,0.017585143,0.017585143,14,0.017207807,0.017207807,14
31,MACD,momentum,0.018575009,0.018575009,14,0.017585143,0.017585143,14,0.017207807,0.017207807,14
32,MACDEXT,momentum,0.018575009,0.018575009,14,0.017585143,0.017585143,14,0.017207807,0.017207807,14
33,MACDFIX,momentum,0.018575009,0.018575009,14,0.017585143,0.017585143,14,0.017207807,0.017207807,14
34,MFI,momentum,0.018575009,0.018575009,14,0.017585143,0.017585143,14,0.017207807,0.017207807,14
35,MINUS_DI,momentum,0.018575009,0.018575009,14,0.017585143,0.017585143,14,0.017207807,0.017207807,14
