row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.01677835,0.000962279,23,0.0130222775,0.0037967265,46,0.013236158,0.0047860406,47
1,CORREL,statistics,0.01761636,-0.0018917935,17,0.009793747,-0.0010423134,62,0.008789879,0.0019997365,64
2,LINEARREG,statistics,0.011968579,-0.000686256,53,0.01504388,-0.0014416827,28,0.013263552,-0.0014290945,45
3,LINEARREG_ANGLE,statistics,0.019592796,0.0003680998,6,0.023920259,0.0043812864,3,0.021255558,-0.0005536269,9
4,LINEARREG_INTERCEPT,statistics,0.011944835,-0.0011980457,54,0.013735571,-0.0009540152,40,0.013733475,-0.0012132111,40
5,LINEARREG_SLOPE,statistics,0.010089826,-0.0008020173,63,0.013346929,0.0019327867,43,0.012707236,-0.0006123128,49
6,STDDEV,statistics,0.013162522,0.0021529815,43,0.014741874,0.007234941,30,0.019393198,0.014282197,12
7,TSF,statistics,0.012606429,-0.00086251885,51,0.01494683,-0.0007662124,29,0.016134419,-0.0011679608,25
8,VAR,statistics,0.008900424,0.0013320518,65,0.013971031,0.010254869,39,0.0151880095,0.007770921,31
9,AVGPRICE,price_transform,0.015001576,-0.00054706907,34,0.01856602,0.00014774734,14,0.015012735,-0.0009259176,32
10,MEDPRICE,price_transform,0.011609935,-0.0010866419,58,0.012126969,-0.0004971475,53,0.011201701,-0.0011273684,57
11,TYPPRICE,price_transform,0.015185869,-0.0008313805,33,0.020048408,-0.001979002,8,0.01914518,-0.0018516696,13
12,WCLPRICE,price_transform,0.011518988,-0.0010100816,59,0.01438172,-0.00097846,35,0.015289769,-0.000567537,30
13,TRANGE,volatility,0.016475515,0.0041119624,26,0.023511501,0.010654865,5,0.022005793,0.008129962,5
14,AD,volume,0.01659707,-0.00045693462,25,0.012278563,7.226093e-05,51,0.01061338,0.00061724806,59
15,ADOSC,volume,0.014647081,-0.0003801568,36,0.010452271,0.0019005486,60,0.008883248,0.0001785653,63
