row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.04193654,0.012499551,2,0.016112523,0.010431861,22,0.017895536,0.013649758,13
1,CORREL,statistics,0.023858948,-0.0036921438,6,0.011394217,-0.00599973,41,0.014294418,0.010161205,25
2,LINEARREG,statistics,0.0073516434,-0.0016562926,62,0.009841178,-0.004449118,47,0.008498192,-0.004987259,48
3,LINEARREG_ANGLE,statistics,0.01860253,0.005607417,16,0.022860795,0.011862438,11,0.010661976,0.0015772647,40
4,LINEARREG_INTERCEPT,statistics,0.0074705705,-0.0029802788,61,0.010911927,0.0028301235,44,0.008055838,-0.0025247254,57
5,LINEARREG_SLOPE,statistics,0.006710411,-0.002521362,64,0.011840989,0.005769766,37,0.010790029,-0.0032665592,38
6,STDDEV,statistics,0.029194092,0.013770723,4,0.02070088,0.018016396,15,0.06185768,0.057423685,1
7,TSF,statistics,0.008362642,-0.0022260984,55,0.011542432,0.0025343972,40,0.009650565,-0.0014085394,44
8,VAR,statistics,0.023472384,0.014477088,8,0.042599224,0.041434936,1,0.038541544,0.03724115,5
9,AVGPRICE,price_transform,0.010367526,-0.00089125487,45,0.009658916,0.0023484037,49,0.008179698,-0.0026672452,55
10,MEDPRICE,price_transform,0.0076519726,-0.0033116958,58,0.0070321723,-0.0006991805,63,0.008471842,-0.003957119,49
11,TYPPRICE,price_transform,0.01079849,-0.0020987955,43,0.010597481,-0.0049246014,45,0.01035532,-0.0064790854,42
12,WCLPRICE,price_transform,0.007848216,-0.0033713216,57,0.008545481,-0.0006433976,52,0.0069708293,-0.0011271291,62
13,TRANGE,volatility,0.037294514,0.023274494,3,0.035322893,0.029001588,3,0.04430279,0.02190294,4
14,AD,volume,0.009393213,-0.00074782944,50,0.007541564,-0.00010829671,60,0.0061795386,0.0011561788,64
15,ADOSC,volume,0.013321294,-0.0013466815,34,0.010518366,0.0067273965,46,0.0088939,-0.0016302363,45
16,OBV,volume,0.012740749,-0.0022947555,39,0.011367331,0.0068745674,42,0.008470808,0.004773889,50
17,ADX,momentum,0.0095985,-0.0035346216,49,0.011046932,0.0020570008,43,0.0075957044,0.0031978104,59
18,ADXR,momentum,0.013458433,-0.004173716,33,0.01220834,-0.0030045172,33,0.012710837,-0.0052315528,29
19,APO,momentum,0.014602054,-0.006596453,29,0.0162198,-0.0015677135,21,0.035427883,-0.0057573337,6
20,AROONUP,momentum,0.013299434,-0.0028099527,35,0.011840176,-0.007197458,38,0.0075205844,-0.004026497,60
21,AROONDOWN,momentum,0.017392628,0.004924143,20,0.018598374,0.013066388,18,0.011989147,0.0049416055,33
22,AROONOSC,momentum,0.016868498,-0.0038986693,22,0.014909806,-0.0053203166,26,0.008429988,-0.00511453,51
23,BOP,momentum,0.009216505,-0.0019123625,51,0.0075003295,-0.0032254911,61,0.008149503,-0.003984596,56
24,CCI,momentum,0.017952984,0.0024367333,18,0.015834395,0.012721748,24,0.01537311,0.011293961,18
25,CMO,momentum,0.012987082,0.0005486086,38,0.008062431,-0.0009810198,56,0.022057494,0.01653116,8
26,DX,momentum,0.021865528,0.008169983,10,0.008270067,0.00092697865,54,0.01000899,-0.002565501,43
27,FASTD,momentum,0.011949172,0.0036244076,41,0.012273473,-0.005215819,32,0.010541108,0.004987137,41
28,FASTDRSI,momentum,0.008673986,-0.0014716246,53,0.007150671,0.001058735,62,0.0064944276,0.00095259445,63
29,FASTK,momentum,0.01657114,0.00037608139,23,0.014571347,0.01181049,28,0.008390111,0.0051859347,52
30,FASTKRSI,momentum,0.010203124,-0.0013622262,46,0.006630322,-0.0039844285,64,0.007720542,0.0022479978,58
31,MACD,momentum,0.0075252797,-0.0018904993,60,0.02201036,0.01580668,13,0.021812655,-0.0019744532,11
32,MACDEXT,momentum,0.010732497,-0.0012294374,44,0.009793164,-0.0033035483,48,0.022006698,0.01186078,9
33,MACDFIX,momentum,0.0172145,-0.0044869445,21,0.02835199,-0.012445512,6,0.015851738,-0.004046407,17
34,MFI,momentum,0.019512435,0.001086721,12,0.018023087,-0.012396546,19,0.014570113,-0.00355917,22
35,MINUS_DI,momentum,0.02657768,0.0021855247,5,0.023125725,0.011230436,10,0.011238648,0.007279882,37
36,MINUS_DM,momentum,0.015746478,0.0038381435,26,0.039961774,0.039580688,2,0.046473306,0.020745084,2
37,MOM,momentum,0.01383365,0.0006298678,30,0.023390677,0.0136255585,9,0.02188148,0.011565277,10
38,PLUS_DI,momentum,0.013688152,0.00010034173,32,0.0050817113,-0.002673026,65,0.014756976,0.0020057769,21
39,PLUS_DM,momentum,0.052360974,0.032050937,1,0.031454824,0.022558417,4,0.046064127,0.016525378,3
40,PPO,momentum,0.0090666395,0.0014931308,52,0.018787185,-0.0061593456,17,0.017842539,0.009558825,14
41,ROC,momentum,0.008621102,0.00021380893,54,0.012621766,0.009471237,31,0.012709603,0.0040258984,30
42,ROCP,momentum,0.016011523,0.0054962533,24,0.028168047,0.017600546,7,0.014914449,0.008164486,20
43,ROCR,momentum,0.006710937,-0.00027865655,63,0.013995159,-0.006203829,29,0.008892531,0.004080541,46
44,ROCR100,momentum,0.0066705877,-0.00016918394,65,0.011900423,0.009132536,36,0.012379289,-0.00031245608,31
45,RSI,momentum,0.022286605,-0.007351125,9,0.008600015,-0.0051902975,51,0.019521864,-0.012909469,12
46,SLOWD,momentum,0.015915498,-0.0072249784,25,0.011588151,-0.008821926,39,0.005357452,-0.002298879,65
47,SLOWK,momentum,0.019908343,-0.004324357,11,0.021942848,-0.020376394,14,0.01281645,-0.0076208534,28
48,TRIX,momentum,0.019389255,-0.0078050923,13,0.03064652,-0.000707741,5,0.012959784,-0.009277013,27
49,ULTOSC,momentum,0.0137810195,-0.0037130984,31,0.008722467,-0.0045243353,50,0.011723697,-0.00906889,36
50,WILLR,momentum,0.023648584,0.0053103054,7,0.01567021,0.0139048,25,0.015944263,0.013673417,16
51,BBANDSL,overlap,0.013119621,0.0058441465,36,0.008175277,0.0010305526,55,0.03272117,0.026514206,7
52,BBANDSM,overlap,0.018263182,0.008066712,17,0.013752024,0.0066703875,30,0.015282925,0.011295633,19
53,BBANDSU,overlap,0.015417987,-0.009723286,28,0.02033181,-0.005558132,16,0.016060792,0.00092998485,15
54,DEMA,overlap,0.0080323825,-0.0003964695,56,0.0080091,-0.0016622365,57,0.00705233,0.00271201,61
55,EMA,overlap,0.019282961,-0.007001673,14,0.02402318,-0.014415008,8,0.011848353,-0.0022362159,34
56,HT_TRENDLINE,overlap,0.009954743,-0.0056102127,48,0.012137698,0.0066306563,34,0.010759481,0.00586839,39
57,KAMA,overlap,0.010982584,-0.0023704236,42,0.01458687,-0.0064024925,27,0.0145532545,-0.0014532042,23
58,MA,overlap,0.012048926,0.0059898263,40,0.0078117778,0.0035749325,58,0.011737471,0.0021526315,35
59,MIDPOINT,overlap,0.013071003,0.007026089,37,0.012090123,0.006369639,35,0.008312057,0.0038539376,53
60,MIDPRICE,overlap,0.018864242,0.010021691,15,0.02211074,0.012196249,12,0.0144168455,0.0026470483,24
61,SMA,overlap,0.0154652465,0.005547974,27,0.01761155,0.009931425,20,0.008237602,0.0035602753,54
62,TEMA,overlap,0.0076326504,-0.0021643692,59,0.008428624,0.004105211,53,0.008703911,0.00017523493,47
63,TRIMA,overlap,0.017625231,-0.009734232,19,0.016005514,-0.011871428,23,0.013755938,0.0007883992,26
64,WMA,overlap,0.010022589,-0.005486523,47,0.00758485,0.004135661,59,0.012360285,0.0006471903,32
