column,Hold,Buy,Sell
0,0.011826719,0.010533021,0.01441555
1,0.017814012,0.013837836,0.01877088
2,0.0129975835,0.01310471,0.012066123
3,0.012757071,0.011203348,0.01337413
4,0.014122843,0.013863873,0.015598955
5,0.014773384,0.015335567,0.015139567
6,0.013535837,0.012750854,0.013274786
7,0.013896144,0.013497941,0.016117703
8,0.014174009,0.012510441,0.015479682
9,0.013618916,0.015495836,0.013300457
10,0.017573383,0.017015591,0.017007535
11,0.0178389,0.017567897,0.015013743
12,0.023974186,0.024162723,0.02085037
13,0.011840172,0.011029764,0.01458065
14,0.01790058,0.014391339,0.018780405
15,0.013124465,0.013567561,0.011933921
16,0.012815789,0.011558552,0.013744919
17,0.014249803,0.014487417,0.015902627
18,0.015034029,0.015778242,0.015485869
19,0.01396019,0.013219775,0.01356786
20,0.014377836,0.013957422,0.016669998
21,0.014265957,0.013113865,0.015918504
22,0.013789493,0.015795318,0.0136990035
23,0.017837696,0.017916145,0.016971625
24,0.018107504,0.018080804,0.014297359
25,0.02454476,0.025332777,0.019806327
26,0.01182937,0.011358952,0.013990592
27,0.01760039,0.014916372,0.018296689
28,0.012955604,0.013913277,0.011777858
29,0.0127364965,0.011586818,0.013525525
30,0.014013011,0.014391756,0.015463447
31,0.014766533,0.015965039,0.014984276
32,0.013531043,0.013143382,0.01351579
33,0.013951368,0.014287379,0.015837125
34,0.014340354,0.013145602,0.014954684
35,0.013770188,0.016188737,0.013330722
36,0.017685289,0.018316226,0.017024966
37,0.017955206,0.018525327,0.014854837
38,0.024034493,0.025345478,0.020697301
39,0.011831304,0.011677554,0.014126587
40,0.017656889,0.01534383,0.018873986
41,0.012980975,0.014277149,0.01214499
42,0.012593571,0.012052593,0.013844125
43,0.014019037,0.014909062,0.015899936
44,0.014735612,0.01679635,0.015339924
45,0.013622605,0.013841373,0.013791688
46,0.013952752,0.014838862,0.01613995
47,0.014204532,0.013675163,0.0151422955
48,0.013700164,0.016273709,0.013484628
49,0.017522931,0.017647061,0.017082192
50,0.017920408,0.017911362,0.014515039
51,0.02403188,0.024752561,0.020321332
52,0.011922902,0.011575144,0.013991994
53,0.01793585,0.015239429,0.01861278
54,0.013166289,0.014311994,0.011974706
55,0.012949489,0.012107315,0.01380334
56,0.014200931,0.014832364,0.015318201
57,0.0148579655,0.016763989,0.014524392
58,0.013740755,0.01362156,0.012886891
59,0.013928011,0.014810404,0.015917357
60,0.014517716,0.013474295,0.015721532
61,0.013931197,0.016486527,0.013806999
62,0.017662605,0.018771255,0.017116208
63,0.018131083,0.018530365,0.014903662
64,0.02436189,0.025285786,0.020692922
