column,Hold,Buy,Sell
0,0.011248844,0.010651885,0.013775082
1,0.017220683,0.013915796,0.017968876
2,0.012568964,0.013038168,0.012036424
3,0.012347253,0.01144479,0.013693654
4,0.013894826,0.013854914,0.016174512
5,0.015489314,0.015756967,0.015283445
6,0.013219288,0.013211951,0.013421826
7,0.013742353,0.014063729,0.016227273
8,0.0142994635,0.013026641,0.015209184
9,0.01428855,0.01554556,0.013601391
10,0.017465755,0.017405387,0.016917557
11,0.017175287,0.018155636,0.015223814
12,0.024164481,0.024844065,0.020739434
13,0.01130508,0.011376947,0.013948108
14,0.017057195,0.014950026,0.018082948
15,0.012684943,0.013866291,0.011775867
16,0.012512176,0.011669329,0.013773741
17,0.014168887,0.014684347,0.015919825
18,0.015623352,0.01593552,0.015111273
19,0.013282418,0.013177586,0.014001245
20,0.013882504,0.014203768,0.016551781
21,0.014119552,0.012705841,0.0155522255
22,0.014134848,0.015242897,0.014084372
23,0.017283618,0.017241033,0.017319579
24,0.016735613,0.017784348,0.015725521
25,0.023683244,0.024485935,0.021157056
26,0.010988806,0.011466956,0.01415294
27,0.01679296,0.014767903,0.018617319
28,0.012665333,0.013764047,0.012018462
29,0.01238506,0.011832281,0.013823611
30,0.013919536,0.014665337,0.015546557
31,0.015759999,0.016273407,0.015202058
32,0.013437807,0.013558729,0.013442021
33,0.0141519215,0.01475711,0.015906308
34,0.014544088,0.0131844655,0.014823023
35,0.014785799,0.015777782,0.013544485
36,0.017880654,0.01765084,0.016892456
37,0.0177412,0.018190203,0.014733004
38,0.02464697,0.024531811,0.020027958
39,0.011407319,0.0113855805,0.014063513
40,0.017282264,0.015353087,0.018394453
41,0.012732825,0.01407794,0.011912036
42,0.01274811,0.0120654255,0.013976269
43,0.014092011,0.014816734,0.015943827
44,0.016000135,0.016240904,0.014817866
45,0.0137593495,0.013824004,0.01309588
46,0.014423034,0.014838667,0.015848173
47,0.01463367,0.013295544,0.014916474
48,0.014774915,0.016120296,0.0134081645
49,0.017806927,0.018660266,0.0166058
50,0.017457731,0.018948311,0.014995111
51,0.02484418,0.025532559,0.020065663
52,0.011434694,0.011836454,0.0140243005
53,0.017287903,0.015347497,0.018745668
54,0.012999734,0.014291947,0.012203241
55,0.012851557,0.012136402,0.013951551
56,0.014351513,0.0148499375,0.016140841
57,0.016182477,0.016198471,0.014984451
58,0.013884588,0.013673237,0.0133087905
59,0.014385533,0.014856181,0.016254267
60,0.014921805,0.013338711,0.015158645
61,0.015162654,0.01565121,0.013600646
62,0.018165253,0.01781931,0.016705621
63,0.017914856,0.018125981,0.014906174
64,0.02519634,0.024055112,0.019966353
