column,Hold,Buy,Sell
0,0.015384612,0.015384617,0.015384613
1,0.015384612,0.015384617,0.015384613
2,0.015384612,0.015384617,0.015384613
3,0.015384612,0.015384617,0.015384613
4,0.015384612,0.015384617,0.015384613
5,0.015384612,0.015384617,0.015384613
6,0.015384612,0.015384617,0.015384613
7,0.015384612,0.015384617,0.015384613
8,0.015384612,0.015384617,0.015384613
9,0.015384612,0.015384617,0.015384613
10,0.015384612,0.015384617,0.015384613
11,0.015384612,0.015384617,0.015384613
12,0.015384612,0.015384617,0.015384613
13,0.015384612,0.015384617,0.015384613
14,0.015384612,0.015384617,0.015384613
15,0.015384612,0.015384617,0.015384613
16,0.015384612,0.015384617,0.015384613
17,0.015384612,0.015384617,0.015384613
18,0.015384612,0.015384617,0.015384613
19,0.015384612,0.015384617,0.015384613
20,0.015384612,0.015384617,0.015384613
21,0.015384612,0.015384617,0.015384613
22,0.015384612,0.015384617,0.015384613
23,0.015384612,0.015384617,0.015384613
24,0.015384612,0.015384617,0.015384613
25,0.015384612,0.015384617,0.015384613
26,0.015384612,0.015384617,0.015384613
27,0.015384612,0.015384617,0.015384613
28,0.015384612,0.015384617,0.015384613
29,0.015384612,0.015384617,0.015384613
30,0.015384612,0.015384617,0.015384613
31,0.015384612,0.015384617,0.015384613
32,0.015384612,0.015384617,0.015384613
33,0.015384612,0.015384617,0.015384613
34,0.015384612,0.015384617,0.015384613
35,0.015384612,0.015384617,0.015384613
36,0.015384612,0.015384617,0.015384613
37,0.015384612,0.015384617,0.015384613
38,0.015384612,0.015384617,0.015384613
39,0.015384612,0.015384617,0.015384613
40,0.015384612,0.015384617,0.015384613
41,0.015384612,0.015384617,0.015384613
42,0.015384612,0.015384617,0.015384613
43,0.015384612,0.015384617,0.015384613
44,0.015384612,0.015384617,0.015384613
45,0.015384612,0.015384617,0.015384613
46,0.015384612,0.015384617,0.015384613
47,0.015384612,0.015384617,0.015384613
48,0.015384612,0.015384617,0.015384613
49,0.015384612,0.015384617,0.015384613
50,0.015384612,0.015384617,0.015384613
51,0.015384612,0.015384617,0.015384613
52,0.015384612,0.015384617,0.015384613
53,0.015384612,0.015384617,0.015384613
54,0.015384612,0.015384617,0.015384613
55,0.015384612,0.015384617,0.015384613
56,0.015384612,0.015384617,0.015384613
57,0.015384612,0.015384617,0.015384613
58,0.015384612,0.015384617,0.015384613
59,0.015384612,0.015384617,0.015384613
60,0.015384612,0.015384617,0.015384613
61,0.015384612,0.015384617,0.015384613
62,0.015384612,0.015384617,0.015384613
63,0.015384612,0.015384617,0.015384613
64,0.015384612,0.015384617,0.015384613
