row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.027080698,0.027080698,1,0.017463652,0.017463652,14,0.018882705,0.018882705,1
1,CORREL,statistics,0.027080698,0.027080698,1,0.017463652,0.017463652,14,0.018882705,0.018882705,1
2,LINEARREG,statistics,0.027080698,0.027080698,1,0.017463652,0.017463652,14,0.018882705,0.018882705,1
3,LINEARREG_ANGLE,statistics,0.027080698,0.027080698,1,0.017463652,0.017463652,14,0.018882705,0.018882705,1
4,LINEARREG_INTERCEPT,statistics,0.027080698,0.027080698,1,0.017463652,0.017463652,14,0.018882705,0.018882705,1
5,LINEARREG_SLOPE,statistics,0.027080698,0.027080698,1,0.017463652,0.017463652,14,0.018882705,0.018882705,1
6,STDDEV,statistics,0.027080698,0.027080698,1,0.017463652,0.017463652,14,0.018882705,0.018882705,1
7,TSF,statistics,0.027080698,0.027080698,1,0.017463652,0.017463652,14,0.018882705,0.018882705,1
8,VAR,statistics,0.027080698,0.027080698,1,0.017463652,0.017463652,14,0.018882705,0.018882705,1
9,AVGPRICE,price_transform,0.027080698,0.027080698,1,0.017463652,0.017463652,14,0.018882705,0.018882705,1
10,MEDPRICE,price_transform,0.027080698,0.027080698,1,0.017463652,0.017463652,14,0.018882705,0.018882705,1
11,TYPPRICE,price_transform,0.027080698,0.027080698,1,0.017463652,0.017463652,14,0.018882705,0.018882705,1
12,WCLPRICE,price_transform,0.027080698,0.027080698,1,0.017463652,0.017463652,14,0.018882705,0.018882705,1
13,TRANGE,volatility,0.011960537,0.011960537,40,0.016189532,0.016189532,27,0.01595385,0.01595385,14
14,AD,volume,0.011960537,0.011960537,40,0.016189532,0.016189532,27,0.01595385,0.01595385,14
15,ADOSC,volume,0.011960537,0.011960537,40,0.016189532,0.016189532,27,0.01595385,0.01595385,14
16,OBV,volume,0.011960537,0.011960537,40,0.016189532,0.016189532,27,0.01595385,0.01595385,14
17,ADX,momentum,0.011960537,0.011960537,40,0.016189532,0.016189532,27,0.01595385,0.01595385,14
18,ADXR,momentum,0.011960537,0.011960537,40,0.016189532,0.016189532,27,0.01595385,0.01595385,14
19,APO,momentum,0.011960537,0.011960537,40,0.016189532,0.016189532,27,0.01595385,0.01595385,14
20,AROONUP,momentum,0.011960537,0.011960537,40,0.016189532,0.016189532,27,0.01595385,0.01595385,14
21,AROONDOWN,momentum,0.011960537,0.011960537,40,0.016189532,0.016189532,27,0.01595385,0.01595385,14
22,AROONOSC,momentum,0.011960537,0.011960537,40,0.016189532,0.016189532,27,0.01595385,0.01595385,14
23,BOP,momentum,0.011960537,0.011960537,40,0.016189532,0.016189532,27,0.01595385,0.01595385,14
24,CCI,momentum,0.011960537,0.011960537,40,0.016189532,0.016189532,27,0.01595385,0.01595385,14
25,CMO,momentum,0.011960537,0.011960537,40,0.016189532,0.016189532,27,0.01595385,0.01595385,14
26,DX,momentum,0.017315138,0.017315138,14,0.019964827,0.019964827,1,0.014654701,0.014654701,27
27,FASTD,momentum,0.017315138,0.017315138,14,0.019964827,0.019964827,1,0.014654701,0.014654701,27
28,FASTDRSI,momentum,0.017315138,0.017315138,14,0.019964827,0.019964827,1,0.014654701,0.014654701,27
