row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.027510142,0.027510142,1,0.017790163,0.017790163,14,0.019058589,0.019058589,1
1,CORREL,statistics,0.027510142,0.027510142,1,0.017790163,0.017790163,14,0.019058589,0.019058589,1
2,LINEARREG,statistics,0.027510142,0.027510142,1,0.017790163,0.017790163,14,0.019058589,0.019058589,1
3,LINEARREG_ANGLE,statistics,0.027510142,0.027510142,1,0.017790163,0.017790163,14,0.019058589,0.019058589,1
4,LINEARREG_INTERCEPT,statistics,0.027510142,0.027510142,1,0.017790163,0.017790163,14,0.019058589,0.019058589,1
5,LINEARREG_SLOPE,statistics,0.027510142,0.027510142,1,0.017790163,0.017790163,14,0.019058589,0.019058589,1
6,STDDEV,statistics,0.027510142,0.027510142,1,0.017790163,0.017790163,14,0.019058589,0.019058589,1
7,TSF,statistics,0.027510142,0.027510142,1,0.017790163,0.017790163,14,0.019058589,0.019058589,1
8,VAR,statistics,0.027510142,0.027510142,1,0.017790163,0.017790163,14,0.019058589,0.019058589,1
9,AVGPRICE,price_transform,0.027510142,0.027510142,1,0.017790163,0.017790163,14,0.019058589,0.019058589,1
10,MEDPRICE,price_transform,0.027510142,0.027510142,1,0.017790163,0.017790163,14,0.019058589,0.019058589,1
11,TYPPRICE,price_transform,0.027510142,0.027510142,1,0.017790163,0.017790163,14,0.019058589,0.019058589,1
12,WCLPRICE,price_transform,0.027510142,0.027510142,1,0.017790163,0.017790163,14,0.019058589,0.019058589,1
13,TRANGE,volatility,0.012015494,0.012015494,40,0.016718268,0.016718268,27,0.016034937,0.016034937,14
14,AD,volume,0.012015494,0.012015494,40,0.016718268,0.016718268,27,0.016034937,0.016034937,14
15,ADOSC,volume,0.012015494,0.012015494,40,0.016718268,0.016718268,27,0.016034937,0.016034937,14
16,OBV,volume,0.012015494,0.012015494,40,0.016718268,0.016718268,27,0.016034937,0.016034937,14
17,ADX,momentum,0.012015494,0.012015494,40,0.016718268,0.016718268,27,0.016034937,0.016034937,14
18,ADXR,momentum,0.012015494,0.012015494,40,0.016718268,0.016718268,27,0.016034937,0.016034937,14
19,APO,momentum,0.012015494,0.012015494,40,0.016718268,0.016718268,27,0.016034937,0.016034937,14
20,AROONUP,momentum,0.012015494,0.012015494,40,0.016718268,0.016718268,27,0.016034937,0.016034937,14
21,AROONDOWN,momentum,0.012015494,0.012015494,40,0.016718268,0.016718268,27,0.016034937,0.016034937,14
22,AROONOSC,momentum,0.012015494,0.012015494,40,0.016718268,0.016718268,27,0.016034937,0.016034937,14
23,BOP,momentum,0.012015494,0.012015494,40,0.016718268,0.016718268,27,0.016034937,0.016034937,14
24,CCI,momentum,0.012015494,0.012015494,40,0.016718268,0.016718268,27,0.016034937,0.016034937,14
25,CMO,momentum,0.012015494,0.012015494,40,0.016718268,0.016718268,27,0.016034937,0.016034937,14
26,DX,momentum,0.016789002,0.016789002,14,0.019716209,0.019716209,1,0.014394608,0.014394608,40
27,FASTD,momentum,0.016789002,0.016789002,14,0.019716209,0.019716209,1,0.014394608,0.014394608,40
28,FASTDRSI,momentum,0.016789002,0.016789002,14,0.019716209,0.019716209,1,0.014394608,0.014394608,40
29,FASTK,momentum,0.016789002,0.016789002,14,0.019716209,0.019716209,1,0.014394608,0.014394608,40
30,FASTKRSI,momentum,0.016789002,0.016789002,14,0.019716209,0.019716209,1,0.014394608,0.014394608,40
31,MACD,momentum,0.016789002,0.016789002,14,0.019716209,0.019716209,1,0.014394608,0.014394608,40
32,MACDEXT,momentum,0.016789002,0.016789002,14,0.019716209,0.019716209,1,0.014394608,0.014394608,40
33,MACDFIX,momentum,0.016789002,0.016789002,14,0.019716209,0.019716209,1,0.014394608,0.014394608,40
34,MFI,momentum,0.016789002,0.016789002,14,0.019716209,0.019716209,1,0.014394608,0.014394608,40
35,MINUS_DI,momentum,0.016789002,0.016789002,14,0.019716209,0.019716209,1,0.014394608,0.014394608,40
36,MINUS_DM,momentum,0.016789002,0.016789002,14,0.019716209,0.019716209,1,0.014394608,0.014394608,40
37,MOM,momentum,0.016789002,0.016789002,14,0.019716209,0.019716209,1,0.014394608,0.014394608,40
38,PLUS_DI,momentum,0.016789002,0.016789002,14,0.019716209,0.019716209,1,0.014394608,0.014394608,40
39,PLUS_DM,momentum,0.013213936,0.013213936,27,0.011943397,0.011943397,40,0.0144401435,0.0144401435,27
40,PPO,momentum,0.013213936,0.013213936,27,0.011943397,0.011943397,40,0.0144401435,0.0144401435,27
41,ROC,momentum,0.013213936,0.013213936,27,0.011943397,0.011943397,40,0.0144401435,0.0144401435,27
42,ROCP,momentum,0.013213936,0.013213936,27,0.011943397,0.011943397,40,0.0144401435,0.0144401435,27
43,ROCR,momentum,0.013213936,0.013213936,27,0.011943397,0.011943397,40,0.0144401435,0.0144401435,27
44,ROCR100,momentum,0.013213936,0.013213936,27,0.011943397,0.011943397,40,0.0144401435,0.0144401435,27
45,RSI,momentum,0.013213936,0.013213936,27,0.011943397,0.011943397,40,0.0144401435,0.0144401435,27
46,SLOWD,momentum,0.013213936,0.013213936,27,0.011943397,0.011943397,40,0.0144401435,0.0144401435,27
47,SLOWK,momentum,0.013213936,0.013213936,27,0.011943397,0.011943397,40,0.0144401435,0.0144401435,27
48,TRIX,momentum,0.013213936,0.013213936,27,0.011943397,0.011943397,40,0.0144401435,0.0144401435,27
49,ULTOSC,momentum,0.013213936,0.013213936,27,0.011943397,0.011943397,40,0.0144401435,0.0144401435,27
50,WILLR,momentum,0.013213936,0.013213936,27,0.011943397,0.011943397,40,0.0144401435,0.0144401435,27
51,BBANDSL,overlap,0.013213936,0.013213936,27,0.011943397,0.011943397,40,0.0144401435,0.0144401435,27
52,BBANDSM,overlap,0.007394491,0.007394491,53,0.010755037,0.010755037,53,0.01299479,0.01299479,53
53,BBANDSU,overlap,0.007394491,0.007394491,53,0.010755037,0.010755037,53,0.01299479,0.01299479,53
54,DEMA,overlap,0.007394491,0.007394491,53,0.010755037,0.010755037,53,0.01299479,0.01299479,53
55,EMA,overlap,0.007394491,0.007394491,53,0.010755037,0.010755037,53,0.01299479,0.01299479,53
56,HT_TRENDLINE,overlap,0.007394491,0.007394491,53,0.010755037,0.010755037,53,0.01299479,0.01299479,53
57,KAMA,overlap,0.007394491,0.007394491,53,0.010755037,0.010755037,53,0.01299479,0.01299479,53
58,MA,overlap,0.007394491,0.007394491,53,0.010755037,0.010755037,53,0.01299479,0.01299479,53
59,MIDPOINT,overlap,0.007394491,0.007394491,53,0.010755037,0.010755037,53,0.01299479,0.01299479,53
60,MIDPRICE,overlap,0.007394491,0.007394491,53,0.010755037,0.010755037,53,0.01299479,0.01299479,53
61,SMA,overlap,0.007394491,0.007394491,53,0.010755037,0.010755037,53,0.01299479,0.01299479,53
62,TEMA,overlap,0.007394491,0.007394491,53,0.010755037,0.010755037,53,0.01299479,0.01299479,53
63,TRIMA,overlap,0.007394491,0.007394491,53,0.010755037,0.010755037,53,0.01299479,0.01299479,53
64,WMA,overlap,0.007394491,0.007394491,53,0.010755037,0.010755037,53,0.01299479,0.01299479,53
