row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.022190908,0.008319206,6,0.014588742,0.004216711,39,0.019708019,0.00595486,6
1,CORREL,statistics,0.023488212,-0.0028516338,4,0.014375392,-0.0003741514,46,0.015398283,0.0039034884,25
2,LINEARREG,statistics,0.011203251,-0.0012959203,51,0.014609326,0.0001779833,38,0.013180415,-0.00035686154,57
3,LINEARREG_ANGLE,statistics,0.016085021,0.0021179365,27,0.021161117,0.0003202403,4,0.020188857,-0.0014413653,3
4,LINEARREG_INTERCEPT,statistics,0.010128818,-0.0020567535,57,0.012682257,0.000384206,55,0.013248981,-0.00056142913,53
5,LINEARREG_SLOPE,statistics,0.009322433,-0.00088555354,61,0.010626152,0.0007435856,61,0.013400862,-0.0007609113,51
6,STDDEV,statistics,0.018622003,0.008878742,20,0.012723899,0.000936598,54,0.012457932,0.0034685605,60
7,TSF,statistics,0.010987958,-0.0014084234,52,0.014199915,0.00070424646,47,0.012065382,-0.00012183862,62
8,VAR,statistics,0.009615356,0.0041828416,60,0.008217383,0.00092057145,65,0.009619122,0.002398691,65
9,AVGPRICE,price_transform,0.0136382505,-0.001082783,38,0.0183101,0.0007970373,12,0.014772892,4.1676176e-06,33
10,MEDPRICE,price_transform,0.012023292,-0.0015288049,45,0.012315896,0.00044986067,57,0.013259271,-0.00028657453,52
11,TYPPRICE,price_transform,0.014335367,-0.0015348138,34,0.017386667,-0.00022638621,15,0.01711314,-0.0003386351,19
12,WCLPRICE,price_transform,0.011372243,-0.0016110834,49,0.014156639,0.00015519385,48,0.013710116,-6.5432425e-05,45
13,TRANGE,volatility,0.017997472,0.011669219,23,0.014855707,0.0028901105,36,0.018847413,0.0058800075,12
14,AD,volume,0.018855488,-0.00025493198,17,0.014936069,7.909608e-05,35,0.014610961,0.00057986134,35
15,ADOSC,volume,0.016675208,-0.00037943723,25,0.014425032,0.0009871714,44,0.012083554,0.0005378245,61
16,OBV,volume,0.024915582,-3.1136333e-05,2,0.022395045,0.0011431526,2,0.01984298,0.00060806185,4
17,ADX,momentum,0.014498947,-0.0025901562,33,0.011887531,0.00091839954,59,0.011474869,0.0006008581,63
18,ADXR,momentum,0.0136291785,-0.001958798,39,0.010032679,0.00067824224,64,0.010927514,0.001325144,64
19,APO,momentum,0.010059983,-0.0033947984,58,0.015609208,0.0013628696,24,0.01759247,-0.00044134332,17
20,AROONUP,momentum,0.017869385,-0.0017244268,24,0.016676595,-0.0005886044,16,0.013714798,0.0003796924,44
21,AROONDOWN,momentum,0.0185689,0.0015995107,21,0.015874315,0.00075383275,21,0.016364753,-0.0005628638,21
22,AROONOSC,momentum,0.022047296,-0.0036757619,7,0.022727959,-0.00042977923,1,0.017691433,-0.0006705002,16
23,BOP,momentum,0.019807601,-0.0019936056,14,0.014459893,2.8466411e-05,43,0.01489917,-0.0005315002,30
24,CCI,momentum,0.021628952,0.0030800714,8,0.019305186,0.0012130644,10,0.018860614,0.00052131247,11
25,CMO,momentum,0.015219624,0.00039235462,31,0.015414176,0.00048085756,27,0.0152050825,0.0012447945,26
26,DX,momentum,0.022500843,0.0016185886,5,0.015840784,-0.00046272558,22,0.01800899,-0.00010252799,14
27,FASTD,momentum,0.021240076,0.00013876292,11,0.016162083,2.0571708e-05,19,0.015893133,0.0019988713,22
28,FASTDRSI,momentum,0.019351058,-0.0018502504,15,0.016321594,0.0011478751,18,0.013624147,0.00064509985,46
29,FASTK,momentum,0.02406156,0.0007644743,3,0.021262309,0.0023483494,3,0.0191533,0.0015960259,9
30,FASTKRSI,momentum,0.018213779,-0.0020904487,22,0.014416137,0.0005144982,45,0.014342408,0.00046435342,37
31,MACD,momentum,0.007403274,0.00024648628,65,0.010382626,0.0012664845,63,0.014851453,-0.00023343493,32
32,MACDEXT,momentum,0.010204863,-0.00071902043,56,0.015086159,0.00017375934,33,0.016588157,0.0010095916,20
33,MACDFIX,momentum,0.008675781,-0.0012700558,63,0.014946719,-0.0010047957,34,0.014174559,0.00079897535,40
34,MFI,momentum,0.016405974,-0.0019421369,26,0.013484987,-0.0010927862,51,0.013412013,4.3333886e-05,50
35,MINUS_DI,momentum,0.018660001,0.0026286347,18,0.018703561,0.0023933903,11,0.0150882155,0.0017848946,28
36,MINUS_DM,momentum,0.013901153,0.004125245,36,0.012025626,0.0016604085,58,0.013535223,-0.000799583,49
37,MOM,momentum,0.010848143,0.0017874902,53,0.017435115,0.0011125464,14,0.019585017,5.0418323e-05,7
38,PLUS_DI,momentum,0.015230051,-0.0010525534,30,0.014546103,0.00068620365,41,0.014107763,0.00050263363,42
39,PLUS_DM,momentum,0.021423094,0.014882284,9,0.014584378,0.0030035668,40,0.020564392,0.007499724,1
40,PPO,momentum,0.011672602,0.0010548414,47,0.0154396575,-0.00043232756,26,0.017188424,0.0004555513,18
41,ROC,momentum,0.009776926,0.00024066183,59,0.015220534,0.0010031697,30,0.01406014,0.00056999247,43
