row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.020732265,0.007225205,10,0.015278921,0.0034683598,28,0.019340081,0.005649793,4
1,CORREL,statistics,0.02219176,-0.0021543903,5,0.014835727,-7.769117e-05,37,0.015865292,0.0035035794,23
2,LINEARREG,statistics,0.011621828,-0.0013412744,50,0.014910185,0.00040423358,35,0.01352349,-0.00041126134,51
3,LINEARREG_ANGLE,statistics,0.016946336,0.0016011236,24,0.02111423,0.0005031093,4,0.020087557,-0.001421134,1
4,LINEARREG_INTERCEPT,statistics,0.010679255,-0.0018870423,57,0.012596604,0.0004916675,55,0.013355527,-0.00038014643,52
5,LINEARREG_SLOPE,statistics,0.009546364,-0.0011350998,60,0.010604782,0.00081287907,61,0.013184735,-0.00040410244,54
6,STDDEV,statistics,0.017329467,0.008199976,23,0.012674478,0.0003015664,54,0.0122942,0.0030038187,62
7,TSF,statistics,0.011213796,-0.0014444484,54,0.014002084,0.00052691577,48,0.01229569,3.6261576e-05,61
8,VAR,statistics,0.008862975,0.0034893726,63,0.008217922,0.0004117324,65,0.009152926,0.0018947128,65
9,AVGPRICE,price_transform,0.014220471,-0.001062404,37,0.017946148,0.0005909224,12,0.014953894,0.0003397444,33
10,MEDPRICE,price_transform,0.012600998,-0.0015631784,42,0.012411142,0.00043575594,56,0.013544468,-0.00020532012,49
11,TYPPRICE,price_transform,0.01496247,-0.0014084085,33,0.016840618,-1.6941043e-05,16,0.01747544,-0.00017323013,16
12,WCLPRICE,price_transform,0.011853018,-0.001534901,49,0.013913402,0.00033176233,49,0.014095034,8.206573e-05,41
13,TRANGE,volatility,0.016922494,0.009920677,25,0.014580275,0.0017034395,42,0.018284123,0.004927599,13
14,AD,volume,0.01874751,-0.00032211872,16,0.01508487,0.00028413808,29,0.014966672,0.00071781053,32
15,ADOSC,volume,0.0162772,-0.000117654694,26,0.015295841,0.001062419,27,0.012816119,0.00057210814,59
16,OBV,volume,0.02447195,-0.00014420158,2,0.022708973,0.0011082962,2,0.01995555,0.0007465127,3
17,ADX,momentum,0.014504018,-0.0024652302,35,0.012353068,0.00074651296,57,0.011738682,0.0005029181,63
18,ADXR,momentum,0.013060801,-0.0018976693,41,0.010453767,0.0009610234,62,0.01095509,0.001504051,64
19,APO,momentum,0.010801789,-0.0031277088,56,0.014761978,0.0012053829,39,0.017380143,-0.00043851687,17
20,AROONUP,momentum,0.017462138,-0.0016740033,22,0.01689076,-0.0008627342,15,0.014101417,0.00044802696,40
