row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.058476266,0.03656827,2,0.033847027,0.016630508,1,0.04162508,0.02457159,2
1,CORREL,statistics,0.03736041,-0.008170909,5,0.021098232,-0.0060469713,8,0.029391177,0.016938718,4
2,LINEARREG,statistics,0.00781272,-0.003994399,55,0.0114694005,0.0020723147,49,0.009466867,-0.00021505749,63
3,LINEARREG_ANGLE,statistics,0.017057598,0.008771859,16,0.019983692,-0.0019019075,10,0.015428376,-0.0050126044,24
4,LINEARREG_INTERCEPT,statistics,0.007075371,-0.0030530372,59,0.008038491,0.0020376963,64,0.009062076,-0.0012441471,64
5,LINEARREG_SLOPE,statistics,0.0065830434,-0.0032132752,61,0.009797634,0.0020324844,62,0.0118211005,-0.0007205542,44
6,STDDEV,statistics,0.04098948,0.030804122,4,0.023306476,-0.006591273,5,0.023450287,0.014294562,5
7,TSF,statistics,0.0076445187,-0.0040440075,57,0.014293451,0.004927283,37,0.011616942,0.0026700394,45
8,VAR,statistics,0.020345982,0.019663693,12,0.017368332,-0.0009618124,15,0.015506067,0.0066608936,23
9,AVGPRICE,price_transform,0.009459521,-0.0027761185,46,0.014686229,0.0032051124,34,0.011287348,0.0027549954,49
10,MEDPRICE,price_transform,0.008078465,-0.0046210852,53,0.010578665,0.0033862235,57,0.010809374,0.00044853936,52
11,TYPPRICE,price_transform,0.010295589,-0.0035873922,41,0.013113027,0.00027396582,42,0.0114624705,0.0010257039,46
12,WCLPRICE,price_transform,0.008339159,-0.0046712956,52,0.01148866,0.002350367,48,0.010442369,0.0025895578,55
13,TRANGE,volatility,0.041147564,0.03792285,3,0.026482943,0.007551817,4,0.039847337,0.024705743,3
14,AD,volume,0.0093281455,-0.00048322784,47,0.011534417,0.00031515304,47,0.0106242355,0.003419718,54
15,ADOSC,volume,0.010374646,-0.00096138596,39,0.009996218,0.004387276,60,0.01116611,0.0014402682,50
16,OBV,volume,0.011520766,-0.0002691635,34,0.015247166,0.0051139663,28,0.012693634,0.0034619363,35
17,ADX,momentum,0.010135377,-0.004756844,43,0.009957962,0.0019069358,61,0.009701255,0.0035415317,61
18,ADXR,momentum,0.014079866,-0.004420465,24,0.016371496,0.0011936965,20,0.015003641,0.0069994256,25
19,APO,momentum,0.013304286,-0.0073712333,26,0.01907944,0.008926871,12,0.022875238,0.0034835006,6
20,AROONUP,momentum,0.01054619,-0.003661633,38,0.015180068,-0.0026272044,29,0.011925519,0.0031415785,43
21,AROONDOWN,momentum,0.012701765,0.005957064,27,0.014705495,0.0027891549,33,0.012713543,-0.0033127572,34
22,AROONOSC,momentum,0.015208112,-0.010020843,23,0.014598927,6.080626e-05,35,0.012333556,-0.0004898183,40
23,BOP,momentum,0.00983729,-0.0051774904,45,0.012481877,-0.0014198759,46,0.011371554,-0.0022283099,47
24,CCI,momentum,0.017198471,0.009121182,15,0.016081795,0.0018683312,24,0.014295858,0.0008450177,28
25,CMO,momentum,0.009162956,0.0020707606,48,0.011163391,0.0008204036,51,0.01323292,0.0047969483,32
26,DX,momentum,0.027971659,0.011437083,8,0.017070595,-0.0054758494,16,0.01749431,-0.002792428,13
27,FASTD,momentum,0.01220013,0.0018004191,30,0.012919652,-0.0022905692,43,0.014105189,0.006595545,29
28,FASTDRSI,momentum,0.010108876,-0.0040720613,44,0.011314118,0.0024444005,50,0.010250941,0.0015596306,59
29,FASTK,momentum,0.01609053,0.0025347357,18,0.016810974,0.0074304193,18,0.0135824,0.0071740123,31
30,FASTKRSI,momentum,0.010332745,-0.0054605603,40,0.010937524,0.0013368111,54,0.010093487,0.0014113467,60
31,MACD,momentum,0.006519395,0.00037899282,62,0.01472698,0.0036820117,32,0.01706373,-0.0014494476,16
32,MACDEXT,momentum,0.008062584,-0.0009618622,54,0.0125341555,0.00053885055,45,0.014645405,0.004565172,26
33,MACDFIX,momentum,0.011711317,-0.0028296867,32,0.021977685,-0.002044523,7,0.014425601,0.005403179,27
34,MFI,momentum,0.015370579,-0.003952117,21,0.016232101,-0.0031014746,22,0.012613202,0.0029355793,38
35,MINUS_DI,momentum,0.022650898,0.009532963,10,0.016868632,0.0064470083,17,0.018291209,0.004939265,10
36,MINUS_DM,momentum,0.015389264,0.01193219,20,0.026812179,0.016859602,3,0.020591993,-0.002152427,7
37,MOM,momentum,0.011025415,0.0052089607,36,0.014941066,-0.0009990082,31,0.01600748,-0.0017032864,20
38,PLUS_DI,momentum,0.011240529,-0.00346778,35,0.010761932,0.0009441468,56,0.011312463,0.0037232537,48
39,PLUS_DM,momentum,0.064940624,0.057375956,1,0.032212213,0.008440473,2,0.048644464,0.032350328,1
40,PPO,momentum,0.00903631,0.0037103083,49,0.013578082,-0.00081885385,40,0.01736376,0.0024253887,15
41,ROC,momentum,0.006400787,0.00015361984,63,0.007977325,0.001607244,65,0.009022936,0.0014391469,65
42,ROCP,momentum,0.01351376,0.0059696683,25,0.01953064,0.0006239375,11,0.016482832,0.00273384,19
43,ROCR,momentum,0.0054157437,-0.0017146633,64,0.008335902,-0.003052596,63,0.010325203,0.0025590477,57
44,ROCR100,momentum,0.005367347,-0.000792667,65,0.010298315,0.0016290713,59,0.010366946,-0.00011116418,56
45,RSI,momentum,0.028537622,-0.017028965,6,0.022360476,0.011620029,6,0.017927835,-0.006850409,11
46,SLOWD,momentum,0.012383404,-0.0077517256,29,0.015716871,7.389301e-05,27,0.012242629,0.00369,42
47,SLOWK,momentum,0.016718378,-0.0113784475,17,0.016207645,-0.0059516,23,0.012997646,0.0002458919,33
48,TRIX,momentum,0.015216154,-0.01051326,22,0.017405406,0.0015750919,14,0.019149842,0.004319257,9
49,ULTOSC,momentum,0.015442037,-0.0057947882,19,0.016784757,-0.0016795096,19,0.016870188,-0.0043481276,18
50,WILLR,momentum,0.022742674,0.010393224,9,0.017803907,0.003118232,13,0.017445063,0.0032145039,14
51,BBANDSL,overlap,0.008536968,0.00454149,51,0.01078932,0.0036302127,55,0.015808104,-0.006280221,22
