row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,BETA,statistics,0.057528753,0.036268767,2,0.034875844,0.015871473,1,0.041661426,0.024110872,2
1,CORREL,statistics,0.036177993,-0.0075574736,5,0.020919409,-0.005188595,8,0.029122386,0.015965667,4
2,LINEARREG,statistics,0.007918321,-0.0040847124,56,0.011687866,0.0026861771,47,0.00976057,-0.00015236685,61
3,LINEARREG_ANGLE,statistics,0.01721425,0.007969279,15,0.019888345,-0.001708048,10,0.015777642,-0.0049171983,22
4,LINEARREG_INTERCEPT,statistics,0.007216883,-0.0028424044,60,0.008178872,0.0022959148,64,0.0090668285,-0.0009279815,64
5,LINEARREG_SLOPE,statistics,0.0067883455,-0.0035459944,61,0.0097796805,0.0020102672,62,0.01162367,-0.0003837287,46
6,STDDEV,statistics,0.040084682,0.030997926,3,0.02371545,-0.007394431,5,0.022996038,0.013504847,5
7,TSF,statistics,0.007828674,-0.0041508535,57,0.013576168,0.0039834394,39,0.0116963675,0.0028077923,45
8,VAR,statistics,0.01940285,0.01859463,12,0.01759236,-0.0020113206,15,0.015137184,0.00604147,24
9,AVGPRICE,price_transform,0.009641823,-0.0026725226,46,0.014509524,0.0029508218,34,0.011786993,0.0033358065,44
10,MEDPRICE,price_transform,0.008220935,-0.004656049,54,0.010631073,0.0035054747,57,0.010969381,0.0005981121,52
11,TYPPRICE,price_transform,0.010434713,-0.0034216817,39,0.012796326,0.0006481751,43,0.011457893,0.0012191796,47
12,WCLPRICE,price_transform,0.008610749,-0.004699902,52,0.011203051,0.0024028039,50,0.010464012,0.0028291792,55
13,TRANGE,volatility,0.039800003,0.036239702,4,0.02599595,0.005603718,4,0.039192323,0.022924045,3
14,AD,volume,0.00944729,-0.00056373206,47,0.011586045,0.0008075327,49,0.010880835,0.003759429,53
15,ADOSC,volume,0.010169989,-0.00055266696,42,0.010338667,0.0045523164,59,0.011362752,0.0015754647,49
16,OBV,volume,0.011678476,-0.00019211324,34,0.015280049,0.0050685485,29,0.012857424,0.0037921087,36
17,ADX,momentum,0.010329176,-0.0047189533,41,0.010087687,0.0013883185,61,0.009567703,0.0031586871,62
18,ADXR,momentum,0.013312298,-0.0044635218,26,0.016360963,0.0019902312,21,0.014824417,0.0072433786,25
19,APO,momentum,0.014078198,-0.007080431,24,0.01860798,0.008702356,12,0.022747956,0.003326784,6
20,AROONUP,momentum,0.010714904,-0.0035642649,38,0.015432168,-0.0033094652,28,0.012006306,0.0030987547,43
21,AROONDOWN,momentum,0.012754105,0.0053752125,27,0.015153577,0.002686868,31,0.012846725,-0.0031911442,37
22,AROONOSC,momentum,0.015172426,-0.009165739,23,0.014524983,0.00017977727,33,0.012398983,-0.0006515515,41
23,BOP,momentum,0.009815333,-0.005151613,45,0.012404049,-0.0014838245,46,0.011285787,-0.0017282233,50
24,CCI,momentum,0.016995857,0.008123367,16,0.01621948,0.0015842506,23,0.014258769,0.0008764843,28
25,CMO,momentum,0.009177711,0.0018662163,49,0.011058538,0.0009672984,53,0.013485599,0.004969848,32
26,DX,momentum,0.02835462,0.010910995,7,0.01778023,-0.0056270026,14,0.017751152,-0.0029404701,13
27,FASTD,momentum,0.012219734,0.0013495891,31,0.01307608,-0.0020399885,42,0.013865769,0.005951233,29
28,FASTDRSI,momentum,0.010144716,-0.004092676,43,0.011641971,0.0023387386,48,0.010338537,0.0015909786,57
29,FASTK,momentum,0.016491013,0.0020199681,18,0.016644953,0.0068614148,19,0.013820428,0.0072983294,31
30,FASTKRSI,momentum,0.010771416,-0.0056050066,37,0.011170036,0.0014379646,51,0.0100343665,0.0013184808,60
31,MACD,momentum,0.0064414693,0.0002925014,63,0.01447039,0.0036237517,35,0.016852716,-0.0011082141,16
32,MACDEXT,momentum,0.008534657,-0.00053797907,53,0.012508446,0.00061066763,45,0.014358081,0.0041162297,27
33,MACDFIX,momentum,0.012680901,-0.002389713,28,0.021661263,-0.0024013494,7,0.014536859,0.0054843575,26
34,MFI,momentum,0.015966294,-0.00321096,19,0.016550558,-0.0027503367,20,0.012924045,0.00282173,35
35,MINUS_DI,momentum,0.023140311,0.008969436,9,0.016873185,0.006347708,17,0.018483547,0.0048959376,10
36,MINUS_DM,momentum,0.015518514,0.01217859,22,0.026489176,0.016564485,3,0.020344472,-0.0023696322,7
37,MOM,momentum,0.011363382,0.0045153284,36,0.01465862,-0.00082041236,32,0.015988607,-0.0016618798,20
38,PLUS_DI,momentum,0.011498231,-0.003613961,35,0.010782447,0.00088010734,55,0.0114233205,0.0039581275,48
