column,Hold,Buy,Sell
0,0.013740074,0.013135073,0.0155883115
1,0.017524853,0.015556644,0.015685825
2,0.013514631,0.015117396,0.014452536
3,0.013697114,0.011832316,0.016388126
4,0.012976813,0.014595726,0.013619023
5,0.013858991,0.014402285,0.014160745
6,0.01504484,0.0133947525,0.013072684
7,0.013840596,0.016569924,0.015945418
8,0.01411095,0.013270964,0.01639346
9,0.013654984,0.014868922,0.014561696
10,0.016682133,0.01656304,0.015430343
11,0.01721832,0.01650288,0.0161288
12,0.023111561,0.022258852,0.018830363
13,0.013591819,0.013227833,0.015493431
14,0.017507197,0.015821116,0.015798641
15,0.01365643,0.015330029,0.014708688
16,0.013816089,0.011928721,0.016577993
17,0.0129873585,0.014767396,0.013713922
18,0.013950368,0.014461529,0.014316291
19,0.015137265,0.013591336,0.012983
20,0.013986303,0.016571412,0.015935494
21,0.014116805,0.013169703,0.016455382
22,0.013750908,0.014819613,0.014458972
23,0.01670602,0.01661001,0.015254869
24,0.017379101,0.016481115,0.01595839
25,0.023389328,0.022391219,0.018545039
26,0.013393417,0.013213916,0.0155139165
27,0.017162457,0.015879251,0.015612603
28,0.013500886,0.01546739,0.01443205
29,0.013538844,0.011948034,0.016295014
30,0.012864336,0.0147235505,0.0134725245
31,0.013864422,0.014431605,0.0140557755
32,0.015068885,0.013583223,0.012857635
33,0.013958689,0.016561192,0.015864015
34,0.014149945,0.013184575,0.016204147
35,0.013795564,0.014855141,0.01417197
36,0.016898256,0.016591318,0.015217061
37,0.017346645,0.016355129,0.015889809
38,0.023511082,0.022113448,0.018583614
39,0.013642395,0.01336613,0.015736237
40,0.01738087,0.015881823,0.015740251
41,0.013541843,0.015466736,0.014821768
42,0.013696174,0.011993514,0.016697092
43,0.012995242,0.014944482,0.013632237
44,0.013878368,0.014662901,0.014294733
45,0.014936391,0.01377122,0.012951116
46,0.013838542,0.016894128,0.015836196
47,0.014300999,0.013481953,0.016361943
48,0.013854271,0.014942383,0.014371836
49,0.0167568,0.016614286,0.015392124
50,0.017487261,0.016525175,0.01598915
51,0.023492018,0.022167401,0.01859094
52,0.013734964,0.013586969,0.016014261
53,0.017565196,0.016094496,0.015818676
54,0.013693539,0.015788803,0.014910346
55,0.013793849,0.012180825,0.016646665
56,0.013145545,0.015022125,0.013701724
57,0.01408845,0.014843831,0.014282158
58,0.015135751,0.01402243,0.012975783
59,0.013925171,0.017042853,0.015887065
60,0.014402687,0.013525842,0.016423194
61,0.014240371,0.015191222,0.014502919
62,0.016943138,0.01683016,0.015390962
63,0.017660229,0.016673397,0.015893124
64,0.02386565,0.022337344,0.01850991
