fold,test_year,seed,n,accuracy,balanced_accuracy,macro_f1,majority_class_accuracy,precision_Hold,recall_Hold,f1_Hold,support_Hold,predicted_Hold,precision_Buy,recall_Buy,f1_Buy,support_Buy,predicted_Buy,precision_Sell,recall_Sell,f1_Sell,support_Sell,predicted_Sell
0,2013,0,10449,0.6408268733850129,0.8631889763779528,0.5206324526791309,0.8751076658053403,1.0,0.5895669291338582,0.7417956656346749,9144,5391,0.2520032051282051,1.0,0.40256,629,2496,0.26385636221701797,1.0,0.4175416924027177,676,2562
1,2014,0,10180,0.6410609037328094,0.8632536207477265,0.5245521881660985,0.8749508840864441,1.0,0.5897608622431795,0.7419491525423729,8907,5253,0.30004732607666823,1.0,0.46159446669093557,634,2113,0.22707889125799574,1.0,0.37011294526498695,639,2814
2,2015,0,10286,0.6508846976472876,0.8667186282151208,0.5306737447446342,0.8731285242076608,1.0,0.6001558846453624,0.7501217730150999,8981,5390,0.26990049751243783,1.0,0.4250734573947111,651,2412,0.2632850241545894,1.0,0.4168260038240918,654,2484
3,2016,0,10363,0.6477853903309853,0.8656804298226245,0.5274337309759313,0.8740712148991605,1.0,0.5970412894678737,0.7476842250794967,9058,5408,0.27242105263157895,1.0,0.42819324950363996,647,2375,0.25503875968992246,1.0,0.4064237183446572,658,2580
4,2017,0,10449,0.650492870131113,0.8668999198192289,0.5327267672569072,0.8752990716815007,1.0,0.6006997594576864,0.7505464480874317,9146,5494,0.31573849878934623,1.0,0.4799411115200589,652,2065,0.22525951557093427,1.0,0.3676927421632307,651,2890
5,2018,0,10352,0.6500193199381762,0.8664233307524979,0.5297143185523511,0.8733578052550232,1.0,0.5992699922574937,0.7494294211217927,9041,5418,0.2613085621970921,1.0,0.4143451809157861,647,2476,0.2701383238405207,1.0,0.42536835361947467,664,2458
6,2019,0,10191,0.6520459228731234,0.8674590715407042,0.5296724243561968,0.8750858600726131,1.0,0.6023772146221126,0.7518544436668999,8918,5372,0.2805567638103523,1.0,0.438179347826087,645,2299,0.2492063492063492,1.0,0.39898348157560354,628,2520
7,2020,0,10535,0.6470811580446132,0.866046980832973,0.5238249598229824,0.8782154722354057,1.0,0.5981409424989191,0.7485459218179359,9252,5534,0.2874493927125506,1.0,0.44654088050314467,639,2223,0.2318214542836573,1.0,0.37638807714786676,644,2778
8,2021,0,10438,0.6465798045602605,0.866063972697237,0.5229931363805029,0.8795746311553938,1.0,0.5981919180917111,0.7485858379336195,9181,5492,0.2966417910447761,1.0,0.45755395683453237,636,2144,0.22162740899357602,1.0,0.3628396143733567,621,2802
9,2022,0,10427,0.6324925673731658,0.8605835698173615,0.5124710435906029,0.8786803490936991,1.0,0.5817507094520847,0.7355782500690036,9162,5330,0.27653880463871544,1.0,0.4332634521313767,620,2242,0.22591943957968477,1.0,0.36857142857142855,645,2855
10,2023,0,10320,0.630717054263566,0.860233982469652,0.512893696025666,0.880717054263566,1.0,0.5807019474089559,0.7347393331941254,9089,5278,0.3001478560867422,1.0,0.46171341925701287,609,2029,0.20643876535014935,1.0,0.3422283356258597,622,3013
11,2024,0,10341,0.6406537085388261,0.8627211939857401,0.5248763030294247,0.8725461754182381,1.0,0.5881635819572204,0.7406838799720865,9023,5307,0.2852774137177807,1.0,0.44391570360299115,653,2289,0.24225865209471767,1.0,0.39002932551319647,665,2745
12,2025,0,9976,0.6533680834001604,0.8676616915422887,0.5327986717753956,0.8730954290296712,1.0,0.6029850746268657,0.7523277467411545,8710,5252,0.27755819060166886,1.0,0.43451357854932965,632,2277,0.25909276665304454,1.0,0.4115546900357027,634,2447
