fold,test_year,seed,n,accuracy,balanced_accuracy,macro_f1,majority_class_accuracy,precision_Hold,recall_Hold,f1_Hold,support_Hold,predicted_Hold,precision_Buy,recall_Buy,f1_Buy,support_Buy,predicted_Buy,precision_Sell,recall_Sell,f1_Sell,support_Sell,predicted_Sell
0,2013,0,10449,0.5672313140013399,0.8150190500637645,0.4632944038586299,0.8751076658053403,0.9912858660998938,0.510061242344707,0.6735504368546466,9144,4705,0.2143618912193388,0.958664546899841,0.35037768739105174,629,2813,0.22517911975435004,0.9763313609467456,0.3659550873301913,676,2931
1,2014,0,10180,0.5795677799607073,0.821811306674629,0.47437694876936476,0.8749508840864441,0.9921293341842161,0.5236330975637139,0.6854791299235744,8907,4701,0.25102880658436216,0.9621451104100947,0.3981723237597911,634,2430,0.20531321744834372,0.9796557120500783,0.33947939262472887,639,3049
2,2015,0,10286,0.5964417655065137,0.8127860920905254,0.4828816897435885,0.8731285242076608,0.9859154929577465,0.5455962587685113,0.7024586051179127,8981,4970,0.22977465829331364,0.9554531490015361,0.3704586063132817,651,2707,0.23495592180912228,0.9373088685015291,0.37572785779957096,654,2609
3,2016,0,10363,0.5565955804303773,0.8123503536703577,0.45819861838524495,0.8740712148991605,0.9914115833516847,0.49701920953852946,0.6621075079049931,9058,4541,0.23048327137546468,0.9582689335394127,0.37159124962541207,647,2690,0.2062579821200511,0.9817629179331308,0.3408970976253298,658,3132
4,2017,0,10449,0.5849363575461767,0.8143772004588872,0.47657412716244885,0.8752990716815007,0.9882233502538071,0.5321452000874699,0.6917774145405444,9146,4925,0.2593369702056232,0.9478527607361963,0.4072487644151565,652,2383,0.19961795606494748,0.9631336405529954,0.33069620253164556,651,3141
5,2018,0,10352,0.5315880989180835,0.8042262228241825,0.4417666469691386,0.8733578052550232,0.9917898193760263,0.4676473841389227,0.6355983162958508,9041,4263,0.20063897763578276,0.9706336939721792,0.33253905215779717,647,3130,0.21865495099695842,0.9743975903614458,0.3571625724537676,664,2959
6,2019,0,10191,0.576390933176332,0.8148556716643379,0.4697946975067106,0.8750858600726131,0.9895722494147691,0.521417358152052,0.6829698171403393,8918,4699,0.2424361493123772,0.9565891472868217,0.386833855799373,645,2545,0.20597217509331522,0.9665605095541401,0.33958041958041957,628,2947
7,2020,0,10535,0.5176079734219269,0.7974998969045638,0.43105867856190755,0.8782154722354057,0.9912879679773958,0.45503674881106787,0.6237499074005481,9252,4247,0.23501945525291829,0.945226917057903,0.3764412589591773,639,2570,0.17186659494351803,0.9922360248447205,0.29298486932599727,644,3718
8,2021,0,10438,0.5627514849588043,0.8184959019324521,0.4586089320066364,0.8795746311553938,0.9931638538773766,0.5063718549177649,0.6707545808685615,9181,4681,0.24245985115550334,0.9732704402515723,0.38820947005330825,636,2553,0.1891385767790262,0.9758454106280193,0.3168627450980392,621,3204
9,2022,0,10427,0.5612352546274096,0.8179074865856827,0.4571960403712208,0.8786803490936991,0.9931197591915717,0.5041475660336171,0.6687902700354739,9162,4651,0.22742600224803297,0.9790322580645161,0.36910915171784736,620,2669,0.20148052784036047,0.9705426356589147,0.3336886993603412,645,3107
10,2023,0,10320,0.5929263565891473,0.8171888016785815,0.4762746780300373,0.880717054263566,0.9886045581767293,0.5440642534932336,0.7018664395713576,9089,5002,0.2567032967032967,0.9589490968801314,0.40499306518723993,609,2275,0.1938876109102859,0.9485530546623794,0.3219645293315143,622,3043
11,2024,0,10341,0.56648293201818,0.820318712243883,0.4678688747269733,0.8725461754182381,0.9934782608695653,0.5064834312312978,0.6709241723555751,9023,4600,0.24166666666666667,0.9770290964777948,0.38748861220771336,653,2640,0.20960980328926151,0.9774436090225563,0.34519383961763145,665,3101
12,2025,0,9976,0.5908179631114675,0.8115566972988626,0.4792654322220926,0.8730954290296712,0.9861344537815127,0.5389207807118255,0.6969561989606533,8710,4760,0.23644933228593873,0.9525316455696202,0.3788546255506608,632,2546,0.22397003745318353,0.943217665615142,0.3619854721549637,634,2670
