row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,SMA_10,overlap,0.0015894955,0.0015894955,71,0.0008731267,0.0008731267,81,0.0009414956,0.0009414956,81
1,SMA_20,overlap,0.0015894955,0.0015894955,71,0.0008731267,0.0008731267,81,0.0009414956,0.0009414956,81
2,SMA_50,overlap,0.0015894955,0.0015894955,71,0.0008731267,0.0008731267,81,0.0009414956,0.0009414956,81
3,EMA_10,overlap,0.0015894955,0.0015894955,71,0.0008731267,0.0008731267,81,0.0009414956,0.0009414956,81
4,EMA_20,overlap,0.0015894955,0.0015894955,71,0.0008731267,0.0008731267,81,0.0009414956,0.0009414956,81
5,EMA_50,overlap,0.0015894955,0.0015894955,71,0.0008731267,0.0008731267,81,0.0009414956,0.0009414956,81
6,WMA_20,overlap,0.0015894955,0.0015894955,71,0.0008731267,0.0008731267,81,0.0009414956,0.0009414956,81
7,DEMA_20,overlap,0.0015894955,0.0015894955,71,0.0008731267,0.0008731267,81,0.0009414956,0.0009414956,81
8,TEMA_20,overlap,0.0015894955,0.0015894955,71,0.0008731267,0.0008731267,81,0.0009414956,0.0009414956,81
9,TRIMA_20,overlap,0.0015894955,0.0015894955,71,0.0008731267,0.0008731267,81,0.0009414956,0.0009414956,81
10,KAMA_20,overlap,0.04661206,0.04661206,1,0.06302612,0.06302612,1,0.056613453,0.056613453,1
11,MIDPOINT_14,overlap,0.04661206,0.04661206,1,0.06302612,0.06302612,1,0.056613453,0.056613453,1
12,MIDPRICE_14,overlap,0.04661206,0.04661206,1,0.06302612,0.06302612,1,0.056613453,0.056613453,1
13,BB_UPPER_20,overlap,0.04661206,0.04661206,1,0.06302612,0.06302612,1,0.056613453,0.056613453,1
14,BB_MIDDLE_20,overlap,0.04661206,0.04661206,1,0.06302612,0.06302612,1,0.056613453,0.056613453,1
15,BB_LOWER_20,overlap,0.04661206,0.04661206,1,0.06302612,0.06302612,1,0.056613453,0.056613453,1
16,HT_TRENDLINE,overlap,0.04661206,0.04661206,1,0.06302612,0.06302612,1,0.056613453,0.056613453,1
17,SAR,overlap,0.04661206,0.04661206,1,0.06302612,0.06302612,1,0.056613453,0.056613453,1
18,RSI_7,momentum,0.04661206,0.04661206,1,0.06302612,0.06302612,1,0.056613453,0.056613453,1
19,RSI_14,momentum,0.04661206,0.04661206,1,0.06302612,0.06302612,1,0.056613453,0.056613453,1
20,RSI_21,momentum,0.0045907153,0.0045907153,31,0.0031357363,0.0031357363,31,0.002820009,0.002820009,31
21,ROC_5,momentum,0.0045907153,0.0045907153,31,0.0031357363,0.0031357363,31,0.002820009,0.002820009,31
22,ROC_10,momentum,0.0045907153,0.0045907153,31,0.0031357363,0.0031357363,31,0.002820009,0.002820009,31
23,ROC_20,momentum,0.0045907153,0.0045907153,31,0.0031357363,0.0031357363,31,0.002820009,0.002820009,31
24,MOM_5,momentum,0.0045907153,0.0045907153,31,0.0031357363,0.0031357363,31,0.002820009,0.002820009,31
25,MOM_10,momentum,0.0045907153,0.0045907153,31,0.0031357363,0.0031357363,31,0.002820009,0.002820009,31
26,MOM_20,momentum,0.0045907153,0.0045907153,31,0.0031357363,0.0031357363,31,0.002820009,0.002820009,31
27,CMO_14,momentum,0.0045907153,0.0045907153,31,0.0031357363,0.0031357363,31,0.002820009,0.002820009,31
28,CMO_28,momentum,0.0045907153,0.0045907153,31,0.0031357363,0.0031357363,31,0.002820009,0.002820009,31
29,WILLR_14,momentum,0.0045907153,0.0045907153,31,0.0031357363,0.0031357363,31,0.002820009,0.002820009,31
30,WILLR_28,momentum,0.001277482,0.001277482,81,0.0009420111,0.0009420111,71,0.00194702,0.00194702,51
31,CCI_14,momentum,0.001277482,0.001277482,81,0.0009420111,0.0009420111,71,0.00194702,0.00194702,51
