row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,SMA_10,overlap,0.0015723052,0.0015723052,71,0.0008338876,0.0008338876,71,0.0011244733,0.0011244733,81
1,SMA_20,overlap,0.0015723052,0.0015723052,71,0.0008338876,0.0008338876,71,0.0011244733,0.0011244733,81
2,SMA_50,overlap,0.0015723052,0.0015723052,71,0.0008338876,0.0008338876,71,0.0011244733,0.0011244733,81
3,EMA_10,overlap,0.0015723052,0.0015723052,71,0.0008338876,0.0008338876,71,0.0011244733,0.0011244733,81
4,EMA_20,overlap,0.0015723052,0.0015723052,71,0.0008338876,0.0008338876,71,0.0011244733,0.0011244733,81
5,EMA_50,overlap,0.0015723052,0.0015723052,71,0.0008338876,0.0008338876,71,0.0011244733,0.0011244733,81
6,WMA_20,overlap,0.0015723052,0.0015723052,71,0.0008338876,0.0008338876,71,0.0011244733,0.0011244733,81
7,DEMA_20,overlap,0.0015723052,0.0015723052,71,0.0008338876,0.0008338876,71,0.0011244733,0.0011244733,81
8,TEMA_20,overlap,0.0015723052,0.0015723052,71,0.0008338876,0.0008338876,71,0.0011244733,0.0011244733,81
9,TRIMA_20,overlap,0.0015723052,0.0015723052,71,0.0008338876,0.0008338876,71,0.0011244733,0.0011244733,81
10,KAMA_20,overlap,0.046686657,0.046686657,1,0.06283517,0.06283517,1,0.05627073,0.05627073,1
11,MIDPOINT_14,overlap,0.046686657,0.046686657,1,0.06283517,0.06283517,1,0.05627073,0.05627073,1
12,MIDPRICE_14,overlap,0.046686657,0.046686657,1,0.06283517,0.06283517,1,0.05627073,0.05627073,1
13,BB_UPPER_20,overlap,0.046686657,0.046686657,1,0.06283517,0.06283517,1,0.05627073,0.05627073,1
14,BB_MIDDLE_20,overlap,0.046686657,0.046686657,1,0.06283517,0.06283517,1,0.05627073,0.05627073,1
15,BB_LOWER_20,overlap,0.046686657,0.046686657,1,0.06283517,0.06283517,1,0.05627073,0.05627073,1
16,HT_TRENDLINE,overlap,0.046686657,0.046686657,1,0.06283517,0.06283517,1,0.05627073,0.05627073,1
17,SAR,overlap,0.046686657,0.046686657,1,0.06283517,0.06283517,1,0.05627073,0.05627073,1
18,RSI_7,momentum,0.046686657,0.046686657,1,0.06283517,0.06283517,1,0.05627073,0.05627073,1
19,RSI_14,momentum,0.046686657,0.046686657,1,0.06283517,0.06283517,1,0.05627073,0.05627073,1
20,RSI_21,momentum,0.004623721,0.004623721,31,0.0040692617,0.0040692617,31,0.0029005783,0.0029005783,31
21,ROC_5,momentum,0.004623721,0.004623721,31,0.0040692617,0.0040692617,31,0.0029005783,0.0029005783,31
22,ROC_10,momentum,0.004623721,0.004623721,31,0.0040692617,0.0040692617,31,0.0029005783,0.0029005783,31
23,ROC_20,momentum,0.004623721,0.004623721,31,0.0040692617,0.0040692617,31,0.0029005783,0.0029005783,31
24,MOM_5,momentum,0.004623721,0.004623721,31,0.0040692617,0.0040692617,31,0.0029005783,0.0029005783,31
25,MOM_10,momentum,0.004623721,0.004623721,31,0.0040692617,0.0040692617,31,0.0029005783,0.0029005783,31
26,MOM_20,momentum,0.004623721,0.004623721,31,0.0040692617,0.0040692617,31,0.0029005783,0.0029005783,31
27,CMO_14,momentum,0.004623721,0.004623721,31,0.0040692617,0.0040692617,31,0.0029005783,0.0029005783,31
