row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,SMA_10,overlap,0.002748474,0.002748474,61,0.00088434323,0.00088434323,81,0.00089172245,0.00089172245,81
1,SMA_20,overlap,0.002748474,0.002748474,61,0.00088434323,0.00088434323,81,0.00089172245,0.00089172245,81
2,SMA_50,overlap,0.002748474,0.002748474,61,0.00088434323,0.00088434323,81,0.00089172245,0.00089172245,81
3,EMA_10,overlap,0.002748474,0.002748474,61,0.00088434323,0.00088434323,81,0.00089172245,0.00089172245,81
4,EMA_20,overlap,0.002748474,0.002748474,61,0.00088434323,0.00088434323,81,0.00089172245,0.00089172245,81
5,EMA_50,overlap,0.002748474,0.002748474,61,0.00088434323,0.00088434323,81,0.00089172245,0.00089172245,81
6,WMA_20,overlap,0.002748474,0.002748474,61,0.00088434323,0.00088434323,81,0.00089172245,0.00089172245,81
7,DEMA_20,overlap,0.002748474,0.002748474,61,0.00088434323,0.00088434323,81,0.00089172245,0.00089172245,81
8,TEMA_20,overlap,0.002748474,0.002748474,61,0.00088434323,0.00088434323,81,0.00089172245,0.00089172245,81
9,TRIMA_20,overlap,0.002748474,0.002748474,61,0.00088434323,0.00088434323,81,0.00089172245,0.00089172245,81
10,KAMA_20,overlap,0.041582953,0.041582953,1,0.06308071,0.06308071,1,0.056706715,0.056706715,1
11,MIDPOINT_14,overlap,0.041582953,0.041582953,1,0.06308071,0.06308071,1,0.056706715,0.056706715,1
12,MIDPRICE_14,overlap,0.041582953,0.041582953,1,0.06308071,0.06308071,1,0.056706715,0.056706715,1
13,BB_UPPER_20,overlap,0.041582953,0.041582953,1,0.06308071,0.06308071,1,0.056706715,0.056706715,1
14,BB_MIDDLE_20,overlap,0.041582953,0.041582953,1,0.06308071,0.06308071,1,0.056706715,0.056706715,1
15,BB_LOWER_20,overlap,0.041582953,0.041582953,1,0.06308071,0.06308071,1,0.056706715,0.056706715,1
16,HT_TRENDLINE,overlap,0.041582953,0.041582953,1,0.06308071,0.06308071,1,0.056706715,0.056706715,1
17,SAR,overlap,0.041582953,0.041582953,1,0.06308071,0.06308071,1,0.056706715,0.056706715,1
18,RSI_7,momentum,0.041582953,0.041582953,1,0.06308071,0.06308071,1,0.056706715,0.056706715,1
19,RSI_14,momentum,0.041582953,0.041582953,1,0.06308071,0.06308071,1,0.056706715,0.056706715,1
20,RSI_21,momentum,0.0023654583,0.0023654583,71,0.0028688826,0.0028688826,31,0.0027980926,0.0027980926,31
21,ROC_5,momentum,0.0023654583,0.0023654583,71,0.0028688826,0.0028688826,31,0.0027980926,0.0027980926,31
22,ROC_10,momentum,0.0023654583,0.0023654583,71,0.0028688826,0.0028688826,31,0.0027980926,0.0027980926,31
23,ROC_20,momentum,0.0023654583,0.0023654583,71,0.0028688826,0.0028688826,31,0.0027980926,0.0027980926,31
24,MOM_5,momentum,0.0023654583,0.0023654583,71,0.0028688826,0.0028688826,31,0.0027980926,0.0027980926,31
25,MOM_10,momentum,0.0023654583,0.0023654583,71,0.0028688826,0.0028688826,31,0.0027980926,0.0027980926,31
26,MOM_20,momentum,0.0023654583,0.0023654583,71,0.0028688826,0.0028688826,31,0.0027980926,0.0027980926,31
27,CMO_14,momentum,0.0023654583,0.0023654583,71,0.0028688826,0.0028688826,31,0.0027980926,0.0027980926,31
28,CMO_28,momentum,0.0023654583,0.0023654583,71,0.0028688826,0.0028688826,31,0.0027980926,0.0027980926,31
29,WILLR_14,momentum,0.0023654583,0.0023654583,71,0.0028688826,0.0028688826,31,0.0027980926,0.0027980926,31
30,WILLR_28,momentum,0.0028431853,0.0028431853,41,0.0009635346,0.0009635346,71,0.0020252645,0.0020252645,41
31,CCI_14,momentum,0.0028431853,0.0028431853,41,0.0009635346,0.0009635346,71,0.0020252645,0.0020252645,41
32,CCI_20,momentum,0.0028431853,0.0028431853,41,0.0009635346,0.0009635346,71,0.0020252645,0.0020252645,41
33,MACD,momentum,0.0028431853,0.0028431853,41,0.0009635346,0.0009635346,71,0.0020252645,0.0020252645,41
34,MACD_SIGNAL,momentum,0.0028431853,0.0028431853,41,0.0009635346,0.0009635346,71,0.0020252645,0.0020252645,41
35,MACD_HIST,momentum,0.0028431853,0.0028431853,41,0.0009635346,0.0009635346,71,0.0020252645,0.0020252645,41
36,PPO,momentum,0.0028431853,0.0028431853,41,0.0009635346,0.0009635346,71,0.0020252645,0.0020252645,41
37,APO,momentum,0.0028431853,0.0028431853,41,0.0009635346,0.0009635346,71,0.0020252645,0.0020252645,41
38,ADX_14,momentum,0.0028431853,0.0028431853,41,0.0009635346,0.0009635346,71,0.0020252645,0.0020252645,41
39,ADXR_14,momentum,0.0028431853,0.0028431853,41,0.0009635346,0.0009635346,71,0.0020252645,0.0020252645,41
40,DX_14,momentum,0.0059359036,0.0059359036,21,0.005258693,0.005258693,21,0.006048349,0.006048349,21
41,PLUS_DI_14,momentum,0.0059359036,0.0059359036,21,0.005258693,0.005258693,21,0.006048349,0.006048349,21
42,MINUS_DI_14,momentum,0.0059359036,0.0059359036,21,0.005258693,0.005258693,21,0.006048349,0.006048349,21
43,AROON_DOWN_14,momentum,0.0059359036,0.0059359036,21,0.005258693,0.005258693,21,0.006048349,0.006048349,21
44,AROON_UP_14,momentum,0.0059359036,0.0059359036,21,0.005258693,0.005258693,21,0.006048349,0.006048349,21
45,AROONOSC_14,momentum,0.0059359036,0.0059359036,21,0.005258693,0.005258693,21,0.006048349,0.006048349,21
46,STOCH_K,momentum,0.0059359036,0.0059359036,21,0.005258693,0.005258693,21,0.006048349,0.006048349,21
47,STOCH_D,momentum,0.0059359036,0.0059359036,21,0.005258693,0.005258693,21,0.006048349,0.006048349,21
48,STOCHF_K,momentum,0.0059359036,0.0059359036,21,0.005258693,0.005258693,21,0.006048349,0.006048349,21
49,STOCHF_D,momentum,0.0059359036,0.0059359036,21,0.005258693,0.005258693,21,0.006048349,0.006048349,21
50,STOCHRSI_K,momentum,0.036103655,0.036103655,11,0.022790676,0.022790676,11,0.026355896,0.026355896,11
51,STOCHRSI_D,momentum,0.036103655,0.036103655,11,0.022790676,0.022790676,11,0.026355896,0.026355896,11
52,MFI_14,momentum,0.036103655,0.036103655,11,0.022790676,0.022790676,11,0.026355896,0.026355896,11
53,TRIX_15,momentum,0.036103655,0.036103655,11,0.022790676,0.022790676,11,0.026355896,0.026355896,11
54,ULTOSC,momentum,0.036103655,0.036103655,11,0.022790676,0.022790676,11,0.026355896,0.026355896,11
55,BOP,momentum,0.036103655,0.036103655,11,0.022790676,0.022790676,11,0.026355896,0.026355896,11
56,OBV,volume,0.036103655,0.036103655,11,0.022790676,0.022790676,11,0.026355896,0.026355896,11
57,AD,volume,0.036103655,0.036103655,11,0.022790676,0.022790676,11,0.026355896,0.026355896,11
58,ADOSC_3_10,volume,0.036103655,0.036103655,11,0.022790676,0.022790676,11,0.026355896,0.026355896,11
59,ADOSC_5_20,volume,0.036103655,0.036103655,11,0.022790676,0.022790676,11,0.026355896,0.026355896,11
60,VOL_RATIO_20,volume,0.002754633,0.002754633,51,0.0010398395,0.0010398395,61,0.0016022045,0.0016022045,71
61,MFI_28,volume,0.002754633,0.002754633,51,0.0010398395,0.0010398395,61,0.0016022045,0.0016022045,71
62,ATR_14,volatility,0.002754633,0.002754633,51,0.0010398395,0.0010398395,61,0.0016022045,0.0016022045,71
63,ATR_28,volatility,0.002754633,0.002754633,51,0.0010398395,0.0010398395,61,0.0016022045,0.0016022045,71
64,NATR_14,volatility,0.002754633,0.002754633,51,0.0010398395,0.0010398395,61,0.0016022045,0.0016022045,71
65,NATR_28,volatility,0.002754633,0.002754633,51,0.0010398395,0.0010398395,61,0.0016022045,0.0016022045,71
66,TRANGE,volatility,0.002754633,0.002754633,51,0.0010398395,0.0010398395,61,0.0016022045,0.0016022045,71
67,RET_STD_10,volatility,0.002754633,0.002754633,51,0.0010398395,0.0010398395,61,0.0016022045,0.0016022045,71
68,RET_STD_20,volatility,0.002754633,0.002754633,51,0.0010398395,0.0010398395,61,0.0016022045,0.0016022045,71
69,BB_WIDTH_20,volatility,0.002754633,0.002754633,51,0.0010398395,0.0010398395,61,0.0016022045,0.0016022045,71
