row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,SMA_10,overlap,0.0035712004,6.958633e-05,82,0.002870399,-2.194029e-05,82,0.0029731172,-2.6146805e-05,83
1,SMA_20,overlap,0.00344217,4.127929e-05,84,0.0026374233,-2.6008056e-05,86,0.0028692174,5.574446e-06,85
2,SMA_50,overlap,0.0040294644,3.2628617e-05,74,0.0035253689,-4.9600367e-05,74,0.003588328,-0.00010640694,68
3,EMA_10,overlap,0.0045490284,3.3884673e-05,65,0.0038488172,9.78026e-05,66,0.0039596935,-0.00014161663,63
4,EMA_20,overlap,0.0034657829,3.2717664e-05,83,0.002867931,7.6032265e-06,83,0.0029864633,-9.310147e-05,81
5,EMA_50,overlap,0.0031904452,2.8562547e-05,86,0.0025862532,6.6575667e-06,87,0.0027809993,-2.6872789e-05,87
6,WMA_20,overlap,0.003963938,0.000102918304,77,0.0032523328,5.638628e-06,79,0.0031131424,-0.00012545596,77
7,DEMA_20,overlap,0.0030421491,8.9476336e-05,88,0.0024421578,-2.8140534e-05,88,0.0026781217,2.9785306e-05,88
8,TEMA_20,overlap,0.0065125288,0.00021069733,41,0.0058915745,0.00019859047,40,0.0060783057,0.0002528583,37
9,TRIMA_20,overlap,0.0047253137,0.00011380045,63,0.0042025703,9.6266616e-05,61,0.0039474154,2.1532127e-05,64
10,KAMA_20,overlap,0.02447815,0.0011480666,11,0.023922216,0.0016357966,13,0.02246709,0.0020171981,15
11,MIDPOINT_14,overlap,0.021427633,0.0019228829,17,0.019921167,-0.0011639432,19,0.018233052,-0.0007886045,20
12,MIDPRICE_14,overlap,0.029307151,-0.0013766119,5,0.03158304,0.0053569116,7,0.03163209,0.0061694,7
13,BB_UPPER_20,overlap,0.028938636,-0.00030709547,7,0.028212883,0.002783454,9,0.031362265,0.0051752687,8
14,BB_MIDDLE_20,overlap,0.025904566,0.001525771,10,0.02534001,0.0034467618,12,0.02762635,0.0036078203,10
15,BB_LOWER_20,overlap,0.026677035,0.0020480133,9,0.026292536,-0.0017329426,10,0.021025242,-0.00064460695,18
16,HT_TRENDLINE,overlap,0.024473157,-0.00018018472,12,0.022411965,0.0019541509,15,0.022697294,0.002393653,14
17,SAR,overlap,0.022310369,0.0012588415,15,0.021445945,-3.9068284e-05,17,0.020698948,0.0005660441,19
18,RSI_7,momentum,0.07051015,-0.008071247,1,0.08834923,0.03425008,1,0.08646308,0.033760622,1
19,RSI_14,momentum,0.053927507,-0.0013389649,2,0.057246834,0.009234276,2,0.0567094,0.010749923,2
20,RSI_21,momentum,0.007285194,-0.00028261368,36,0.0060467445,2.5739711e-05,39,0.0055577676,0.00016726532,38
21,ROC_5,momentum,0.0060239118,-0.00019130198,46,0.0047894553,0.0003787501,52,0.0047773654,0.00023154862,47
22,ROC_10,momentum,0.0063398182,2.8590512e-06,43,0.0050650095,-4.7485468e-05,46,0.005127486,-0.0001403542,43
23,ROC_20,momentum,0.006914779,0.0001576156,38,0.005576782,-1.26036175e-05,42,0.005527402,-0.00016376938,39
24,MOM_5,momentum,0.0059713805,0.0005962829,47,0.0046363138,-0.00015122836,54,0.004614378,-0.00048642472,49
25,MOM_10,momentum,0.0051723216,4.9079477e-05,57,0.0041132476,2.3151551e-05,63,0.0040229317,7.4656135e-05,62
26,MOM_20,momentum,0.005839384,-0.00013344662,49,0.004659576,0.00013052493,53,0.0044831987,0.00021726682,52
27,CMO_14,momentum,0.006090155,0.0002802467,45,0.0049598855,-6.3399784e-06,49,0.0049720425,-7.353289e-05,45
28,CMO_28,momentum,0.011706721,-0.00081096817,24,0.009441549,0.00041969522,24,0.009678235,0.00093505764,24
29,WILLR_14,momentum,0.011094675,-0.00073793356,26,0.0093412725,0.00037861132,25,0.008608748,0.0006616416,29
30,WILLR_28,momentum,0.005013406,1.8333605e-05,59,0.0044522877,3.4100052e-05,59,0.0042048953,7.683231e-05,57
31,CCI_14,momentum,0.004949143,2.5314112e-05,60,0.004155242,2.5781163e-05,62,0.0042368285,4.5647215e-05,56
32,CCI_20,momentum,0.0057690116,9.0095156e-05,50,0.0049983906,0.00013958703,48,0.005082442,1.74585e-05,44
33,MACD,momentum,0.0043401937,0.0001188109,68,0.003760589,4.026105e-05,69,0.0040280074,-0.000102061094,61
34,MACD_SIGNAL,momentum,0.0033106022,3.0323661e-05,85,0.0028171688,-9.395916e-06,84,0.0030474025,-2.4595822e-05,79
35,MACD_HIST,momentum,0.0031619428,2.7922556e-06,87,0.0026578892,-6.986818e-05,85,0.0027911332,5.842636e-05,86
36,PPO,momentum,0.0039685452,2.0935142e-05,76,0.0033894915,-9.232709e-06,76,0.003276109,2.8290286e-05,74
37,APO,momentum,0.002627905,2.4303985e-05,89,0.002190828,5.540956e-05,89,0.0025357462,-3.2109253e-06,89
38,ADX_14,momentum,0.008660116,1.2902987e-05,34,0.0073636686,-1.7060518e-05,34,0.0076629748,0.00015782335,34
39,ADXR_14,momentum,0.0064812014,1.43094185e-05,42,0.005771823,-6.1458945e-06,41,0.005382064,5.5537967e-06,40
40,DX_14,momentum,0.010047337,-0.00023249479,29,0.008261795,-0.0002622832,31,0.008468886,0.0004602492,30
41,PLUS_DI_14,momentum,0.009550781,-0.00023234083,32,0.007825037,0.00028670413,32,0.008370192,0.00083190046,31
42,MINUS_DI_14,momentum,0.010193629,-8.109832e-05,28,0.008956544,0.000362517,28,0.008902006,0.0006258678,27
43,AROON_DOWN_14,momentum,0.012694005,0.000115328,23,0.011424246,-0.00045276512,23,0.010915758,0.0006618359,23
44,AROON_UP_14,momentum,0.01087862,0.00044960988,27,0.008768948,-0.00038784527,29,0.009172486,-0.0005251792,26
45,AROONOSC_14,momentum,0.010045023,0.00012306674,30,0.008579453,-0.0002089214,30,0.008796245,3.4677476e-05,28
46,STOCH_K,momentum,0.011234918,0.0001433015,25,0.009181213,-0.0009040497,26,0.009487447,0.00081827986,25
47,STOCH_D,momentum,0.008712657,0.00023395373,33,0.0074203424,-0.00037642097,33,0.0076689525,0.00021681907,33
48,STOCHF_K,momentum,0.016305735,-0.00075262034,21,0.015496567,0.00302497,21,0.015374887,0.0029907986,21
49,STOCHF_D,momentum,0.013106989,-3.0143536e-05,22,0.011490142,0.00035401416,22,0.011105478,0.00089008803,22
50,STOCHRSI_K,momentum,0.029650465,-0.002694359,4,0.039597604,0.01822945,4,0.042926833,0.016173866,4
51,STOCHRSI_D,momentum,0.027518328,-0.0009428628,8,0.03615259,0.015660757,5,0.037250478,0.011749498,5
52,MFI_14,momentum,0.021061087,0.00089186267,18,0.022201382,0.0006015923,16,0.021740738,-0.0008541881,16
53,TRIX_15,momentum,0.018855346,-0.00041415571,19,0.02102724,0.0010991049,18,0.023355393,-0.00036339276,13
54,ULTOSC,momentum,0.022031605,0.0024904646,16,0.022437563,-0.0013549167,14,0.025274599,-0.0025732033,12
55,BOP,momentum,0.023572348,0.0027647982,14,0.028256558,0.0023577914,8,0.02648482,-9.554415e-05,11
56,OBV,volume,0.03112683,0.003001376,3,0.039682783,0.015261289,3,0.043078348,0.014263257,3
57,AD,volume,0.018224819,0.0017526915,20,0.019420046,-0.002288944,20,0.021694614,-0.0036214413,17
58,ADOSC_3_10,volume,0.028960032,-0.0028077525,6,0.0337079,0.009393975,6,0.03392785,0.0062962095,6
59,ADOSC_5_20,volume,0.024221595,-0.0006756759,13,0.025662161,0.001902768,11,0.028727738,0.0011893746,9
60,VOL_RATIO_20,volume,0.0038950555,0.0002063465,79,0.0033240186,-5.401973e-05,77,0.003056033,5.740707e-05,78
61,MFI_28,volume,0.0052536125,0.00028749733,56,0.004499931,-0.00023685533,57,0.0041806726,3.4851197e-05,59
62,ATR_14,volatility,0.004834355,0.00011036799,62,0.0042309873,-0.00018892801,60,0.004126768,1.4464283e-05,60
63,ATR_28,volatility,0.005746115,8.2843035e-05,51,0.00495135,-0.00013895979,50,0.0048333528,3.4519435e-05,46
64,NATR_14,volatility,0.004223472,-0.0005264445,71,0.003571986,0.00048010953,71,0.0035537425,4.930161e-05,69
65,NATR_28,volatility,0.004210849,0.00028476553,72,0.003520945,-0.0002548199,75,0.003546204,-3.541939e-05,70
66,TRANGE,volatility,0.0039823907,0.00031851482,75,0.0031902688,-0.00023353905,80,0.0029857643,-4.1967352e-05,82
67,RET_STD_10,volatility,0.0037827252,1.2378077e-06,80,0.0031295484,-9.648033e-06,81,0.003253606,8.108647e-05,75
68,RET_STD_20,volatility,0.007838686,0.000295335,35,0.0068760496,-0.0002948522,35,0.006762615,-8.228646e-05,35
69,BB_WIDTH_20,volatility,0.005600817,-8.188525e-05,52,0.005080507,4.2658794e-05,44,0.004424771,4.537459e-05,53
70,AVGPRICE,price_transform,0.004364766,0.00012901948,67,0.00377886,-3.030862e-05,68,0.0033332417,-0.000108805856,72
71,MEDPRICE,price_transform,0.004241786,0.00018132152,69,0.0035591763,-0.00025919694,72,0.0033020917,-3.6293946e-05,73
72,TYPPRICE,price_transform,0.0045037526,2.520383e-05,66,0.0038353147,7.7253455e-05,67,0.0036159165,-0.000102179416,67
73,WCLPRICE,price_transform,0.00525476,4.1658255e-05,55,0.0045248875,0.00011722834,56,0.0041952888,-0.00013444021,58
74,BETA_20,statistics,0.0058456324,0.00023272664,48,0.005003154,-0.0002408298,47,0.0045335973,-5.6647164e-05,51
75,CORREL_20,statistics,0.006101315,0.00025026794,44,0.0050750417,4.30169e-06,45,0.0046286075,-0.00030153454,48
76,LINEARREG_14,statistics,0.0051302896,4.2218482e-05,58,0.004460137,0.000105096944,58,0.004271389,0.00013317807,55
77,LINEARREG_ANGLE_14,statistics,0.0046485895,0.0002365443,64,0.0039014553,-1.3866622e-05,65,0.003851476,-7.683204e-06,66
78,LINEARREG_SLOPE_14,statistics,0.0071472186,9.550407e-06,37,0.006133796,5.064161e-05,38,0.006096969,1.2129396e-05,36
79,LINEARREG_INTERCEPT_14,statistics,0.005499815,0.00024704798,54,0.0049441503,8.829045e-05,51,0.004579108,-9.678154e-05,50
80,TSF_14,statistics,0.004232389,0.0001474472,70,0.004017611,-1.7112146e-05,64,0.003457077,-8.813844e-05,71
81,STDDEV_14,statistics,0.003903667,0.00014012106,78,0.0035370842,-4.7072415e-05,73,0.0030436232,8.278315e-06,80
82,VAR_14,statistics,0.0016172185,2.6726675e-05,90,0.0014842917,-2.6282945e-05,90,0.0013489894,1.3317546e-05,90
83,HT_DCPERIOD,statistics,0.006522251,0.000105990184,40,0.006306378,2.5547677e-05,37,0.005226281,-9.8869394e-05,41
84,HT_DCPHASE,statistics,0.0055196276,0.0004224432,53,0.005206678,-0.0002461392,43,0.004402543,-0.00014534262,54
