row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,SMA_10,overlap,0.0035690675,6.5393244e-05,82,0.0029857291,-1.2896755e-05,83,0.0029130408,-5.6655805e-05,81
1,SMA_20,overlap,0.0034487066,4.0658924e-05,84,0.0027355787,-6.712112e-05,86,0.0027515437,-6.643204e-06,85
2,SMA_50,overlap,0.0040490474,3.347276e-05,74,0.003760007,-5.2372492e-05,71,0.0033372655,-0.00012898952,71
3,EMA_10,overlap,0.0045617786,3.5029687e-05,65,0.0039918963,9.04034e-05,67,0.0038358588,-0.00017370292,64
4,EMA_20,overlap,0.0034759352,3.144935e-05,83,0.0029686112,5.2843097e-05,84,0.0028438598,-0.00016111892,84
5,EMA_50,overlap,0.0032018346,2.6491503e-05,86,0.0027917924,5.0036848e-05,85,0.0026501103,-5.426507e-05,87
6,WMA_20,overlap,0.003976096,0.00010390611,77,0.0033753468,-2.697748e-05,77,0.0030297465,-0.00015130956,77
7,DEMA_20,overlap,0.0030412576,8.780925e-05,88,0.0025025622,1.0699416e-05,88,0.0025930868,4.2369255e-05,88
8,TEMA_20,overlap,0.006539805,0.00020978999,41,0.0060824007,0.0002703973,41,0.0058805067,0.0002498231,36
9,TRIMA_20,overlap,0.0047438946,0.000119282624,63,0.004440353,0.00012694958,59,0.003790608,1.8145613e-05,65
10,KAMA_20,overlap,0.024249902,0.0011332375,13,0.02255772,0.0019795338,14,0.021091523,0.0024035568,17
11,MIDPOINT_14,overlap,0.02128679,0.0019238745,17,0.019588167,-0.0010400539,20,0.017494269,-0.000974159,20
12,MIDPRICE_14,overlap,0.029089214,-0.0013323863,5,0.030353565,0.005233684,7,0.031919155,0.006157634,7
13,BB_UPPER_20,overlap,0.028814647,-0.00027206412,7,0.026382545,0.003049973,9,0.030120991,0.0051976414,8
14,BB_MIDDLE_20,overlap,0.025743937,0.0015609137,10,0.024075408,0.004304125,12,0.026910435,0.0045053996,11
15,BB_LOWER_20,overlap,0.026435185,0.0020251824,9,0.02482991,-0.0017336567,11,0.020087563,-0.00085478206,19
16,HT_TRENDLINE,overlap,0.024462402,-0.00021382398,11,0.020598697,0.0018008135,17,0.02183962,0.0030650673,16
17,SAR,overlap,0.02218362,0.0012057333,15,0.02109214,0.0004895956,16,0.021078698,0.00033078273,18
18,RSI_7,momentum,0.070265025,-0.0078656785,1,0.08804841,0.036973882,1,0.08906052,0.037117187,1
19,RSI_14,momentum,0.053700384,-0.001272693,2,0.053206086,0.010052543,2,0.056454398,0.01166125,2
20,RSI_21,momentum,0.007321561,-0.00028775493,36,0.0062866234,3.358369e-05,38,0.0055006053,0.00017763625,38
21,ROC_5,momentum,0.006042838,-0.00018809678,46,0.004844859,0.00030358197,52,0.0048388136,0.00035835317,46
22,ROC_10,momentum,0.0063674846,4.9355003e-06,43,0.0051809484,-5.2457504e-05,44,0.0051597883,-0.00019368649,42
23,ROC_20,momentum,0.006949257,0.00015798795,38,0.00567978,4.5586035e-05,42,0.0054060556,-7.239425e-05,39
24,MOM_5,momentum,0.0060017323,0.0006006035,47,0.0046923123,-4.74842e-05,54,0.004597828,-0.00053166575,48
25,MOM_10,momentum,0.005186882,4.3102227e-05,57,0.004228733,-0.00013500015,62,0.0040083816,1.9660001e-05,61
26,MOM_20,momentum,0.0058679855,-0.00012971634,48,0.0047541843,0.00014894054,53,0.0044100247,0.00024628383,50
27,CMO_14,momentum,0.0061230883,0.00028081637,45,0.0051293853,2.9632516e-05,46,0.004903812,-0.00017609875,45
28,CMO_28,momentum,0.011788966,-0.00082370534,24,0.009760089,0.0003672528,25,0.0096772425,0.0009499682,24
29,WILLR_14,momentum,0.01114495,-0.0007581817,26,0.00979806,0.00036334744,24,0.008669675,0.000827634,27
30,WILLR_28,momentum,0.0050273906,1.8491482e-05,59,0.0044566067,4.2702926e-05,58,0.0041332087,0.00011003863,58
31,CCI_14,momentum,0.004963595,2.3917011e-05,60,0.0041443272,4.30148e-05,63,0.0041531846,-2.8288283e-05,56
32,CCI_20,momentum,0.0057957494,8.9466914e-05,50,0.005079343,0.00018948097,50,0.00494425,-5.288641e-05,44
33,MACD,momentum,0.004358974,0.00012418903,68,0.0039493013,9.179603e-07,68,0.0038508202,-5.278304e-05,63
34,MACD_SIGNAL,momentum,0.0033242947,3.1646734e-05,85,0.0030004324,-4.0699037e-05,82,0.0028802473,8.635496e-06,83
35,MACD_HIST,momentum,0.0031652732,-1.714579e-06,87,0.0026763487,-7.849787e-05,87,0.002676834,3.9492876e-05,86
36,PPO,momentum,0.0039844094,2.238893e-05,76,0.003428357,7.723847e-05,76,0.0031996935,6.424684e-05,75
37,APO,momentum,0.0026334422,2.4725574e-05,89,0.0022274442,2.677135e-05,89,0.0024235381,-4.8065347e-05,89
