row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,SMA_10,overlap,0.0037149764,0.0003522891,71,0.0028374312,-2.4525443e-05,83,0.002989459,-1.784792e-05,83
1,SMA_20,overlap,0.0030014513,8.310446e-05,81,0.0026093659,-1.4255689e-05,86,0.0029012265,8.897805e-06,85
2,SMA_50,overlap,0.0027091417,-2.42841e-05,86,0.0034582962,-4.8807975e-05,75,0.0036566209,-0.00010026411,67
3,EMA_10,overlap,0.0036894074,-4.331165e-05,72,0.003807918,9.9917685e-05,67,0.003993379,-0.00013288873,63
4,EMA_20,overlap,0.002781307,0.00011822924,85,0.0028391513,-5.3288422e-06,82,0.003025253,-7.459965e-05,81
5,EMA_50,overlap,0.00242254,0.00016819489,87,0.0025274984,-5.7426178e-06,87,0.0028166026,-1.9421677e-05,87
6,WMA_20,overlap,0.003144251,3.632005e-05,78,0.003217169,1.4962105e-05,79,0.0031358274,-0.00011842337,76
7,DEMA_20,overlap,0.0031022537,0.00020187351,79,0.0024248909,-3.924311e-05,88,0.0027012527,2.6362297e-05,88
8,TEMA_20,overlap,0.0046735676,0.0002718721,43,0.005837025,0.00017806434,40,0.0061321096,0.000253684,37
9,TRIMA_20,overlap,0.0034725764,-0.00025581248,75,0.0041345977,8.749594e-05,62,0.00399007,2.2453198e-05,64
10,KAMA_20,overlap,0.039867014,0.0021477952,5,0.024312265,0.0015375398,13,0.022841264,0.0019121012,15
11,MIDPOINT_14,overlap,0.030923463,0.0018560537,9,0.020016357,-0.0011993536,19,0.01843401,-0.00073812786,20
12,MIDPRICE_14,overlap,0.0440002,-0.004358343,3,0.031934496,0.0053921435,7,0.03155399,0.006172603,8
13,BB_UPPER_20,overlap,0.037298307,-0.0026689395,6,0.028736092,0.0027072658,8,0.0316999,0.00516919,7
14,BB_MIDDLE_20,overlap,0.036734294,-0.00084349327,8,0.025701497,0.0032016803,11,0.027821086,0.0033636615,10
15,BB_LOWER_20,overlap,0.04298276,0.0035873167,4,0.02671064,-0.0017327386,10,0.021280304,-0.00058743526,18
16,HT_TRENDLINE,overlap,0.025198087,0.0020878268,13,0.022930304,0.001997985,14,0.022930592,0.002211024,14
17,SAR,overlap,0.03085602,0.004839463,10,0.021547087,-0.00019019074,17,0.020595644,0.0006300382,19
18,RSI_7,momentum,0.08703659,-0.021930918,1,0.08843523,0.033471476,1,0.08575655,0.03284757,1
19,RSI_14,momentum,0.069240615,-0.005807053,2,0.058401912,0.009000361,2,0.05677876,0.010502012,2
20,RSI_21,momentum,0.004833303,6.4015054e-05,40,0.0059781736,2.3497265e-05,39,0.005573317,0.00016444434,38
21,ROC_5,momentum,0.0047478727,-0.0004073992,42,0.0047736177,0.00040023727,52,0.004760651,0.00019705552,47
22,ROC_10,momentum,0.004474526,-0.00013713886,46,0.005031868,-4.6064168e-05,46,0.0051187,-0.00012584697,44
23,ROC_20,momentum,0.0045902254,0.00013250786,44,0.0055473405,-2.9237373e-05,42,0.0055604097,-0.00018862466,39
24,MOM_5,momentum,0.0039250148,0.00030498052,61,0.0046203053,-0.00018088438,55,0.0046188803,-0.00047411837,50
25,MOM_10,momentum,0.0041907,0.0004520748,54,0.0040802355,6.8360125e-05,63,0.0040268903,8.96159e-05,62
26,MOM_20,momentum,0.003911064,-0.00038494705,63,0.0046325317,0.00012526079,53,0.004503104,0.0002093738,52
27,CMO_14,momentum,0.0038697086,0.0002418408,66,0.004911433,-1.6623206e-05,50,0.0049906024,-4.563326e-05,45
28,CMO_28,momentum,0.0061616907,4.7786198e-05,32,0.009350494,0.0004346862,24,0.009678505,0.0009310021,24
29,WILLR_14,momentum,0.0077050542,0.00062721747,29,0.009210698,0.00038297483,25,0.008592173,0.0006164896,29
30,WILLR_28,momentum,0.0040705116,7.687166e-06,57,0.004451053,3.1640862e-05,58,0.0042243944,6.779967e-05,57
31,CCI_14,momentum,0.0039747683,0.00011950943,59,0.0041583623,2.085489e-05,61,0.0042595817,6.575876e-05,56
32,CCI_20,momentum,0.003966264,0.0001324535,60,0.0049752505,0.00012532463,48,0.005120032,3.659341e-05,43
33,MACD,momentum,0.0030739885,-0.00024378815,80,0.0037066445,5.1507544e-05,69,0.0040762057,-0.000115465504,61
34,MACD_SIGNAL,momentum,0.0023874398,-5.887898e-05,88,0.0027647815,-4.4777426e-07,84,0.0030928713,-3.3635268e-05,77
35,MACD_HIST,momentum,0.0029374093,0.000306647,82,0.0026526127,-6.740137e-05,85,0.0028222245,6.3576554e-05,86
36,PPO,momentum,0.0028989615,-7.708052e-05,84,0.003378382,-3.395096e-05,76,0.0032968952,1.8509538e-05,74
37,APO,momentum,0.002254567,-4.1204403e-06,89,0.0021803612,6.359594e-05,89,0.002566269,8.990186e-06,89
38,ADX_14,momentum,0.005961646,2.9907504e-05,33,0.007242747,-4.727114e-05,34,0.007726457,0.00020281151,34
39,ADXR_14,momentum,0.004432366,-0.00015269825,47,0.005671559,6.159542e-06,41,0.00541534,2.323179e-05,40
40,DX_14,momentum,0.008560193,0.00080253126,25,0.008289887,-0.00026037762,31,0.00856161,0.00049853954,30
41,PLUS_DI_14,momentum,0.008972866,-4.0393847e-05,23,0.007865574,0.0002894259,32,0.008488418,0.000805254,31
42,MINUS_DI_14,momentum,0.007819288,-0.00035176365,28,0.008988593,0.00031197874,27,0.008971611,0.00056705135,27
43,AROON_DOWN_14,momentum,0.008902455,-0.0004496136,24,0.011438997,-0.000601251,23,0.011025567,0.0006847229,23
44,AROON_UP_14,momentum,0.008098948,4.874292e-05,26,0.008802846,-0.0004202664,29,0.009246686,-0.00049619324,26
45,AROONOSC_14,momentum,0.0075111357,0.00027421443,30,0.008570803,-0.00024098378,30,0.0088476315,4.0302693e-05,28
46,STOCH_K,momentum,0.0080724275,-0.0002598879,27,0.0092017995,-0.00087970984,26,0.009495652,0.00078615115,25
47,STOCH_D,momentum,0.00682577,-0.0003675608,31,0.007468814,-0.00033975847,33,0.007731009,0.0002590337,33
48,STOCHF_K,momentum,0.01236321,-0.0016901258,21,0.015352525,0.0029787833,21,0.015343858,0.0028969133,21
49,STOCHF_D,momentum,0.009048532,0.0010134662,22,0.011464742,0.00043429108,22,0.0111357905,0.0008404873,22
50,STOCHRSI_K,momentum,0.03719129,-0.0118150385,7,0.03918695,0.017992757,3,0.04228905,0.015837427,4
51,STOCHRSI_D,momentum,0.02695401,-0.0041460358,11,0.035558194,0.015151548,5,0.036753997,0.0112367375,5
52,MFI_14,momentum,0.017555485,0.0014780937,19,0.022150032,0.00047878874,16,0.021497414,-0.00076113525,16
53,TRIX_15,momentum,0.018419184,-0.0010160157,18,0.021414991,0.0012055254,18,0.023206316,-0.0003643224,13
54,ULTOSC,momentum,0.020039294,-2.5237736e-05,16,0.022248339,-0.001295587,15,0.025290309,-0.0024125031,12
