row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,SMA_10,overlap,0.003761482,0.00040081402,74,0.005141012,0.0006797334,73,0.005540279,0.0007733419,72
1,SMA_20,overlap,0.0034920895,0.00011359492,76,0.0050930213,0.00066314737,74,0.0047960132,0.00085733016,82
2,SMA_50,overlap,0.0025996412,4.0008454e-05,87,0.0041408,0.0010201307,85,0.004049779,-0.0010727257,88
3,EMA_10,overlap,0.004345352,-4.7840367e-06,66,0.0061075133,0.0022374096,61,0.005589312,-0.0006888823,71
4,EMA_20,overlap,0.0032754834,0.0005480628,80,0.0046910103,0.0003477511,79,0.0049917772,-0.00038750118,79
5,EMA_50,overlap,0.0032012346,0.00038925672,82,0.0043789973,4.6940644e-05,80,0.0050840606,-0.0001782315,76
6,WMA_20,overlap,0.003675441,0.00017336106,75,0.0052018743,0.0011355404,72,0.006105725,-0.00033227526,65
7,DEMA_20,overlap,0.0034209464,0.0009095762,78,0.004280298,-0.00088538404,83,0.0046218736,0.00034472256,85
8,TEMA_20,overlap,0.006522179,0.0018931793,41,0.008013925,0.0004455163,36,0.0077572064,0.0019724641,42
9,TRIMA_20,overlap,0.0034479334,0.00021001491,77,0.0047928523,0.00071454776,77,0.0050652027,0.0010242601,78
10,KAMA_20,overlap,0.026254967,0.013653501,11,0.017472956,0.0065933047,13,0.015391967,0.0036996487,13
11,MIDPOINT_14,overlap,0.03384695,0.020692447,5,0.023401966,0.00649089,7,0.015895007,0.0032405604,12
12,MIDPRICE_14,overlap,0.024045631,0.0038818142,13,0.019138388,0.013700198,11,0.01525575,0.010280718,14
13,BB_UPPER_20,overlap,0.021431768,0.0066205226,15,0.016165461,0.009126734,15,0.012698072,0.008702703,19
14,BB_MIDDLE_20,overlap,0.034568395,0.022303952,4,0.019608475,0.011458043,10,0.013791515,0.0037251075,17
15,BB_LOWER_20,overlap,0.04238357,0.029581312,3,0.020645268,0.0036305373,9,0.017908452,0.0034334974,11
16,HT_TRENDLINE,overlap,0.022992572,0.0058180466,14,0.027052829,0.016040063,6,0.020432169,0.011759383,7
17,SAR,overlap,0.031647872,0.020317249,7,0.018186657,0.00694768,12,0.012727825,0.00087412295,18
18,RSI_7,momentum,0.04554643,0.002801936,2,0.15811397,0.15537596,1,0.12771763,0.12565513,1
19,RSI_14,momentum,0.029373143,0.005565295,9,0.032064278,0.02308665,3,0.02135105,0.014303876,5
20,RSI_21,momentum,0.0061822664,-0.00029821653,42,0.0068792384,0.0020321482,47,0.00860107,0.0026820216,35
21,ROC_5,momentum,0.0070429505,0.0008594305,36,0.0070045986,0.0026867262,42,0.0071521765,0.0019177452,49
22,ROC_10,momentum,0.0052002566,0.0009913706,52,0.0052071027,0.0008659012,71,0.0051795105,-0.0009502321,75
23,ROC_20,momentum,0.0056070806,0.0016227349,48,0.0052489922,-0.00039645826,70,0.005883558,-0.0004327257,68
24,MOM_5,momentum,0.008316166,0.0043755346,31,0.006603699,-0.0014864835,49,0.0064698197,-0.00091876613,58
25,MOM_10,momentum,0.006670375,0.001770488,39,0.006411346,-0.0003099803,55,0.0063050142,0.0014882077,61
26,MOM_20,momentum,0.005796675,0.0005454993,46,0.006347903,0.0022246246,56,0.0066053052,0.0020318716,55
27,CMO_14,momentum,0.008191834,0.0040779975,33,0.0066021956,-0.0022468546,50,0.0073651806,-0.00030673743,44
28,CMO_28,momentum,0.008714265,-0.0022360631,29,0.010408485,0.0050377543,22,0.010539086,0.0051155575,23
29,WILLR_14,momentum,0.010741751,-0.0026240877,21,0.012539409,0.0059031267,19,0.011686153,0.0048358785,22
30,WILLR_28,momentum,0.004118788,-0.00046926513,70,0.005726968,0.00041211557,67,0.0060792454,0.0010071232,66
31,CCI_14,momentum,0.0044957194,-0.0006019396,63,0.006519163,0.0010291352,52,0.0071413945,0.0018440363,50
32,CCI_20,momentum,0.003975993,0.0004898488,72,0.0053430717,0.0009643643,69,0.005389778,0.0005845688,74
33,MACD,momentum,0.0028832674,0.0006850307,85,0.004003418,0.0008356967,87,0.0042927205,1.1241073e-06,86
34,MACD_SIGNAL,momentum,0.002594292,0.0002514728,88,0.0033555974,-3.0058782e-05,88,0.0040944293,-0.00018928059,87
35,MACD_HIST,momentum,0.0031351142,0.00023909706,83,0.0043126317,5.08412e-05,81,0.0046350984,0.0017171215,84
36,PPO,momentum,0.0028574076,-0.00034635328,86,0.0042806217,-4.4838613e-05,82,0.0050764293,0.0016368588,77
37,APO,momentum,0.0024850245,0.00029827486,89,0.003237342,0.000497616,89,0.0039360425,0.00053880137,89
38,ADX_14,momentum,0.0047749933,-7.0829294e-05,61,0.005998472,0.0004658593,63,0.0067897676,0.0011161036,52
39,ADXR_14,momentum,0.0034000822,8.42303e-06,79,0.0048733326,0.000477624,76,0.004718492,0.0011580917,83
40,DX_14,momentum,0.008999518,0.0009946504,28,0.008108784,0.0006426376,35,0.00950902,0.0021495519,28
41,PLUS_DI_14,momentum,0.008589137,0.00049530604,30,0.008797125,0.0015769261,28,0.009540341,0.0032536003,27
42,MINUS_DI_14,momentum,0.0073730415,0.0012547561,35,0.006929647,5.4229225e-05,44,0.007169002,0.0003603772,47
43,AROON_DOWN_14,momentum,0.009541093,0.0025363183,23,0.008684307,-0.00038746113,29,0.009269607,0.0012477576,31
44,AROON_UP_14,momentum,0.009830919,0.0027424733,22,0.008373581,-0.0006033856,33,0.009871986,0.00046886998,25
