row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,SMA_10,overlap,0.0037620612,0.00036174414,74,0.0062682335,0.0002046201,61,0.0057248706,0.0008325284,70
1,SMA_20,overlap,0.003511508,9.9941404e-05,76,0.0056935637,0.00012529,74,0.005384607,0.000541941,77
2,SMA_50,overlap,0.0026083994,3.1092404e-05,87,0.0044680554,0.0011745117,85,0.00445161,-0.0015856372,85
3,EMA_10,overlap,0.0043521384,1.4393818e-06,65,0.006735391,0.0023178156,57,0.0062599746,-0.00037262918,64
4,EMA_20,overlap,0.0032639306,0.0005135285,81,0.0051463135,0.0009553536,78,0.005642322,-0.00055985595,71
5,EMA_50,overlap,0.00321575,0.0003811233,82,0.005288205,0.00032721515,75,0.0051920703,5.767553e-05,79
6,WMA_20,overlap,0.0036662759,0.00016507211,75,0.006031979,0.00092265056,69,0.0065946477,-0.0006609163,56
7,DEMA_20,overlap,0.0034093475,0.0008932745,78,0.004731014,-0.0005098023,82,0.005498221,0.00082836475,74
8,TEMA_20,overlap,0.006497745,0.0019615875,41,0.00866867,0.0014019402,30,0.009483146,0.002467299,29
9,TRIMA_20,overlap,0.003426616,0.00022906672,77,0.005196737,0.0015300912,77,0.0054310593,0.0012091488,76
10,KAMA_20,overlap,0.026198799,0.013839701,11,0.01561166,0.00526746,13,0.013073633,0.00029589602,14
11,MIDPOINT_14,overlap,0.033828426,0.020986224,6,0.023979746,0.005172345,7,0.01603504,0.00423597,11
12,MIDPRICE_14,overlap,0.023985785,0.0041692373,13,0.01754384,0.011798354,12,0.012899414,0.0066051865,16
13,BB_UPPER_20,overlap,0.021145424,0.006641606,15,0.013641782,0.007828675,18,0.011120637,0.00673891,19
14,BB_MIDDLE_20,overlap,0.034674704,0.022538522,4,0.020824617,0.013066081,9,0.012020369,0.0024631366,17
15,BB_LOWER_20,overlap,0.04240608,0.029694226,3,0.018765377,0.0005107949,10,0.014124409,0.0019657703,13
16,HT_TRENDLINE,overlap,0.022780411,0.0058837705,14,0.024588257,0.0131488815,6,0.0191668,0.010458122,9
17,SAR,overlap,0.031387024,0.020151645,7,0.018066484,0.008799023,11,0.0108718015,3.840192e-05,21
18,RSI_7,momentum,0.04532231,0.0034061542,2,0.14659533,0.1427565,1,0.14151467,0.13971752,1
19,RSI_14,momentum,0.029185709,0.005946793,9,0.028403442,0.018956866,4,0.01979166,0.013907676,6
20,RSI_21,momentum,0.0061820354,-0.00028067894,42,0.0071847066,0.0019771862,48,0.008946936,0.0026319604,34
21,ROC_5,momentum,0.0070594545,0.00085616676,36,0.007144962,0.0027174274,50,0.0073063425,0.0019055359,48
22,ROC_10,momentum,0.005216681,0.0010185627,52,0.005764842,0.0011327789,72,0.0049950755,-0.0010338036,81
23,ROC_20,momentum,0.0056059607,0.0016243145,48,0.005834662,0.00015852657,71,0.005626144,-0.0006613341,73
24,MOM_5,momentum,0.008333531,0.0044076205,31,0.007373244,-0.0020140219,42,0.0064263423,-0.0010291542,60
25,MOM_10,momentum,0.006679842,0.0017332641,39,0.0062529338,-0.0011976442,62,0.005754342,0.0011198558,69
26,MOM_20,momentum,0.0057988237,0.00057317514,45,0.0071341265,0.0028605897,51,0.0068694507,0.0023688616,51
27,CMO_14,momentum,0.008237648,0.0041048266,33,0.0072954097,-0.0021437379,45,0.007439651,-0.0011548012,45
28,CMO_28,momentum,0.008757338,-0.0022303604,29,0.01056471,0.0050962768,22,0.010982118,0.005586963,20
29,WILLR_14,momentum,0.010757889,-0.0026379796,21,0.014186127,0.0076276995,16,0.010835866,0.0038588902,22
30,WILLR_28,momentum,0.004114898,-0.00048179607,70,0.006228795,-0.00010888854,65,0.00647123,0.0008119954,59
31,CCI_14,momentum,0.0044999253,-0.00062012667,63,0.006747752,0.00089895906,56,0.00683787,0.0020425173,52
32,CCI_20,momentum,0.0039994502,0.00049673876,72,0.005986536,0.0016185822,70,0.005629602,9.206264e-06,72
