row,indicator,category,importance_Hold,signed_Hold,rank_Hold,importance_Buy,signed_Buy,rank_Buy,importance_Sell,signed_Sell,rank_Sell
0,SMA_10,overlap,0.003722427,0.003034945,79,0.0048187873,0.00081554806,74,0.005490064,0.0007572426,71
1,SMA_20,overlap,0.0021828832,0.0010341293,88,0.004921355,0.0008168971,73,0.004635909,0.0009431211,84
2,SMA_50,overlap,0.002009177,0.00064113445,89,0.0040472527,0.000976001,85,0.003940474,-0.0009332073,89
3,EMA_10,overlap,0.0038877428,-0.00042437392,76,0.0059280307,0.0022144243,63,0.005406878,-0.00077490805,72
4,EMA_20,overlap,0.00405437,0.0028764287,72,0.004560856,0.00017406473,79,0.0048148213,-0.00034061784,82
5,EMA_50,overlap,0.0022226567,0.00093762233,87,0.0041190935,-3.3177505e-05,84,0.005054681,-0.00024240166,77
6,WMA_20,overlap,0.0042933826,0.00073220924,66,0.004964583,0.001196396,72,0.0059727323,-0.00024288021,65
7,DEMA_20,overlap,0.0042029857,0.0020086523,69,0.0041514602,-0.0009927462,82,0.0043834983,0.00021316468,85
8,TEMA_20,overlap,0.008169528,-0.0027189753,28,0.007826762,0.00017211724,36,0.007287727,0.0018378599,47
9,TRIMA_20,overlap,0.0048851785,-0.001074448,59,0.004677401,0.0004814199,77,0.0049656853,0.00097396784,80
10,KAMA_20,overlap,0.030042348,0.0010993893,9,0.018005023,0.0069723027,14,0.016022597,0.0046255197,12
11,MIDPOINT_14,overlap,0.035095904,0.00088574726,7,0.023236787,0.006867795,8,0.015856927,0.0029697926,14
12,MIDPRICE_14,overlap,0.028080551,-0.015496618,10,0.019594204,0.014243855,10,0.015896717,0.011280521,13
13,BB_UPPER_20,overlap,0.040737078,0.0051989504,5,0.016886877,0.009497806,15,0.0131271705,0.0092368815,19
14,BB_MIDDLE_20,overlap,0.027400382,0.006489191,12,0.019260842,0.010998371,11,0.014273299,0.004068389,15
15,BB_LOWER_20,overlap,0.04086685,0.021968907,4,0.021182667,0.00452233,9,0.018937752,0.0038327407,9
16,HT_TRENDLINE,overlap,0.037296787,0.0013867966,6,0.02775738,0.016866518,6,0.020776354,0.012113347,6
17,SAR,overlap,0.049234454,0.031482603,2,0.018221008,0.0064184587,12,0.013232692,0.0011014524,18
18,RSI_7,momentum,0.060657214,-0.03793518,1,0.16140646,0.15898317,1,0.12396477,0.121830136,1
19,RSI_14,momentum,0.042010356,-0.020155778,3,0.033110734,0.024267167,2,0.021775225,0.014411653,5
20,RSI_21,momentum,0.0061978116,-0.0014806227,42,0.0067919204,0.0020478624,47,0.008506991,0.0026956373,35
21,ROC_5,momentum,0.005930303,0.0010794788,46,0.0069644772,0.0026779498,42,0.007110248,0.0019210665,50
22,ROC_10,momentum,0.0040929033,-0.0008419252,70,0.005047674,0.00078961387,71,0.005229681,-0.00092749845,75
23,ROC_20,momentum,0.0056825764,0.0015162776,53,0.0050815777,-0.00055510364,70,0.005953584,-0.0003705407,67
24,MOM_5,momentum,0.0071452805,0.002212289,35,0.0063837185,-0.0013356844,53,0.0064816508,-0.0008887389,57
25,MOM_10,momentum,0.0060321903,0.004280166,45,0.006456629,-5.6236702e-05,49,0.0064548096,0.0015884052,59
26,MOM_20,momentum,0.0056518177,-0.0013204423,54,0.006123153,0.0020428319,58,0.0065334546,0.0019402035,55
27,CMO_14,momentum,0.005103158,0.0022690916,57,0.0064040385,-0.0022763312,52,0.0073449262,-7.605161e-05,44
28,CMO_28,momentum,0.005810061,-0.0026205587,49,0.010363826,0.005021024,22,0.010418577,0.0049873255,23
29,WILLR_14,momentum,0.009653611,-0.001687473,27,0.012068691,0.005410146,19,0.011917451,0.005101635,22
30,WILLR_28,momentum,0.0043811486,0.00037557774,64,0.0055835177,0.0005610471,68,0.0059726182,0.001060201,66
31,CCI_14,momentum,0.004212128,0.0006242523,68,0.006453812,0.0010663467,50,0.007223957,0.0017900469,48
32,CCI_20,momentum,0.002394472,2.5317133e-05,86,0.005159131,0.0007773531,69,0.0053245462,0.00074107636,74
33,MACD,momentum,0.003925893,0.00066903967,75,0.0038632583,0.0007555559,87,0.004225422,1.0152271e-05,86
34,MACD_SIGNAL,momentum,0.0034204982,0.0021829377,80,0.0032692961,-0.00013421846,88,0.0041568982,-0.00022269029,87
35,MACD_HIST,momentum,0.0061231595,0.0033006042,43,0.004205781,0.00013432588,81,0.004787748,0.0018461504,83
