column,Hold,Buy,Sell
0,0.0026056545,0.0010643896,0.0013850165
1,0.0026056545,0.0010643896,0.0013850165
2,0.0026056545,0.0010643896,0.0013850165
3,0.0026056545,0.0010643896,0.0013850165
4,0.0026056545,0.0010643896,0.0013850165
5,0.0026056545,0.0010643896,0.0013850165
6,0.0026056545,0.0010643896,0.0013850165
7,0.0026056545,0.0010643896,0.0013850165
8,0.0026056545,0.0010643896,0.0013850165
9,0.0026056545,0.0010643896,0.0013850165
10,0.0026056545,0.0010643896,0.0013850165
11,0.0026056545,0.0010643896,0.0013850165
12,0.0026056545,0.0010643896,0.0013850165
13,0.0027613104,0.0012681067,0.0017798617
14,0.0027613104,0.0012681067,0.0017798617
15,0.0027613104,0.0012681067,0.0017798617
16,0.0027613104,0.0012681067,0.0017798617
17,0.0027613104,0.0012681067,0.0017798617
18,0.0027613104,0.0012681067,0.0017798617
19,0.0027613104,0.0012681067,0.0017798617
20,0.0027613104,0.0012681067,0.0017798617
21,0.0027613104,0.0012681067,0.0017798617
22,0.0027613104,0.0012681067,0.0017798617
23,0.0027613104,0.0012681067,0.0017798617
24,0.0027613104,0.0012681067,0.0017798617
25,0.0027613104,0.0012681067,0.0017798617
26,0.0028579226,0.0013337415,0.0018713593
27,0.0028579226,0.0013337415,0.0018713593
28,0.0028579226,0.0013337415,0.0018713593
29,0.0028579226,0.0013337415,0.0018713593
30,0.0028579226,0.0013337415,0.0018713593
31,0.0028579226,0.0013337415,0.0018713593
32,0.0028579226,0.0013337415,0.0018713593
33,0.0028579226,0.0013337415,0.0018713593
34,0.0028579226,0.0013337415,0.0018713593
35,0.0028579226,0.0013337415,0.0018713593
36,0.0028579226,0.0013337415,0.0018713593
37,0.0028579226,0.0013337415,0.0018713593
38,0.0028579226,0.0013337415,0.0018713593
39,0.0026551138,0.0012912437,0.001911953
40,0.0026551138,0.0012912437,0.001911953
41,0.0026551138,0.0012912437,0.001911953
42,0.0026551138,0.0012912437,0.001911953
43,0.0026551138,0.0012912437,0.001911953
44,0.0026551138,0.0012912437,0.001911953
45,0.0026551138,0.0012912437,0.001911953
46,0.0026551138,0.0012912437,0.001911953
47,0.0026551138,0.0012912437,0.001911953
48,0.0026551138,0.0012912437,0.001911953
49,0.0026551138,0.0012912437,0.001911953
50,0.0026551138,0.0012912437,0.001911953
51,0.0026551138,0.0012912437,0.001911953
52,0.066043116,0.07196569,0.0699748
53,0.066043116,0.07196569,0.0699748
54,0.066043116,0.07196569,0.0699748
55,0.066043116,0.07196569,0.0699748
56,0.066043116,0.07196569,0.0699748
57,0.066043116,0.07196569,0.0699748
58,0.066043116,0.07196569,0.0699748
59,0.066043116,0.07196569,0.0699748
60,0.066043116,0.07196569,0.0699748
61,0.066043116,0.07196569,0.0699748
62,0.066043116,0.07196569,0.0699748
63,0.066043116,0.07196569,0.0699748
64,0.066043116,0.07196569,0.0699748
