column,Hold,Buy,Sell
0,0.002606855,0.0010637322,0.0012199673
1,0.002606855,0.0010637322,0.0012199673
2,0.002606855,0.0010637322,0.0012199673
3,0.002606855,0.0010637322,0.0012199673
4,0.002606855,0.0010637322,0.0012199673
5,0.002606855,0.0010637322,0.0012199673
6,0.002606855,0.0010637322,0.0012199673
7,0.002606855,0.0010637322,0.0012199673
8,0.002606855,0.0010637322,0.0012199673
9,0.002606855,0.0010637322,0.0012199673
10,0.002606855,0.0010637322,0.0012199673
11,0.002606855,0.0010637322,0.0012199673
12,0.002606855,0.0010637322,0.0012199673
13,0.002728788,0.0010237647,0.0017070994
14,0.002728788,0.0010237647,0.0017070994
15,0.002728788,0.0010237647,0.0017070994
16,0.002728788,0.0010237647,0.0017070994
17,0.002728788,0.0010237647,0.0017070994
18,0.002728788,0.0010237647,0.0017070994
19,0.002728788,0.0010237647,0.0017070994
20,0.002728788,0.0010237647,0.0017070994
21,0.002728788,0.0010237647,0.0017070994
22,0.002728788,0.0010237647,0.0017070994
23,0.002728788,0.0010237647,0.0017070994
24,0.002728788,0.0010237647,0.0017070994
25,0.002728788,0.0010237647,0.0017070994
26,0.0028561428,0.0012430173,0.0015667372
27,0.0028561428,0.0012430173,0.0015667372
28,0.0028561428,0.0012430173,0.0015667372
29,0.0028561428,0.0012430173,0.0015667372
30,0.0028561428,0.0012430173,0.0015667372
31,0.0028561428,0.0012430173,0.0015667372
32,0.0028561428,0.0012430173,0.0015667372
33,0.0028561428,0.0012430173,0.0015667372
34,0.0028561428,0.0012430173,0.0015667372
35,0.0028561428,0.0012430173,0.0015667372
36,0.0028561428,0.0012430173,0.0015667372
37,0.0028561428,0.0012430173,0.0015667372
38,0.0028561428,0.0012430173,0.0015667372
39,0.0025852767,0.0012603175,0.0020117841
40,0.0025852767,0.0012603175,0.0020117841
41,0.0025852767,0.0012603175,0.0020117841
42,0.0025852767,0.0012603175,0.0020117841
43,0.0025852767,0.0012603175,0.0020117841
44,0.0025852767,0.0012603175,0.0020117841
45,0.0025852767,0.0012603175,0.0020117841
46,0.0025852767,0.0012603175,0.0020117841
47,0.0025852767,0.0012603175,0.0020117841
48,0.0025852767,0.0012603175,0.0020117841
49,0.0025852767,0.0012603175,0.0020117841
50,0.0025852767,0.0012603175,0.0020117841
51,0.0025852767,0.0012603175,0.0020117841
52,0.06614599,0.0723323,0.070417546
53,0.06614599,0.0723323,0.070417546
54,0.06614599,0.0723323,0.070417546
55,0.06614599,0.0723323,0.070417546
56,0.06614599,0.0723323,0.070417546
57,0.06614599,0.0723323,0.070417546
58,0.06614599,0.0723323,0.070417546
59,0.06614599,0.0723323,0.070417546
60,0.06614599,0.0723323,0.070417546
61,0.06614599,0.0723323,0.070417546
62,0.06614599,0.0723323,0.070417546
63,0.06614599,0.0723323,0.070417546
64,0.06614599,0.0723323,0.070417546
