column,Hold,Buy,Sell
0,0.0053641363,0.0047402685,0.004762869
1,0.0041808398,0.0036338898,0.0035969839
2,0.0044985334,0.0041799354,0.0038072837
3,0.004559958,0.004021608,0.0041603255
4,0.0045369603,0.004229495,0.003998238
5,0.0043910984,0.003639748,0.0039969063
6,0.004431626,0.0039713355,0.0037631511
7,0.00603798,0.005524367,0.0050806417
8,0.0043956693,0.0038414148,0.0038924203
9,0.0051775016,0.004451191,0.00465605
10,0.0068126484,0.0054696933,0.005818962
11,0.009840884,0.008137143,0.008841841
12,0.022056216,0.018146865,0.019850455
13,0.005533963,0.0049280953,0.0046947994
14,0.0043686405,0.0037967167,0.0036601457
15,0.004716366,0.004349049,0.0037959933
16,0.004743705,0.0041832565,0.0042042914
17,0.0046483595,0.0042859865,0.003925838
18,0.00451456,0.003759529,0.003988301
19,0.0046884445,0.0042282743,0.0038260035
20,0.0061489735,0.0056262407,0.0051132487
21,0.004564769,0.0039009203,0.00392248
22,0.0052261464,0.0045928378,0.0046111853
23,0.006819431,0.005591915,0.00581445
24,0.009703095,0.008238612,0.008727896
25,0.022008164,0.018046606,0.019467177
26,0.0054599023,0.0048106085,0.0048491103
27,0.0042382833,0.003732876,0.003714212
28,0.004613409,0.004346198,0.003954773
29,0.004607674,0.004113268,0.004313023
30,0.0045966636,0.0041984017,0.004077522
31,0.004434332,0.0036748382,0.004084969
32,0.004574883,0.0041082767,0.0038782153
33,0.006178956,0.0055711973,0.0051535834
34,0.0045075584,0.0038467017,0.003916303
35,0.005276516,0.004526022,0.0047643995
36,0.006814256,0.005464986,0.005883423
37,0.009690029,0.008128991,0.008474093
38,0.022144318,0.017867954,0.019145807
39,0.005636338,0.0049648606,0.0047677266
40,0.0043452126,0.0038805206,0.0036474348
41,0.004666593,0.004487364,0.0038220596
42,0.004649935,0.0042253947,0.0041546314
43,0.004687532,0.0044691944,0.004024531
44,0.004505269,0.003908368,0.0040294463
45,0.0047063096,0.004399107,0.0038968867
46,0.006179368,0.005753019,0.0050766473
47,0.004583578,0.004074683,0.0039023338
48,0.0053733015,0.004707409,0.0046983785
49,0.006914944,0.0056848046,0.005859034
50,0.009592752,0.008376835,0.008472023
51,0.021762595,0.018030878,0.018983783
52,0.03784293,0.038823836,0.035321172
53,0.029941218,0.02990227,0.02853521
54,0.032083753,0.031184591,0.030362198
55,0.03300316,0.03233349,0.03256618
56,0.031938385,0.03081788,0.031075554
57,0.030483525,0.029451117,0.029483048
58,0.03136104,0.030299902,0.029297385
59,0.05150829,0.048449237,0.04606339
60,0.03464304,0.033130787,0.031841476
61,0.042162504,0.039742805,0.039578646
62,0.052778438,0.050789326,0.051840995
63,0.08131065,0.07760479,0.08162507
64,0.162234,0.22660226,0.22888747
