column,Hold,Buy,Sell
0,0.0053820387,0.0048462767,0.004637814
1,0.004195182,0.0037620526,0.0035267265
2,0.004513877,0.004325602,0.0036468196
3,0.004571749,0.004095484,0.0039214385
4,0.0045482726,0.0042148265,0.0038534314
5,0.00440586,0.0037497878,0.0039231465
6,0.0044466443,0.004128405,0.0038248943
7,0.0060554584,0.005834968,0.0049394174
8,0.0044185924,0.003976338,0.0037899623
9,0.0051999455,0.004597399,0.0045967977
10,0.0068479073,0.0055981535,0.00573293
11,0.009891155,0.008738175,0.008421251
12,0.022209814,0.019063488,0.018795488
13,0.0055494546,0.005057643,0.0044155484
14,0.0043740883,0.0038955424,0.0034036245
15,0.004720086,0.00463245,0.0035922085
16,0.00475269,0.0043509076,0.0039772345
17,0.0046571,0.0044257343,0.003682914
18,0.00451662,0.0039040607,0.0037822605
19,0.004690586,0.0043935995,0.0036300737
20,0.006151865,0.005845938,0.0049413377
21,0.004572928,0.0040765745,0.0037619022
22,0.0052357307,0.0047251564,0.004511657
23,0.0068332567,0.00569832,0.0056375763
24,0.009722587,0.008590385,0.008412013
25,0.022116186,0.018707152,0.019028146
26,0.0054745195,0.0048774416,0.004760619
27,0.0042506293,0.0037270505,0.0036789023
28,0.0046167923,0.0045039738,0.0039273575
29,0.004617708,0.0042129876,0.004171977
30,0.0045992224,0.004283896,0.003937611
31,0.004444112,0.0038022408,0.003924862
32,0.004584343,0.00411075,0.0038416255
33,0.0061866753,0.0058765574,0.0049672257
34,0.004526949,0.004034307,0.003760774
35,0.005295749,0.004714778,0.0046830834
36,0.006845779,0.0056037274,0.0057364777
37,0.009719028,0.008423334,0.008166618
38,0.022278827,0.01841884,0.018810468
39,0.005645884,0.005108031,0.0046315147
40,0.004343648,0.0039325915,0.0036752317
41,0.0046707112,0.004595947,0.0038545479
42,0.0046544154,0.004300237,0.0041733165
43,0.004696742,0.004498545,0.004026387
44,0.0045128097,0.003890222,0.0040467167
45,0.004718754,0.00434501,0.0039479667
46,0.00617933,0.0057318173,0.0049199713
47,0.0045943446,0.004071947,0.0038618231
48,0.0053805127,0.004706158,0.004643699
49,0.006930959,0.0057281125,0.005772564
50,0.009609392,0.0083853435,0.008307351
51,0.021813577,0.017774107,0.018380325
52,0.03769775,0.036722906,0.03569497
53,0.029871501,0.028136123,0.028529191
54,0.03203564,0.029879928,0.029783204
55,0.032962862,0.03204192,0.031962484
56,0.03182918,0.029919477,0.030848412
57,0.030391384,0.028558841,0.028526576
58,0.031286538,0.029678816,0.029187387
59,0.051428426,0.04683345,0.045021307
60,0.034610398,0.03261202,0.031185161
61,0.04205115,0.037953764,0.039100662
62,0.05279297,0.05027972,0.052768126
63,0.08149184,0.07679749,0.0819516
64,0.16177931,0.23169312,0.24044533
