column,Hold,Buy,Sell
0,0.00415716,0.0047099646,0.0047968877
1,0.0032139125,0.0035972546,0.0036160948
2,0.0034640082,0.0041382955,0.0038509322
3,0.003765021,0.0040004905,0.004225306
4,0.0037743698,0.004233688,0.004037628
5,0.0033957828,0.003608292,0.0040169707
6,0.0034190037,0.0039264364,0.0037463573
7,0.0048596375,0.00543558,0.0051190583
8,0.0028501602,0.0038028464,0.0039202906
9,0.0036643962,0.004409396,0.0046721683
10,0.0044354484,0.0054329718,0.0058423644
11,0.0064513367,0.007965332,0.008956244
12,0.011700481,0.01788484,0.020137416
13,0.004489515,0.004891063,0.004770762
14,0.00400142,0.0037684666,0.0037299236
15,0.0044655288,0.0042680376,0.0038514265
16,0.0041378774,0.004135332,0.004266053
17,0.004059028,0.0042460393,0.003991917
18,0.004375725,0.0037182143,0.0040443484
19,0.004544055,0.0041810153,0.0038792994
20,0.005954021,0.00556344,0.0051600114
21,0.004014725,0.0038507076,0.0039661597
22,0.004579997,0.004555013,0.004638256
23,0.005887278,0.0055614975,0.005862563
24,0.0083890045,0.008138053,0.008813823
25,0.014725819,0.017857788,0.019586606
26,0.0044742576,0.004791503,0.0048731803
27,0.003405926,0.003734542,0.0037238162
28,0.004385278,0.004301098,0.003962232
29,0.0039311307,0.0040847613,0.0043513915
30,0.0044241697,0.004173962,0.004115581
31,0.0037749598,0.0036384196,0.0041285194
32,0.0039371112,0.004107569,0.0038881681
33,0.00565855,0.0054839076,0.0052042743
34,0.0032002078,0.003793074,0.0039586094
35,0.0039798114,0.0044720643,0.004786519
36,0.004688945,0.0054253256,0.0059233946
37,0.007734687,0.008044851,0.008557733
38,0.013075445,0.017710479,0.019237027
39,0.0049927174,0.004923936,0.00480478
40,0.0044507557,0.0038656362,0.003639874
41,0.0043889857,0.0044563254,0.0038132214
42,0.0043477463,0.0042040003,0.0041495487
43,0.0040665655,0.0044608032,0.0040240264
44,0.0039970055,0.0039135558,0.004024748
45,0.003867278,0.0044145714,0.0038829925
46,0.0061819977,0.005759078,0.005119264
47,0.003857691,0.0040754643,0.003913354
48,0.0048871064,0.004707766,0.0047132513
49,0.005835252,0.005672423,0.0058825533
50,0.008470892,0.008374403,0.008516816
51,0.01832507,0.01810427,0.019147925
52,0.047631443,0.039424405,0.03521948
53,0.034640737,0.030407123,0.028536828
54,0.03532803,0.03155753,0.030519694
55,0.035720356,0.032416828,0.03273039
56,0.039300837,0.031074688,0.031137343
57,0.036695454,0.029706186,0.029743215
58,0.036383674,0.030477453,0.029327294
59,0.056892667,0.04891111,0.04634685
60,0.036843475,0.033279095,0.03202
61,0.04967061,0.040254198,0.039708685
62,0.051798034,0.050934996,0.05158881
63,0.06909467,0.077835545,0.08153627
64,0.19288577,0.2251471,0.22574347
